,,,,,,,Standart,,,,,,,,,,,,Expected,,,,,Total,,,,,Short,,,Medium,,,Long,,,Expected,,,,,,,,,Tackles,,,,,Challanges,,,,Blocks,,,,,,
Jack Grealish,eng ENG,"FW,MF",Aston Villa,24,1995,24.3,6,50,17,34,2.06,0.7,0.12,0.35,17,2,0,0,4.6,4.6,0.09,1.4,1.4,872,1105,78.9,12898,4406,500,572,87.4,267,321,83.2,58,110,52.7,10,7.4,6.5,2.6,81,91,69,3,189,31,14,8,16,7,15,24,62.5,9,20,3,17,12,43,5,3
Alex Iwobi,ng NGA,"FW,MF",Everton,24,1996,17.1,1,15,3,20,0.88,0.18,0.07,0.33,18.7,0,0,0,0.9,0.9,0.06,0.1,0.1,528,698,75.6,8511,2306,270,308,87.7,206,258,79.8,36,78,46.2,2,1.9,1.8,0.1,16,35,23,7,65,27,10,10,14,3,13,25,52,12,20,1,19,16,43,14,0
Alireza Jahanbakhsh,ir IRN,"FW,MF",Brighton,26,1993,5.9,0,18,3,16.7,3.07,0.51,0,0,18.1,0,0,0,1.5,1.5,0.09,-1.5,-1.5,188,266,70.7,2801,657,103,126,81.7,61,82,74.4,14,28,50,1,3,2.3,-2,10,10,19,4,28,9,7,3,5,1,2,12,16.7,10,8,0,8,8,17,1,0
Joelinton,br BRA,"FW,MF",Newcastle Utd,23,1996,22,4,43,19,44.2,1.95,0.86,0.07,0.16,15.4,0,1,1,5.4,4.6,0.11,-1.4,-1.6,427,598,71.4,5385,1019,257,331,77.6,115,152,75.7,14,23,60.9,2,2.4,1,-0.4,17,24,9,1,39,33,21,7,21,5,14,37,37.8,23,30,2,28,9,42,24,0
Aboubakar Kamara,mr MTN,"FW,MF",Fulham,25,1995,3.5,0,4,2,50,1.14,0.57,0,0,20.4,0,0,0,0.5,0.5,0.14,-0.5,-0.5,86,127,67.7,1291,253,50,61,82,28,36,77.8,4,15,26.7,0,0.3,0.3,-0.3,6,5,2,1,6,2,2,1,1,0,0,5,0,5,6,0,6,1,3,0,0
Moise Kean,it ITA,"FW,MF",Everton,20,2000,0.2,0,1,0,0,6,0,0,,25.8,0,0,0,0,0,0.05,0,0,6,8,75,87,0,3,3,100,3,3,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Neeskens Kebano,cd COD,"FW,MF",Fulham,28,1992,1.3,0,6,0,0,4.54,0,0,,20,1,0,0,0.3,0.3,0.04,-0.3,-0.3,32,43,74.4,373,90,25,25,100,6,15,40,0,0,,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,1,3,0,3,0,0,0,0
Érik Lamela,ar ARG,"FW,MF",Tottenham,28,1992,8,1,21,9,42.9,2.64,1.13,0.05,0.11,20.4,4,0,0,1.1,1.1,0.05,-0.1,-0.1,284,363,78.2,4124,873,157,180,87.2,93,109,85.3,14,33,42.4,0,1,0.9,-1,8,20,10,0,36,17,9,1,11,5,8,21,38.1,13,11,1,10,6,23,2,0
Ademola Lookman,ng NGA,"FW,MF",Fulham,22,1997,30.5,4,68,22,32.4,2.23,0.72,0.06,0.18,17.8,4,0,1,6.3,5.5,0.08,-2.3,-1.5,892,1199,74.4,13128,3607,497,577,86.1,295,378,78,56,128,43.8,4,5.2,4.2,-1.2,61,51,41,5,110,35,11,18,9,8,13,44,29.5,31,31,1,30,20,55,9,0
Juan Mata,es ESP,"FW,MF",Manchester Utd,32,1988,5.7,1,4,3,75,0.71,0.53,0,0,21.5,0,1,1,1,0.2,0.06,0,-0.2,249,300,83,3432,738,148,160,92.5,67,79,84.8,16,29,55.2,2,0.8,0.7,1.2,8,19,4,0,23,1,0,1,0,0,0,7,0,7,3,0,3,3,4,3,0
Neal Maupay,fr FRA,"FW,MF",Brighton,23,1996,27.9,8,67,22,32.8,2.4,0.79,0.07,0.23,14.8,0,3,4,13.2,10.1,0.15,-5.2,-5.1,520,672,77.4,7231,1289,271,319,85,174,206,84.5,27,45,60,2,3.9,3,-1.9,32,32,27,4,61,20,8,9,7,4,4,24,16.7,20,20,0,20,13,33,6,0
David McGoldrick,ie IRL,"FW,MF",Sheffield Utd,32,1987,26.6,8,71,23,32.4,2.67,0.86,0.11,0.35,18.2,1,0,0,6.9,6.9,0.1,1.1,1.1,697,947,73.6,9806,1823,397,485,81.9,210,280,75,37,62,59.7,1,1.1,1.5,-0.1,17,49,21,4,94,33,21,8,15,10,13,31,41.9,18,19,3,16,2,35,25,0
Lucas Moura,br BRA,"FW,MF",Tottenham,27,1992,15.7,3,18,6,33.3,1.15,0.38,0.17,0.5,16.1,0,0,0,1.9,1.9,0.11,1.1,1.1,437,602,72.6,5967,1561,240,294,81.6,143,181,79,16,37,43.2,4,2,1.4,2,16,35,14,2,46,32,16,12,16,4,8,29,27.6,21,12,0,12,18,50,10,0
Lys Mousset,fr FRA,"FW,MF",Sheffield Utd,24,1996,3.3,0,4,2,50,1.22,0.61,0,0,16.8,0,0,0,1,1,0.24,-1,-1,34,46,73.9,476,74,19,22,86.4,11,14,78.6,2,3,66.7,0,0.3,0.1,-0.3,3,4,0,0,3,1,0,0,0,1,0,2,0,2,1,0,1,0,1,1,1
Reiss Nelson,eng ENG,"FW,MF",Arsenal,20,1999,0.8,0,1,0,0,1.27,0,0,,12.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,17,29,58.6,305,72,7,7,100,7,12,58.3,2,6,33.3,0,0,0,0,0,3,1,1,4,1,0,0,0,1,0,0,,0,0,0,0,1,2,1,0
Pedro Neto,pt POR,"FW,MF",Wolves,20,2000,28.3,5,61,21,34.4,2.15,0.74,0.08,0.24,19.6,3,0,0,5.1,5.1,0.08,-0.1,-0.1,962,1229,78.3,13726,2855,590,634,93.1,257,345,74.5,60,138,43.5,6,5.4,5.1,0.6,61,46,37,24,54,16,9,4,6,6,6,28,21.4,22,18,2,16,31,47,8,0
Dan Nlundulu,eng ENG,"FW,MF",Southampton,21,1999,1.2,0,1,0,0,0.81,0,0,,12.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,21,29,72.4,302,44,14,20,70,6,6,100,1,1,100,0,0,0,0,1,1,1,0,4,0,0,0,0,0,0,1,0,1,2,0,2,0,0,2,0
Christian Pulisic,us USA,"FW,MF",Chelsea,21,1998,19.3,4,43,16,37.2,2.23,0.83,0.09,0.25,14.5,0,0,0,6.1,6.1,0.14,-2.1,-2.1,561,705,79.6,7253,1587,347,405,85.7,159,197,80.7,13,26,50,2,2.8,2.2,-0.8,25,34,37,3,82,19,11,8,10,1,8,21,38.1,13,25,2,23,12,31,9,0
Lewis Richardson,eng ENG,"FW,MF",Burnley,17,2003,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Callum Robinson,ie IRL,"FW,MF",West Brom,25,1995,17.3,5,31,11,35.5,1.79,0.63,0.16,0.45,19.8,0,0,0,3.1,3.1,0.1,1.9,1.9,299,433,69.1,4262,971,170,204,83.3,84,121,69.4,23,45,51.1,0,1,0.8,-1,16,23,11,5,27,7,5,5,1,1,3,19,15.8,16,9,0,9,7,14,8,0
James Rodríguez,co COL,"FW,MF",Everton,29,1991,19.6,6,37,18,48.6,1.89,0.92,0.16,0.33,20.7,4,0,0,2.8,2.8,0.08,3.2,3.2,901,1149,78.4,16113,4879,422,485,87,292,342,85.4,141,233,60.5,4,4.8,4.8,-0.8,40,103,38,2,133,28,17,8,15,5,11,46,23.9,35,17,0,17,15,43,3,0
Allan Saint-Maximin,fr FRA,"FW,MF",Newcastle Utd,23,1997,17.3,3,30,12,40,1.73,0.69,0.1,0.25,20.8,0,0,0,2.6,2.6,0.09,0.4,0.4,355,444,80,5503,1314,189,220,85.9,122,152,80.3,28,37,75.7,4,3.7,2,0.3,30,28,11,4,65,16,9,6,9,1,4,9,44.4,5,10,0,10,4,20,2,0
Bukayo Saka,eng ENG,"FW,MF",Arsenal,18,2001,28.4,5,61,20,32.8,2.15,0.71,0.08,0.25,16.1,1,0,0,6.9,6.9,0.11,-1.9,-1.9,858,1161,73.9,11752,2855,525,606,86.6,242,326,74.2,40,116,34.5,3,4.4,5,-1.4,38,55,31,9,101,25,16,10,13,2,11,40,27.5,29,21,2,19,25,50,24,0
Robert Snodgrass,sct SCO,"FW,MF",West Ham,32,1987,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,4,4,100,43,15,3,3,100,1,1,100,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Nathan Tella,ng NGA,"FW,MF",Southampton,21,1999,8.3,1,17,8,47.1,2.05,0.97,0.06,0.13,19.2,0,0,0,1.6,1.6,0.1,-0.6,-0.6,99,142,69.7,1373,226,63,76,82.9,22,31,71,8,12,66.7,1,0.8,0.5,0.2,6,4,7,1,9,8,5,1,4,3,6,15,40,9,13,0,13,3,11,2,0
Ferrán Torres,es ESP,"FW,MF",Manchester City,20,2000,14.5,7,36,14,38.9,2.48,0.96,0.19,0.5,15.6,0,0,0,4.9,4.9,0.13,2.1,2.1,353,445,79.3,4935,789,216,242,89.3,99,123,80.5,17,39,43.6,2,2.2,1.7,-0.2,19,12,13,1,31,12,5,4,6,2,5,16,31.3,11,16,0,16,3,15,8,0
Adama Traoré,es ESP,"FW,MF",Wolves,24,1996,29.4,2,43,13,30.2,1.46,0.44,0.05,0.15,19.7,0,0,0,2,2,0.05,0,0,572,873,65.5,8290,1985,338,418,80.9,175,277,63.2,35,75,46.7,2,4.8,3.8,-2.8,55,36,30,18,70,28,16,11,13,4,13,21,61.9,8,23,1,22,7,35,12,1
Cengiz Ünder,tr TUR,"FW,MF",Leicester City,23,1997,3.1,0,9,1,11.1,2.88,0.32,0,0,23.3,0,0,0,0.3,0.3,0.03,-0.3,-0.3,91,130,70,1255,360,46,57,80.7,24,32,75,6,15,40,2,1.6,1.3,0.4,6,8,6,2,7,4,1,0,3,1,3,5,60,2,3,0,3,2,6,0,0
Timo Werner,de GER,"FW,MF",Chelsea,24,1996,28.9,6,79,31,39.2,2.73,1.07,0.08,0.19,13.8,0,0,0,11.4,11.4,0.14,-5.4,-5.4,629,824,76.3,8141,1532,380,462,82.3,185,223,83,16,35,45.7,8,5.6,3.2,2.4,36,36,23,5,69,20,9,6,11,3,7,43,16.3,36,23,1,22,8,28,8,0
Andriy Yarmolenko,ua UKR,"FW,MF",West Ham,30,1989,4.2,0,7,2,28.6,1.68,0.48,0,0,20.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3,117,152,77,1811,429,70,79,88.6,37,51,72.5,9,15,60,1,0.8,0.5,0.2,5,11,6,2,17,5,4,2,2,1,2,8,25,6,1,0,1,1,6,2,0
Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,26,1994,27,4,33,14,42.4,1.22,0.52,0.12,0.29,19.2,1,0,0,3.2,3.2,0.1,0.8,0.8,708,895,79.1,10715,2430,369,422,87.4,245,289,84.8,51,92,55.4,1,2.9,2.2,-1.9,31,64,23,7,90,49,29,21,25,3,14,56,25,42,23,4,19,25,74,20,1
Donny van de Beek,nl NED,"MF,FW",Manchester Utd,23,1997,5.8,1,2,1,50,0.34,0.17,0.5,1,18.4,0,0,0,0.4,0.4,0.18,0.6,0.6,237,275,86.2,3308,739,146,163,89.6,74,80,92.5,8,12,66.7,1,0.9,0.8,0.1,3,12,1,0,16,15,10,2,11,2,7,15,46.7,8,10,1,9,6,21,7,0
Bernard,br BRA,"MF,FW",Everton,27,1992,5.1,1,6,2,33.3,1.19,0.4,0.17,0.5,22.5,0,0,0,0.3,0.3,0.04,0.7,0.7,219,270,81.1,3230,813,116,129,89.9,81,96,84.4,11,18,61.1,0,0.6,0.8,-0.6,10,17,11,3,37,8,3,3,3,2,7,15,46.7,8,5,0,5,8,16,6,0
Fabio Carvalho,pt POR,"MF,FW",Fulham,17,2002,2.8,1,9,5,55.6,3.18,1.76,0.11,0.2,15.4,0,0,0,1.2,1.2,0.13,-0.2,-0.2,67,89,75.3,883,100,43,50,86,17,22,77.3,3,4,75,0,0.4,0.3,-0.4,2,2,2,0,6,9,6,4,4,1,5,9,55.6,4,2,0,2,1,10,1,1
Carney Chukwuemeka,eng ENG,"MF,FW",Aston Villa,16,2003,0.2,0,1,0,0,4.5,0,0,,23.5,0,0,0,0,0,0.04,0,0,6,9,66.7,88,13,5,6,83.3,0,1,0,1,1,100,0,0,0.1,0,0,0,0,0,1,2,2,1,0,1,1,3,33.3,2,0,0,0,0,2,0,0
Hélder Costa,ao ANG,"MF,FW",Leeds United,26,1994,12.8,3,16,6,37.5,1.25,0.47,0.19,0.5,14.8,0,0,0,2.2,2.2,0.14,0.8,0.8,242,331,73.1,3063,741,152,178,85.4,68,88,77.3,5,21,23.8,3,0.6,0.6,2.4,8,4,10,2,28,25,11,12,5,8,11,32,34.4,21,11,0,11,3,28,5,1
Bobby De Cordova-Reid,jm JAM,"MF,FW",Fulham,27,1993,26.4,5,34,8,23.5,1.29,0.3,0.15,0.63,16.9,1,0,0,3.8,3.8,0.11,1.2,1.2,615,830,74.1,9138,2549,325,388,83.8,216,279,77.4,38,86,44.2,2,1.1,1.8,0.9,14,37,21,4,67,31,15,17,10,4,18,39,46.2,21,19,5,14,21,52,39,0
Grady Diangana,cd COD,"MF,FW",West Brom,22,1998,13.7,1,14,4,28.6,1.02,0.29,0.07,0.25,17.4,0,0,0,1.1,1.1,0.08,-0.1,-0.1,260,360,72.2,3328,806,176,212,83,62,87,71.3,10,22,45.5,0,0.2,0.2,-0.2,5,13,8,1,32,35,19,19,9,7,19,43,44.2,24,16,2,14,16,51,9,0
Kyle Edwards,eng ENG,"MF,FW",West Brom,22,1998,1.3,0,2,1,50,1.53,0.76,0,0,15.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,31,35,88.6,379,96,22,23,95.7,9,10,90,0,1,0,0,0,0,0,1,2,0,0,3,3,2,1,1,1,0,0,,0,2,0,2,1,4,0,0
Morgan Gibbs-White,eng ENG,"MF,FW",Wolves,20,2000,4.6,1,10,4,40,2.17,0.87,0.1,0.25,21.1,0,0,0,0.8,0.8,0.08,0.2,0.2,193,236,81.8,2799,646,109,127,85.8,58,69,84.1,14,23,60.9,0,0.4,0.3,-0.4,8,20,3,0,28,9,7,3,4,2,5,12,41.7,7,6,0,6,3,12,1,0
Kamil Grosicki,pl POL,"MF,FW",West Brom,32,1988,1.6,0,3,0,0,1.82,0,0,,22.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,30,45,66.7,455,110,14,18,77.8,12,15,80,2,9,22.2,1,0.3,0.1,0.7,3,3,1,0,4,2,1,2,0,0,2,8,25,6,1,0,1,2,4,1,0
Jack Harrison,eng ENG,"MF,FW",Leeds United,23,1996,31.6,8,45,19,42.2,1.42,0.6,0.18,0.42,15.6,1,0,0,5.8,5.8,0.13,2.2,2.2,778,1182,65.8,11941,3703,424,517,82,262,377,69.5,57,148,38.5,8,6.5,5,1.5,59,48,52,12,98,63,38,20,30,13,26,59,44.1,33,30,2,28,15,78,21,0
Kai Havertz,de GER,"MF,FW",Chelsea,21,1999,16.9,4,33,16,48.5,1.95,0.95,0.12,0.25,13.1,0,0,0,5.5,5.5,0.17,-1.5,-1.5,658,788,83.5,8252,1336,412,449,91.8,167,190,87.9,23,31,74.2,3,1.3,1.9,1.7,18,38,20,1,74,18,9,6,10,2,6,27,22.2,21,25,0,25,4,22,22,1
Joshua King,no NOR,"MF,FW",Everton,28,1992,1.6,0,3,1,33.3,1.82,0.61,0,0,13.8,0,0,0,0.6,0.6,0.2,-0.6,-0.6,32,50,64,431,98,18,29,62.1,13,15,86.7,0,0,,0,0,0.1,0,0,1,1,0,5,4,1,2,1,1,0,0,,0,3,0,3,1,5,1,0
Adam Lallana,eng ENG,"MF,FW",Brighton,32,1988,17.7,1,22,5,22.7,1.24,0.28,0.05,0.2,17.3,0,0,0,1.6,1.6,0.07,-0.6,-0.6,792,944,83.9,11000,2987,450,511,88.1,240,281,85.4,35,55,63.6,1,2.6,2.6,-1.6,25,61,26,2,109,28,13,11,13,4,8,39,20.5,31,18,3,15,15,43,13,0
Manuel Lanzini,ar ARG,"MF,FW",West Ham,27,1993,6.3,1,12,3,25,1.91,0.48,0.08,0.33,18.4,1,0,0,1,1,0.08,0,0,338,375,90.1,4801,1253,202,215,94,109,117,93.2,14,19,73.7,1,0.9,0.9,0.1,11,27,2,0,28,9,2,3,4,2,3,10,30,7,9,0,9,7,16,5,0
Jesse Lingard,eng ENG,"MF,FW",West Ham,27,1992,15.8,9,40,20,50,2.53,1.27,0.2,0.4,21.4,1,1,2,4.5,2.8,0.07,4.5,5.2,546,686,79.6,7671,1895,304,343,88.6,170,209,81.3,33,60,55,4,2.1,1.3,1.9,18,55,23,5,75,12,6,4,8,0,5,14,35.7,9,7,1,6,4,16,0,0
Ruben Loftus-Cheek,eng ENG,"MF,FW",Fulham,24,1996,21.2,1,35,8,22.9,1.65,0.38,0.03,0.13,16.6,0,0,0,3.4,3.4,0.1,-2.4,-2.4,578,722,80.1,8146,1920,333,388,85.8,195,230,84.8,21,31,67.7,0,1.2,1.1,-1.2,17,57,13,2,82,25,14,7,15,3,7,23,30.4,16,20,2,18,7,32,18,0
Alexis Mac Allister,ar ARG,"MF,FW",Brighton,21,1998,12.4,1,24,3,12.5,1.94,0.24,0.04,0.33,22.5,1,0,0,1.3,1.3,0.05,-0.3,-0.3,320,410,78,4922,1248,168,196,85.7,109,129,84.5,20,36,55.6,1,1.5,1.7,-0.5,15,26,16,0,48,26,12,6,16,4,11,38,28.9,27,25,4,21,9,35,4,0
Takumi Minamino,jp JPN,"MF,FW",Liverpool,25,1995,3.3,1,7,3,42.9,2.15,0.92,0.14,0.33,17,0,0,0,1.1,1.1,0.16,-0.1,-0.1,111,142,78.2,1368,248,63,72,87.5,38,46,82.6,1,7,14.3,0,0,0.1,0,0,7,2,0,8,4,3,1,2,1,0,12,0,12,1,0,1,2,6,3,0
Owen Otasowie,us USA,"MF,FW",Wolves,19,2001,2.1,0,4,0,0,1.93,0,0,,13.6,0,0,0,0.5,0.5,0.12,-0.5,-0.5,43,59,72.9,543,151,25,32,78.1,14,18,77.8,1,2,50,1,0.1,0,0.9,2,3,0,0,3,5,5,3,2,0,1,2,50,1,1,1,0,3,8,4,0
Alex Oxlade-Chamberlain,eng ENG,"MF,FW",Liverpool,26,1993,2.8,1,8,4,50,2.85,1.42,0.13,0.25,21.8,0,0,0,0.3,0.3,0.04,0.7,0.7,106,143,74.1,1925,466,53,60,88.3,38,48,79.2,14,18,77.8,1,0.3,0.3,0.7,2,11,2,0,20,4,0,0,3,1,0,2,0,2,1,0,1,2,6,0,0
Matheus Pereira,br BRA,"MF,FW",West Brom,24,1996,28.6,11,61,23,37.7,2.13,0.8,0.11,0.3,23.1,10,4,4,7.3,4.2,0.07,3.7,2.8,790,1097,72,12365,4136,443,510,86.9,213,301,70.8,90,193,46.6,6,6.3,5.3,-0.3,59,63,42,8,115,26,15,14,10,2,12,54,22.2,42,18,0,18,29,55,16,0
Ayoze Pérez,es ESP,"MF,FW",Leicester City,27,1993,14.8,2,31,13,41.9,2.1,0.88,0.06,0.15,17.1,1,0,0,3.3,3.3,0.11,-1.3,-1.3,369,497,74.2,4537,1189,238,282,84.4,88,122,72.1,13,29,44.8,1,1.3,2,-0.3,23,32,22,4,54,32,15,6,20,6,13,48,27.1,35,28,0,28,10,42,7,0
Daniel Podence,pt POR,"MF,FW",Wolves,24,1995,18.5,3,32,14,43.8,1.73,0.76,0.09,0.21,17.5,0,0,0,2.5,2.5,0.08,0.5,0.5,483,643,75.1,7867,2039,269,316,85.1,129,180,71.7,59,84,70.2,2,1.7,1.7,0.3,21,47,20,5,72,12,6,5,5,2,2,19,10.5,17,5,1,4,13,25,2,0
Paul Pogba,fr FRA,"MF,FW",Manchester Utd,27,1993,21.1,3,31,11,35.5,1.47,0.52,0.1,0.27,17,0,0,0,2.8,2.8,0.09,0.2,0.2,1112,1367,81.3,19406,4987,541,617,87.7,399,468,85.3,131,187,70.1,3,2.4,1.8,0.6,26,132,26,1,139,36,26,15,16,5,11,33,33.3,22,24,2,22,26,62,37,0
Raphinha,br BRA,"MF,FW",Leeds United,23,1996,26.2,6,67,24,35.8,2.56,0.92,0.09,0.25,17.2,4,0,0,5.7,5.7,0.09,0.3,0.3,687,1064,64.6,11676,4332,347,413,84,218,336,64.9,88,204,43.1,9,7.9,6.8,1.1,64,79,40,7,97,34,17,13,16,5,12,58,20.7,46,31,1,30,29,63,27,0
Nathan Redmond,eng ENG,"MF,FW",Southampton,26,1994,19.3,2,45,13,28.9,2.33,0.67,0.04,0.15,18.5,0,0,0,3.1,3.1,0.07,-1.1,-1.1,570,765,74.5,8403,2031,311,377,82.5,198,250,79.2,33,57,57.9,3,3.2,2.1,-0.2,29,32,30,4,75,30,17,14,12,4,8,24,33.3,16,24,2,22,11,41,9,0
