,,,,,,,Standart,,,,,,,,,,,,Expected,,,,,Total,,,,,Short,,,Medium,,,Long,,,Expected,,,,,,,,,Tackles,,,,,Challanges,,,,Blocks,,,,,,
Player,Nation,Pos,Squad,Age,Born,90s Played,Goals,Shots,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Avg Shot Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Felipe Anderson,br BRA,"FW,MF",West Ham,27,1993,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,3,5,60,45,23,1,2,50,2,3,66.7,0,0,,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
Charlie Austin,eng ENG,"FW,MF",West Brom,31,1989,1.5,0,3,0,0,1.96,0,0,,20.3,0,0,0,0.4,0.4,0.15,-0.4,-0.4,23,34,67.6,297,111,17,20,85,4,7,57.1,1,2,50,0,0,0,0,0,2,0,0,3,4,2,1,2,1,1,3,33.3,2,0,0,0,3,7,4,0
Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,28,1991,23.3,1,26,11,42.3,1.12,0.47,0.04,0.09,17.6,0,0,0,2.2,2.2,0.08,-1.2,-1.2,519,667,77.8,6434,1218,323,368,87.8,136,177,76.8,13,25,52,3,0.7,1.4,2.3,13,23,12,2,35,38,26,8,16,14,16,44,36.4,28,28,2,26,16,54,12,0
Ross Barkley,eng ENG,"FW,MF",Chelsea,26,1993,0.5,0,1,1,100,2.14,2.14,0,0,35.9,0,0,0,0,0,0.02,0,0,23,27,85.2,437,98,11,14,78.6,7,8,87.5,5,5,100,0,0.1,0,-0.1,1,1,1,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Harvey Barnes,eng ENG,"FW,MF",Leicester City,22,1997,21.6,9,56,25,44.6,2.59,1.16,0.16,0.36,17.5,0,0,0,5.9,5.9,0.11,3.1,3.1,459,637,72.1,6331,1534,272,343,79.3,135,171,78.9,20,37,54.1,4,1.6,2.4,2.4,26,38,17,1,56,19,9,11,3,5,5,22,22.7,17,16,3,13,8,27,11,0
Saïd Benrahma,dz ALG,"FW,MF",West Ham,24,1995,15.5,1,35,12,34.3,2.26,0.78,0.03,0.08,21.2,1,0,0,2.6,2.6,0.07,-1.6,-1.6,411,536,76.7,5618,1648,251,279,90,120,161,74.5,17,46,37,6,4.1,3.2,1.9,27,43,20,8,60,24,15,8,11,5,8,28,28.6,20,10,0,10,8,32,8,0
Steven Bergwijn,nl NED,"FW,MF",Tottenham,22,1997,13.4,1,15,6,40,1.12,0.45,0.07,0.17,17.1,0,0,0,2,2,0.13,-1,-1,350,430,81.4,4248,714,228,254,89.8,90,117,76.9,4,17,23.5,3,0.9,0.8,2.1,13,15,8,0,25,15,7,8,3,4,7,20,35,13,7,1,6,5,20,9,0
Jarrod Bowen,eng ENG,"FW,MF",West Ham,23,1996,28.5,8,55,16,29.1,1.93,0.56,0.15,0.5,16.4,0,0,0,7.1,7.1,0.13,0.9,0.9,493,752,65.6,8489,1874,237,301,78.7,162,226,71.7,63,128,49.2,5,5,4.1,0,29,22,21,6,44,26,15,12,7,7,10,29,34.5,19,19,1,18,22,48,10,0
Rhian Brewster,eng ENG,"FW,MF",Sheffield Utd,20,2000,12.5,0,24,7,29.2,1.91,0.56,0,0,21.8,1,0,0,1.8,1.8,0.07,-1.8,-1.8,157,225,69.8,2231,556,98,125,78.4,37,54,68.5,12,22,54.5,0,1.6,0.6,-1.6,11,15,4,3,20,8,5,1,4,3,1,13,7.7,12,15,2,13,5,13,5,0
Keinan Davis,eng ENG,"FW,MF",Aston Villa,22,1998,3.1,1,9,2,22.2,2.92,0.65,0.11,0.5,10.6,0,0,0,1.5,1.5,0.16,-0.5,-0.5,55,77,71.4,689,133,38,41,92.7,11,20,55,2,5,40,1,0.6,0.4,0.4,6,2,3,0,6,2,1,1,0,1,0,1,0,1,1,0,1,0,2,2,0
Phil Foden,eng ENG,"FW,MF",Manchester City,20,2000,18,9,45,20,44.4,2.51,1.11,0.2,0.45,15,0,0,0,5,5,0.11,4,4,689,845,81.5,9142,1889,447,488,91.6,175,212,82.5,24,62,38.7,5,3.6,2.6,1.4,30,36,21,2,69,22,11,12,8,2,9,23,39.1,14,9,0,9,11,33,11,0
Pablo Fornals,es ESP,"FW,MF",West Ham,24,1996,28.6,5,50,15,30,1.75,0.52,0.1,0.33,16.3,0,0,0,6,6,0.12,-1,-1,853,1118,76.3,12592,3756,481,556,86.5,282,362,77.9,45,86,52.3,4,2.3,1.8,1.7,31,84,30,6,134,44,26,14,24,6,11,73,15.1,62,43,1,42,36,80,9,0
Ryan Fraser,sct SCO,"FW,MF",Newcastle Utd,26,1994,10.3,0,13,6,46.2,1.26,0.58,0,0,21.6,0,0,0,0.9,0.9,0.07,-0.9,-0.9,240,372,64.5,3641,1040,132,156,84.6,69,105,65.7,24,72,33.3,2,2,1.7,0,26,8,11,10,18,4,1,3,1,0,2,5,40,3,1,0,1,6,10,7,0
Dwight Gayle,eng ENG,"FW,MF",Newcastle Utd,29,1990,5.7,1,16,6,37.5,2.8,1.05,0.06,0.17,10.8,1,0,0,2.9,2.9,0.2,-1.9,-1.9,96,118,81.4,1144,147,64,68,94.1,20,29,69,2,4,50,1,0.3,0.2,0.7,6,3,2,0,6,2,0,1,1,0,0,7,0,7,3,1,2,1,3,2,0
Anthony Gordon,eng ENG,"FW,MF",Everton,19,2001,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,22,27,81.5,293,65,15,15,100,5,5,100,2,4,50,0,0,0,0,1,1,2,0,2,3,3,3,0,0,0,2,0,2,1,0,1,1,4,3,0
Karlan Grant,eng ENG,"FW,MF",West Brom,22,1997,12.5,1,16,9,56.3,1.28,0.72,0.06,0.11,15.7,1,0,0,1.8,1.8,0.12,-0.8,-0.8,164,234,70.1,1990,336,110,141,78,34,45,75.6,6,12,50,0,0.2,0.3,-0.2,3,5,5,0,13,5,3,3,2,0,2,4,50,2,7,0,7,5,10,17,0
