Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Total,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Short,Unnamed: 30,Unnamed: 31,Medium,Unnamed: 33,Unnamed: 34,Long,Unnamed: 36,Unnamed: 37,Expected,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Tackles,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Challanges,Unnamed: 53,Unnamed: 54,Unnamed: 55,Blocks,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Season,Standart,Expected.1
Player,Nation,Pos,Squad,Age,Born,90s Played,Goals,Shots,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Avg Shot Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,2018-2019,,
James McCarthy,ie IRL,MF,Everton,27,1990,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,7,7,100,114,7,4,4,100,3,3,100,0,0,,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,,0,0,0,0,1,3,0,0,2018-2019,,
Kevin McDonald,sct SCO,MF,Fulham,29,1988,9.3,0,4,0,0,0.43,0,0,,28.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,494,583,84.7,8643,2412,232,257,90.3,190,208,91.3,58,90,64.4,0,0.1,0.1,-0.1,4,39,0,0,41,15,11,6,8,1,5,13,38.5,8,8,2,6,9,24,22,0,2018-2019,,
Dwight McNeil,eng ENG,MF,Burnley,18,1999,17.7,3,27,6,22.2,1.53,0.34,0.11,0.5,20.9,3,0,0,2,2,0.07,1,1,380,583,65.2,6143,2005,215,251,85.7,100,157,63.7,46,109,42.2,5,3.4,2.6,1.6,26,24,17,11,41,36,22,16,17,3,13,44,29.5,31,30,3,27,13,49,35,0,2018-2019,,
Nampalys Mendy,sn SEN,MF,Leicester City,26,1992,23.2,0,2,0,0,0.09,0,0,,22.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,971,1097,88.5,15025,3966,516,559,92.3,336,373,90.1,71,96,74,0,0.2,0.5,-0.2,5,89,5,2,104,33,18,16,16,1,6,22,27.3,16,24,8,16,26,59,26,2,2018-2019,,
Max Meyer,de GER,MF,Crystal Palace,22,1995,15.7,1,38,8,21.1,2.42,0.51,0.03,0.13,19.1,0,0,0,1.8,1.8,0.05,-0.8,-0.8,562,697,80.6,8002,2022,339,391,86.7,178,210,84.8,24,45,53.3,2,1.2,1,0.8,22,51,16,2,73,33,18,14,18,1,11,20,55,9,6,0,6,15,48,19,0,2018-2019,,
Luka Milivojević,rs SRB,MF,Crystal Palace,27,1991,38,12,46,13,28.3,1.21,0.34,0.04,0.15,30,16,10,11,10.9,2.2,0.05,1.1,-0.2,1649,2189,75.3,31073,10185,675,770,87.7,700,845,82.8,230,463,49.7,2,3,3.3,-1,59,181,23,7,219,90,69,36,47,7,39,91,42.9,52,47,15,32,72,162,68,3,2018-2019,,
João Moutinho,pt POR,MF,Wolves,31,1986,33.7,1,18,3,16.7,0.53,0.09,0.06,0.33,26.2,1,0,0,0.7,0.7,0.04,0.3,0.3,1649,2072,79.6,30933,9045,648,724,89.5,710,825,86.1,234,413,56.7,8,6.5,6,1.5,84,161,41,15,220,113,58,50,56,7,44,126,34.9,82,56,11,45,40,153,50,0,2018-2019,,
Samir Nasri,fr FRA,MF,West Ham,31,1987,2.7,0,3,0,0,1.1,0,0,,21,0,0,0,0.1,0.1,0.04,-0.1,-0.1,140,160,87.5,1877,445,84,92,91.3,29,31,93.5,12,18,66.7,2,0.3,0.5,1.7,6,14,5,1,17,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,2018-2019,,
Wilfred Ndidi,ng NGA,MF,Leicester City,21,1996,36.6,2,55,9,16.4,1.5,0.25,0.04,0.22,20.9,0,0,0,3.7,3.7,0.07,-1.7,-1.7,1591,2008,79.2,26201,7192,769,912,84.3,615,738,83.3,130,203,64,0,1.8,1.6,-1.8,22,167,11,0,201,142,98,66,67,9,46,95,48.4,49,64,9,55,83,225,85,2,2018-2019,,
Rúben Neves,pt POR,MF,Wolves,21,1997,33.4,4,72,14,19.4,2.15,0.42,0.03,0.14,29.3,11,2,2,4,2.4,0.03,0,-0.4,1583,1977,80.1,33441,9557,512,587,87.2,743,840,88.5,295,455,64.8,3,1.9,1.6,1.1,23,192,16,4,206,75,32,33,36,6,27,83,32.5,56,57,18,39,73,148,46,3,2018-2019,,
Mark Noble,eng ENG,MF,West Ham,31,1987,25.5,5,13,4,30.8,0.51,0.16,0.08,0.25,28.8,0,4,4,3.7,0.5,0.04,1.3,0.5,1305,1549,84.2,23997,7095,554,622,89.1,512,582,88,187,253,73.9,5,1.9,2,3.1,21,139,23,4,197,47,26,19,24,4,17,52,32.7,35,17,2,15,21,68,13,0,2018-2019,,
Pedro Obiang,gq EQG,MF,West Ham,26,1992,12.5,0,15,1,6.7,1.2,0.08,0,0,23.6,0,0,0,0.6,0.6,0.04,-0.6,-0.6,432,546,79.1,7320,2301,230,266,86.5,116,152,76.3,63,87,72.4,1,1,0.7,0,6,52,7,1,65,41,23,23,16,2,18,43,41.9,25,27,9,18,12,53,18,0,2018-2019,,
Alex Oxlade-Chamberlain,eng ENG,MF,Liverpool,24,1993,0.2,0,1,1,100,4.29,4.29,0,0,10,0,0,0,0.5,0.5,0.54,-0.5,-0.5,10,13,76.9,162,67,6,7,85.7,4,4,100,0,1,0,0,0.1,0,-0.1,1,3,0,0,4,1,1,0,1,0,1,1,100,0,0,0,0,1,2,0,0,2018-2019,,
Andreas Pereira,br BRA,MF,Manchester Utd,22,1996,6.7,1,8,2,25,1.2,0.3,0.13,0.5,26.6,1,0,0,0.3,0.3,0.03,0.7,0.7,297,368,80.7,4795,1505,145,168,86.3,114,130,87.7,20,39,51.3,1,0.9,0.5,0.1,9,21,8,2,33,8,6,5,2,1,4,15,26.7,11,9,2,7,11,19,8,1,2018-2019,,
Roberto Pereyra,ar ARG,MF,Watford,27,1991,31.3,6,57,21,36.8,1.82,0.67,0.11,0.29,17.5,6,0,0,5.4,5.4,0.09,0.6,0.6,962,1192,80.7,13806,3701,557,620,89.8,272,336,81,67,92,72.8,1,3.2,3,-2.2,34,77,35,4,117,21,12,10,10,1,7,24,29.2,17,26,0,26,24,45,27,2,2018-2019,,
Paul Pogba,fr FRA,MF,Manchester Utd,25,1993,33.4,13,95,39,41.1,2.84,1.17,0.06,0.15,22.9,6,7,10,15,7.1,0.07,-2,-1.1,1728,2129,81.2,29890,8747,811,899,90.2,598,725,82.5,214,308,69.5,9,4.7,5,4.3,54,212,59,2,295,47,30,21,21,5,17,43,39.5,26,30,9,21,18,65,39,0,2018-2019,,
Davy Pröpper,nl NED,MF,Brighton,26,1991,28.3,1,15,2,13.3,0.53,0.07,0.07,0.5,15.9,0,0,0,0.9,0.9,0.06,0.1,0.1,973,1243,78.3,17226,4813,425,508,83.7,414,491,84.3,104,160,65,1,1.3,1.4,-0.3,19,131,17,1,165,50,28,23,21,6,16,52,30.8,36,21,6,15,53,103,37,0,2018-2019,,
Jason Puncheon,eng ENG,MF,Crystal Palace,32,1986,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,9,12,75,104,31,7,7,100,2,4,50,0,0,,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,2018-2019,,
Jason Puncheon,eng ENG,MF,Huddersfield,32,1986,4.2,0,6,0,0,1.41,0,0,,21.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3,165,214,77.1,2673,960,79,94,84,50,64,78.1,21,30,70,0,0.5,0.2,-0.5,5,20,4,0,26,7,4,1,5,1,1,7,14.3,6,3,1,2,3,10,8,0,2018-2019,,
