,,,,,,,Standart,,,,,,,,,,,,Expected,,,,,Total,,,,,Short,,,Medium,,,Long,,,Expected,,,,,,,,,Tackles,,,,,Challanges,,,,Blocks,,,,,,
Player,Nation,Pos,Squad,Age,Born,90s Played,Goals,Shots,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Avg Shot Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Marc Albrighton,eng ENG,"FW,MF",Leicester City,32,1989,2.6,1,2,1,50,0.76,0.38,0.5,1,8,0,0,0,0.3,0.3,0.17,0.7,0.7,89,148,60.1,1440,551,48,60,80,23,34,67.6,12,34,35.3,0,0.9,0.4,-0.9,6,6,5,2,7,4,1,0,2,2,1,8,12.5,7,6,2,4,1,5,5,0
Julián Álvarez,ar ARG,"FW,MF",Manchester City,22,2000,16.3,9,46,20,43.5,2.83,1.23,0.17,0.4,16,0,1,1,7,6.2,0.13,2,1.8,395,503,78.5,5472,885,232,270,85.9,103,135,76.3,28,43,65.1,0,1.8,1.6,-1.8,18,22,13,2,37,26,16,3,13,10,9,30,30,21,13,0,13,2,28,6,0
Cameron Archer,eng ENG,"FW,MF",Aston Villa,21,2001,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,8,12,66.7,108,44,5,5,100,3,5,60,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Adam Armstrong,eng ENG,"FW,MF",Southampton,25,1997,14.8,2,25,12,48,1.69,0.81,0.08,0.17,15.9,0,0,0,2.1,2.1,0.08,-0.1,-0.1,220,302,72.8,3235,585,120,146,82.2,71,89,79.8,13,23,56.5,1,1.3,0.8,-0.3,11,13,10,2,16,14,9,6,5,3,3,10,30,7,15,3,12,5,19,6,0
André Ayew,gh GHA,"FW,MF",Nott'ham Forest,32,1989,3.5,0,3,1,33.3,0.85,0.28,0,0,19.3,0,0,1,1,0.3,0.09,-1,-0.3,53,73,72.6,686,146,38,46,82.6,13,21,61.9,0,1,0,0,0,0,0,1,3,1,0,11,5,3,0,4,1,2,4,50,2,6,1,5,0,5,7,0
Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,30,1991,30.2,4,32,10,31.3,1.06,0.33,0.13,0.4,16.1,0,0,0,3.2,3.2,0.1,0.8,0.8,676,875,77.3,8710,1706,434,495,87.7,192,246,78,15,40,37.5,3,3.2,2.6,-0.2,31,34,19,6,63,66,41,23,20,23,21,53,39.6,32,35,4,31,15,81,31,0
Leon Bailey,jm JAM,"FW,MF",Aston Villa,24,1997,21.9,4,51,14,27.5,2.33,0.64,0.08,0.29,18.1,3,0,0,5.3,5.3,0.1,-1.3,-1.3,337,547,61.6,5379,1285,190,248,76.6,97,154,63,35,75,46.7,4,4.8,4.8,-0.8,30,19,21,15,28,14,6,6,7,1,5,20,25,15,13,0,13,6,20,12,0
Dominic Ballard,eng ENG,"FW,MF",Southampton,17,2005,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,5,7,71.4,55,5,3,4,75,2,2,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Harvey Barnes,eng ENG,"FW,MF",Leicester City,24,1997,30.1,13,72,34,47.2,2.39,1.13,0.18,0.38,15.9,0,0,0,8.9,8.9,0.12,4.1,4.1,549,786,69.8,7152,2004,363,462,78.6,142,210,67.6,17,37,45.9,1,3.1,2.2,-2.1,19,39,31,5,79,26,14,8,14,4,14,42,33.3,28,32,1,31,8,34,12,0
Saïd Benrahma,dz ALG,"FW,MF",West Ham,26,1995,23,6,69,23,33.3,3,1,0.03,0.09,21.9,5,4,4,7,3.9,0.06,-1,-1.9,597,796,75,8154,2088,374,425,88,176,241,73,25,61,41,3,4.5,3.3,-1.5,48,32,23,12,82,25,15,11,7,7,11,27,40.7,16,23,1,22,9,34,13,0
Jarrod Bowen,eng ENG,"FW,MF",West Ham,25,1996,35.9,6,73,21,28.8,2.03,0.58,0.07,0.24,16.2,1,1,2,8.9,7.8,0.11,-2.9,-2.8,552,881,62.7,8725,2552,312,385,81,170,225,75.6,52,164,31.7,5,7.4,6,-2.4,48,39,24,9,72,39,16,14,11,14,16,58,27.6,42,47,9,38,36,75,25,0
David Brooks,wls WAL,"FW,MF",Bournemouth,25,1997,1.9,0,5,1,20,2.6,0.52,0,0,20.6,1,0,0,0.3,0.3,0.05,-0.3,-0.3,46,63,73,640,140,30,32,93.8,13,16,81.3,2,9,22.2,0,0.2,0.2,-0.2,2,4,1,0,11,1,0,1,0,0,0,1,0,1,2,0,2,2,3,5,0
