,,,,,,,Standart,,,,,,,,,,,,Expected,,,,,Total,,,,,Short,,,Medium,,,Long,,,Expected,,,,,,,,,Tackles,,,,,Challanges,,,,Blocks,,,,,,
Facundo Buonanotte,ar ARG,"FW,MF",Brighton,17,2004,6.3,1,11,3,27.3,1.75,0.48,0.09,0.33,16.9,0,0,0,1.4,1.4,0.13,-0.4,-0.4,157,194,80.9,2407,525,101,114,88.6,36,46,78.3,17,21,81,1,0.5,0.4,0.5,6,9,10,2,13,2,1,1,1,0,1,22,4.5,21,5,2,3,4,6,3,0
Chem Campbell,wls WAL,"FW,MF",Wolves,19,2002,0.8,0,2,0,0,2.43,0,0,,11.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,23,32,71.9,344,64,10,11,90.9,13,14,92.9,0,5,0,0,0,0,0,0,2,0,0,4,2,1,1,1,0,0,1,0,1,2,0,2,1,3,0,0
Arnaut Danjuma,nl NED,"FW,MF",Tottenham,25,1997,1.9,1,6,3,50,3.2,1.6,0.17,0.33,14.2,0,0,0,0.8,0.8,0.14,0.2,0.2,39,56,69.6,514,107,29,35,82.9,8,10,80,2,2,100,0,0,0.1,0,1,5,2,2,2,2,0,1,1,0,0,0,,0,1,0,1,0,2,0,0
Siriki Dembélé,ci CIV,"FW,MF",Bournemouth,25,1996,1.2,0,2,2,100,1.64,1.64,0,0,16.6,0,0,0,0.2,0.2,0.09,-0.2,-0.2,37,47,78.7,543,223,22,29,75.9,10,13,76.9,2,2,100,0,0.3,0.2,-0.3,4,2,3,2,4,3,1,2,1,0,0,1,0,1,1,0,1,1,4,1,0
Emmanuel Dennis,ng NGA,"FW,MF",Nott'ham Forest,24,1997,8,2,21,7,33.3,2.62,0.87,0.1,0.29,13.2,2,0,0,1.9,1.9,0.09,0.1,0.1,124,183,67.8,1860,382,72,93,77.4,40,58,69,8,11,72.7,2,0.6,0.4,1.4,7,7,4,2,17,17,11,5,5,7,8,18,44.4,10,13,1,12,2,19,6,0
Jáder Durán,co COL,"FW,MF",Aston Villa,18,2003,1.5,0,7,2,28.6,4.63,1.32,0,0,19.8,0,0,0,0.6,0.6,0.08,-0.6,-0.6,16,29,55.2,264,47,8,12,66.7,7,12,58.3,1,2,50,0,0,0,0,1,1,1,0,4,2,2,0,1,1,1,4,25,3,0,0,0,2,4,2,0
Samuel Edozie,eng ENG,"FW,MF",Southampton,19,2003,6.3,0,8,3,37.5,1.27,0.48,0,0,16.5,0,0,0,0.9,0.9,0.11,-0.9,-0.9,111,164,67.7,1348,354,75,93,80.6,22,34,64.7,5,10,50,0,0.4,0.4,-0.4,8,6,6,1,13,17,10,6,10,1,3,8,37.5,5,7,0,7,6,23,6,0
Julio Enciso,py PAR,"FW,MF",Brighton,18,2004,9,4,38,18,47.4,4.24,2.01,0.11,0.22,19.6,0,0,0,4,4,0.11,0,0,179,258,69.4,2242,548,126,167,75.4,45,66,68.2,3,8,37.5,2,1.7,1.4,0.3,13,14,9,0,31,13,4,3,6,4,8,13,61.5,5,9,0,9,4,17,2,0
João Félix,pt POR,"FW,MF",Chelsea,22,1999,10.5,4,46,16,34.8,4.4,1.53,0.09,0.25,18,3,0,0,4.9,4.9,0.11,-0.9,-0.9,274,356,77,4034,1122,172,194,88.7,74,101,73.3,20,39,51.3,0,0.5,1,-0.5,7,29,17,1,47,14,7,5,6,3,4,12,33.3,8,3,0,3,1,15,1,1
Roberto Firmino,br BRA,"FW,MF",Liverpool,30,1991,13.5,11,39,25,64.1,2.89,1.85,0.28,0.44,12.3,0,0,0,5.5,5.5,0.14,5.5,5.5,444,566,78.4,5932,1908,277,324,85.5,123,155,79.4,18,26,69.2,4,2.5,2.2,1.5,21,47,19,1,78,17,12,2,12,3,4,22,18.2,18,16,1,15,7,24,2,0
Pablo Fornals,es ESP,"FW,MF",West Ham,26,1996,16.7,3,27,7,25.9,1.62,0.42,0.11,0.43,22.6,0,0,0,2.2,2.2,0.08,0.8,0.8,557,771,72.2,9313,2676,261,300,87,208,277,75.1,61,124,49.2,1,1.7,2,-0.7,20,60,12,4,89,30,15,9,12,9,13,34,38.2,21,16,2,14,14,44,9,0
Cody Gakpo,nl NED,"FW,MF",Liverpool,23,1999,16.2,7,39,12,30.8,2.41,0.74,0.18,0.58,14.8,0,0,0,6.2,6.2,0.16,0.8,0.8,293,392,74.7,3928,1110,168,208,80.8,91,119,76.5,11,20,55,2,2.7,1.9,-0.7,23,33,11,1,50,26,15,4,13,9,13,38,34.2,25,13,1,12,4,30,2,0
Alejandro Garnacho,ar ARG,"FW,MF",Manchester Utd,18,2004,6.3,3,24,9,37.5,3.8,1.42,0.13,0.33,16.3,0,0,0,3,3,0.13,0,0,150,187,80.2,1802,233,113,131,86.3,27,30,90,4,5,80,2,1,0.9,1,3,2,2,0,12,5,2,2,0,3,1,11,9.1,10,5,0,5,5,10,3,0
Morgan Gibbs-White,eng ENG,"FW,MF",Wolves,22,2000,2,0,3,1,33.3,1.5,0.5,0,0,11.5,0,0,0,0.7,0.7,0.24,-0.7,-0.7,75,95,78.9,1122,345,47,58,81,17,21,81,7,9,77.8,0,0.1,0.2,-0.1,1,10,1,0,12,3,1,3,0,0,2,4,50,2,2,0,2,1,4,3,0
Wilfried Gnonto,it ITA,"FW,MF",Leeds United,18,2003,15,2,22,8,36.4,1.46,0.53,0.09,0.25,17.4,0,0,0,1.8,1.8,0.08,0.2,0.2,370,512,72.3,4823,1234,230,270,85.2,104,137,75.9,12,24,50,4,2.2,2.2,1.8,22,12,19,5,35,27,17,7,15,5,10,30,33.3,20,24,1,23,5,32,7,0
Anthony Gordon,eng ENG,"FW,MF",Newcastle Utd,21,2001,5.4,1,8,2,25,1.48,0.37,0.13,0.5,14,0,0,0,1.7,1.7,0.21,-0.7,-0.7,162,198,81.8,2222,547,105,115,91.3,44,54,81.5,7,12,58.3,0,0.9,0.9,-0.9,6,11,5,0,15,14,12,5,7,2,9,20,45,11,9,1,8,2,16,1,1
Demarai Gray,jm JAM,"FW,MF",Everton,26,1996,27.9,4,57,22,38.6,2.05,0.79,0.04,0.09,19.5,8,2,2,6.2,4.7,0.08,-2.2,-2.7,579,838,69.1,9843,2215,289,328,88.1,191,252,75.8,72,179,40.2,1,3.8,3.8,-2.8,37,30,18,7,46,33,24,9,14,10,17,31,54.8,14,23,3,20,13,46,18,0
Gonçalo Guedes,pt POR,"FW,MF",Wolves,25,1996,7.9,1,19,6,31.6,2.42,0.76,0.05,0.17,18.4,1,0,0,1.2,1.2,0.06,-0.2,-0.2,138,201,68.7,2297,526,82,97,84.5,40,56,71.4,13,26,50,1,0.5,0.5,0.5,9,11,8,2,16,8,6,4,3,1,5,8,62.5,3,4,0,4,1,9,2,0
Jack Harrison,eng ENG,"FW,MF",Leeds United,25,1996,30.1,5,39,14,35.9,1.3,0.47,0.13,0.36,17.8,3,0,0,4.7,4.7,0.12,0.3,0.3,732,1150,63.7,10776,4115,443,544,81.4,189,316,59.8,60,165,36.4,7,5.1,5.1,1.9,53,57,51,21,103,41,17,5,15,21,12,52,23.1,40,47,2,45,22,63,25,0
Kai Havertz,de GER,"FW,MF",Chelsea,23,1999,28.5,7,70,31,44.3,2.45,1.09,0.09,0.19,12.7,1,1,1,11.6,10.8,0.15,-4.6,-4.8,727,894,81.3,9347,1882,458,540,84.8,195,221,88.2,23,32,71.9,1,3.8,2.8,-2.8,38,49,26,2,89,34,16,4,20,10,10,30,33.3,20,28,0,28,7,41,41,0
Hwang Hee-chan,kr KOR,"FW,MF",Wolves,26,1996,12.6,3,18,7,38.9,1.43,0.56,0.17,0.43,15,0,0,0,2.9,2.9,0.16,0.1,0.1,214,280,76.4,3139,653,122,147,83,73,88,83,10,16,62.5,1,1.1,0.6,-0.1,10,9,10,1,30,20,9,7,8,5,6,20,30,14,18,2,16,5,25,5,0
Kelechi Iheanacho,ng NGA,"FW,MF",Leicester City,25,1996,12.5,5,38,13,34.2,3.03,1.04,0.11,0.31,17.1,0,1,1,7.1,6.3,0.17,-2.1,-2.3,236,316,74.7,3049,602,156,189,82.5,54,67,80.6,11,22,50,5,4,1.8,1,22,21,8,0,27,7,2,0,3,4,3,10,30,7,9,1,8,0,7,8,0
Brennan Johnson,wls WAL,"FW,MF",Nott'ham Forest,21,2001,32.6,8,52,24,46.2,1.6,0.74,0.13,0.29,16.6,0,1,3,8.6,6.2,0.12,-0.6,0.8,291,505,57.6,4220,809,155,223,69.5,103,177,58.2,15,34,44.1,3,3.2,1.9,-0.2,28,12,18,6,30,34,20,18,8,8,8,29,27.6,21,30,1,29,5,39,7,1
Mateo Joseph,es ESP,"FW,MF",Leeds United,18,2003,0.3,0,1,1,100,3.46,3.46,0,0,15.4,0,0,0,0.1,0.1,0.12,-0.1,-0.1,2,3,66.7,13,0,1,2,50,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
Hamed Junior Traorè,ci CIV,"FW,MF",Bournemouth,22,2000,4.7,0,6,0,0,1.26,0,0,,17.1,1,0,0,0.9,0.9,0.15,-0.9,-0.9,109,178,61.2,1850,775,55,72,76.4,35,56,62.5,13,33,39.4,0,1.1,1.1,-1.1,14,11,10,3,26,17,11,5,9,3,6,18,33.3,12,9,0,9,2,19,1,0
Keane Lewis-Potter,eng ENG,"FW,MF",Brentford,21,2001,3.6,0,7,2,28.6,1.96,0.56,0,0,14.1,0,0,0,0.5,0.5,0.07,-0.5,-0.5,49,86,57,600,118,33,50,66,12,17,70.6,1,10,10,1,1.2,0.3,-0.2,5,2,3,1,6,1,0,0,1,0,0,0,,0,5,1,4,0,1,2,0
Jesse Lingard,eng ENG,"FW,MF",Nott'ham Forest,29,1992,10.3,0,10,2,20,0.98,0.2,0,0,19.3,0,0,0,1,1,0.1,-1,-1,236,297,79.5,3558,897,121,137,88.3,88,104,84.6,14,28,50,0,0.7,0.5,-0.7,11,27,7,1,33,4,4,2,2,0,1,7,14.3,6,11,0,11,5,9,4,0
Riyad Mahrez,dz ALG,"FW,MF",Manchester City,31,1991,21.3,5,42,12,28.6,1.97,0.56,0.1,0.33,17.2,7,1,1,5.6,4.8,0.11,-0.6,-0.8,958,1166,82.2,15746,2752,506,567,89.2,355,416,85.3,82,141,58.2,10,7,5.3,3,52,36,37,7,76,30,14,8,13,9,13,39,33.3,26,27,1,26,9,39,5,0
Sekou Mara,fr FRA,"FW,MF",Southampton,20,2002,6.2,1,17,4,23.5,2.76,0.65,0.06,0.25,16.2,0,0,0,1,1,0.06,0,0,68,107,63.6,876,162,44,59,74.6,14,18,77.8,4,7,57.1,2,0.8,0.3,1.2,6,6,2,0,7,14,10,5,8,1,3,9,33.3,6,11,0,11,1,15,5,0
Dwight McNeil,eng ENG,"FW,MF",Everton,22,1999,27.8,7,46,15,32.6,1.66,0.54,0.15,0.47,20.5,1,0,0,3.5,3.5,0.08,3.5,3.5,656,987,66.5,11288,3797,335,391,85.7,208,278,74.8,87,212,41,3,6.1,5.4,-3.1,49,45,27,14,69,64,41,35,14,15,27,65,41.5,38,46,7,39,31,95,41,0
Kaoru Mitoma,jp JPN,"FW,MF",Brighton,25,1997,25.8,7,52,21,40.4,2.02,0.82,0.13,0.33,13.2,0,0,0,8.1,8.1,0.16,-1.1,-1.1,780,977,79.8,10673,2356,507,570,88.9,214,268,79.9,30,53,56.6,5,6.4,4.9,-1.4,41,45,28,1,90,44,27,15,16,13,20,41,48.8,21,25,0,25,17,61,10,0
Mykhailo Mudryk,ua UKR,"FW,MF",Chelsea,21,2001,7.3,0,14,5,35.7,1.92,0.68,0,0,18.4,0,0,0,1.9,1.9,0.13,-1.9,-1.9,161,216,74.5,2112,668,104,126,82.5,35,48,72.9,9,23,39.1,2,0.9,1.2,1.1,10,10,10,0,20,11,9,2,4,5,4,13,30.8,9,7,1,6,0,11,3,0
Enock Mwepu,zm ZAM,"FW,MF",Brighton,24,1998,2.4,0,2,1,50,0.85,0.42,0,0,16.7,0,0,0,0.2,0.2,0.11,-0.2,-0.2,61,78,78.2,819,126,42,50,84,15,17,88.2,3,5,60,1,0.5,0.2,0.5,3,5,2,0,6,10,5,1,6,3,3,4,75,1,3,1,2,1,11,1,0
Pedro Neto,pt POR,"FW,MF",Wolves,22,2000,10.7,0,17,3,17.6,1.59,0.28,0,0,20.7,1,0,0,1.1,1.1,0.06,-1.1,-1.1,284,384,74,4517,1035,165,186,88.7,83,118,70.3,27,54,50,0,2.1,1.6,-2.1,20,13,9,4,24,11,6,4,2,5,7,17,41.2,10,5,1,4,4,15,4,0
Michael Olise,fr FRA,"FW,MF",Crystal Palace,20,2001,30.5,2,51,14,27.5,1.67,0.46,0.04,0.14,21.1,7,0,0,2.9,2.9,0.06,-0.9,-0.9,985,1420,69.4,16792,5022,518,601,86.2,328,444,73.9,115,273,42.1,11,8.7,6.4,2.3,72,72,53,16,133,58,34,28,26,4,25,60,41.7,35,46,1,45,26,84,17,0
Alex Oxlade-Chamberlain,eng ENG,"FW,MF",Liverpool,28,1993,3.7,1,7,3,42.9,1.88,0.81,0.14,0.33,16.3,0,0,0,1.2,1.2,0.17,-0.2,-0.2,75,106,70.8,1253,347,39,45,86.7,24,34,70.6,8,14,57.1,0,0.6,0.2,-0.6,5,8,2,0,14,5,4,1,2,2,1,5,20,4,5,2,3,1,6,4,0
Facundo Pellistri,uy URU,"FW,MF",Manchester Utd,20,2001,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,15,16,93.8,180,17,8,9,88.9,5,5,100,0,0,,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,,0,0,0,0,0,1,3,0
Daniel Podence,pt POR,"FW,MF",Wolves,26,1995,19.7,6,43,17,39.5,2.19,0.86,0.14,0.35,16.5,0,0,0,3.9,3.9,0.09,2.1,2.1,445,663,67.1,7362,2311,227,301,75.4,140,209,67,51,90,56.7,0,2.5,2.2,-2.5,36,35,39,7,95,27,17,13,9,5,6,32,18.8,26,19,0,19,7,34,6,0
Matt Ritchie,sct SCO,"FW,MF",Newcastle Utd,32,1989,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,24,31,77.4,342,88,16,16,100,4,6,66.7,3,4,75,0,0.1,0,-0.1,1,0,0,0,1,1,1,0,1,0,1,3,33.3,2,0,0,0,1,2,0,0
Rodrigo,es ESP,"FW,MF",Leeds United,31,1991,21.5,13,66,25,37.9,3.07,1.16,0.18,0.48,15.8,2,1,1,8,7.2,0.11,5,4.8,389,550,70.7,5651,1138,219,277,79.1,110,158,69.6,32,56,57.1,1,1.8,1.3,-0.8,16,23,17,5,44,24,10,2,15,7,8,20,40,12,16,4,12,6,30,21,1
Georginio Rutter,fr FRA,"FW,MF",Leeds United,20,2002,3,0,4,0,0,1.32,0,0,,14,0,0,0,0.4,0.4,0.1,-0.4,-0.4,31,62,50,439,97,19,33,57.6,9,16,56.3,2,2,100,1,0.3,0.2,0.7,4,1,2,0,6,10,9,5,3,2,5,8,62.5,3,5,0,5,3,13,3,0
Jadon Sancho,eng ENG,"FW,MF",Manchester Utd,22,2000,18.7,6,21,9,42.9,1.12,0.48,0.29,0.67,14.1,0,0,0,4.2,4.2,0.2,1.8,1.8,647,776,83.4,7890,1794,450,504,89.3,140,164,85.4,15,26,57.7,3,5,4.1,-2,43,23,40,1,76,16,10,7,5,4,8,28,28.6,20,25,2,23,7,23,6,0
Pablo Sarabia,es ESP,"FW,MF",Wolves,30,1992,8.5,1,20,5,25,2.35,0.59,0.05,0.2,14.8,1,0,0,3.1,3.1,0.15,-2.1,-2.1,252,365,69,3772,1260,151,176,85.8,66,92,71.7,22,59,37.3,0,0.8,0.8,-0.8,11,26,15,4,41,12,6,4,5,3,6,15,40,9,7,0,7,2,14,4,0
Antoine Semenyo,gh GHA,"FW,MF",Bournemouth,22,2000,2.9,1,3,1,33.3,1.05,0.35,0.33,1,17.2,0,0,0,0.3,0.3,0.09,0.7,0.7,38,57,66.7,543,153,24,33,72.7,11,13,84.6,2,4,50,0,0.1,0,-0.1,2,5,0,0,5,1,0,0,0,1,1,6,16.7,5,10,1,9,2,3,4,0
Dominic Solanke,eng ENG,"FW,MF",Bournemouth,24,1997,31.8,6,76,28,36.8,2.39,0.88,0.08,0.21,12.8,0,0,0,9.1,9.1,0.12,-3.1,-3.1,363,533,68.1,4673,1106,225,294,76.5,101,135,74.8,14,24,58.3,7,3.9,2.4,3.1,21,22,17,1,47,15,9,8,3,4,5,22,22.7,17,26,7,19,6,21,46,0
Raheem Sterling,eng ENG,"FW,MF",Chelsea,27,1994,21,6,42,16,38.1,2,0.76,0.14,0.38,13.6,0,0,0,6.2,6.2,0.15,-0.2,-0.2,514,685,75,6522,1357,326,386,84.5,136,179,76,18,33,54.5,3,4.6,3.2,-1.6,34,26,31,9,59,18,10,5,4,9,8,14,57.1,6,17,0,17,2,20,5,0
Kamaldeen Sulemana,gh GHA,"FW,MF",Southampton,20,2002,10.7,2,24,7,29.2,2.24,0.65,0.08,0.29,18.8,0,0,0,1.7,1.7,0.07,0.3,0.3,189,265,71.3,2901,617,103,128,80.5,59,75,78.7,16,31,51.6,1,1.3,1,-0.3,14,11,10,1,36,15,9,4,7,4,4,14,28.6,10,16,0,16,6,21,6,0
Adama Traoré,es ESP,"FW,MF",Wolves,26,1996,16.6,2,19,7,36.8,1.14,0.42,0.11,0.29,15,0,0,0,1.4,1.4,0.07,0.6,0.6,325,494,65.8,4826,1228,198,264,75,85,129,65.9,25,46,54.3,1,3.7,3.2,-2.7,24,17,22,14,36,14,7,7,4,3,4,9,44.4,5,8,1,7,3,17,17,0
Bertrand Traoré,bf BFA,"FW,MF",Aston Villa,26,1995,2.6,2,9,3,33.3,3.48,1.16,0.22,0.67,16.4,0,0,0,0.7,0.7,0.08,1.3,1.3,59,75,78.7,868,258,36,40,90,18,21,85.7,3,5,60,0,0.1,0.1,-0.1,1,1,5,3,9,1,1,1,0,0,1,4,25,3,5,0,5,2,3,0,0
Leandro Trossard,be BEL,"FW,MF",Brighton,27,1994,14.6,7,38,17,44.7,2.6,1.16,0.18,0.41,15,0,0,0,4.4,4.4,0.12,2.6,2.6,379,529,71.6,6222,1920,199,236,84.3,124,178,69.7,40,63,63.5,2,2.1,2.1,-0.1,23,42,25,7,67,10,6,7,1,2,1,8,12.5,7,17,0,17,6,16,1,0
Deniz Undav,de GER,"FW,MF",Brighton,26,1996,7,5,27,12,44.4,3.87,1.72,0.19,0.42,13.8,0,0,0,4.5,4.5,0.18,0.5,0.5,122,164,74.4,1504,325,84,100,84,25,36,69.4,5,10,50,0,1.1,1.1,-1.1,8,8,3,0,10,7,4,2,2,3,2,8,25,6,4,1,3,0,7,1,0
Theo Walcott,eng ENG,"FW,MF",Southampton,33,1989,12.5,2,20,7,35,1.59,0.56,0.1,0.29,16.9,0,0,0,2.2,2.2,0.11,-0.2,-0.2,180,262,68.7,2284,516,120,151,79.5,39,68,57.4,4,14,28.6,2,2,1.7,0,15,7,7,2,14,13,6,8,4,1,8,27,29.6,19,8,1,7,9,22,7,0
Wout Weghorst,nl NED,"FW,MF",Manchester Utd,29,1992,8.9,0,14,5,35.7,1.58,0.56,0,0,12.5,0,0,0,2,2,0.14,-2,-2,151,207,72.9,1773,457,95,121,78.5,31,40,77.5,5,13,38.5,1,1.2,1.2,-0.2,14,8,1,0,17,11,5,6,1,4,2,9,22.2,7,7,2,5,7,18,9,0
Wilfried Zaha,ci CIV,"FW,MF",Crystal Palace,29,1992,25.4,7,64,21,32.8,2.52,0.83,0.11,0.33,16.8,0,0,2,6.5,4.8,0.08,0.5,2.2,502,650,77.2,7047,1594,322,370,87,148,185,80,18,37,48.6,2,2.7,3,-0.7,26,18,41,3,75,32,20,12,12,8,8,21,38.1,13,21,1,20,16,48,9,0
Hakim Ziyech,ma MAR,"FW,MF",Chelsea,29,1993,7.3,0,16,3,18.8,2.18,0.41,0,0,22.7,0,0,0,0.6,0.6,0.04,-0.6,-0.6,258,400,64.5,4222,1570,148,169,87.6,82,133,61.7,24,66,36.4,3,2.2,1.5,0.8,14,20,19,7,42,20,12,12,5,3,4,9,44.4,5,8,0,8,5,25,5,1
Brenden Aaronson,us USA,"MF,FW",Leeds United,21,2000,26.4,1,41,9,22,1.56,0.34,0.02,0.11,18.4,2,0,0,3.9,3.9,0.09,-2.9,-2.9,592,797,74.3,7577,2182,346,423,81.8,150,195,76.9,25,65,38.5,3,4.2,2.6,-1.2,46,47,16,4,86,45,18,16,22,7,15,46,32.6,31,43,3,40,5,50,6,1
Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,20,2002,1,0,3,0,0,2.87,0,0,,15.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,37,46,80.4,550,179,19,23,82.6,15,17,88.2,1,3,33.3,0,0.1,0,-0.1,1,3,0,0,2,3,2,3,0,0,1,3,33.3,2,2,0,2,0,3,0,0
Carlos Alcaraz,ar ARG,"MF,FW",Southampton,19,2002,11.4,4,24,10,41.7,2.1,0.87,0.17,0.4,20,0,0,0,1.9,1.9,0.08,2.1,2.1,222,290,76.6,3147,669,114,137,83.2,80,95,84.2,8,19,42.1,2,0.7,0.7,1.3,5,20,6,0,28,10,5,2,7,1,6,22,27.3,16,14,5,9,1,11,11,0
Elliot Anderson,eng ENG,"MF,FW",Newcastle Utd,19,2002,4.6,0,11,4,36.4,2.41,0.88,0,0,16,0,0,0,1,1,0.09,-1,-1,150,198,75.8,2043,599,90,104,86.5,44,56,78.6,5,10,50,1,1.3,1.5,-0.3,9,15,4,0,24,11,5,5,3,3,6,12,50,6,11,2,9,6,17,2,0
Jaidon Anthony,eng ENG,"MF,FW",Bournemouth,22,1999,14,3,22,13,59.1,1.58,0.93,0.14,0.23,19.3,2,0,0,2.2,2.2,0.1,0.8,0.8,387,526,73.6,5818,1610,225,257,87.5,110,150,73.3,31,63,49.2,1,1,1.1,0,12,24,19,7,49,30,17,15,9,6,8,24,33.3,16,30,3,27,10,40,19,0
Joe Aribo,ng NGA,"MF,FW",Southampton,26,1996,13.6,2,14,8,57.1,1.03,0.59,0.14,0.25,10.9,0,0,0,1.5,1.5,0.11,0.5,0.5,280,385,72.7,3591,907,187,240,77.9,66,87,75.9,9,12,75,0,0.8,0.5,-0.8,9,20,9,0,39,31,20,15,12,4,11,20,55,9,14,1,13,10,41,11,0
Stuart Armstrong,sct SCO,"MF,FW",Southampton,30,1992,15.6,2,23,6,26.1,1.47,0.38,0.09,0.33,17.9,0,0,0,2.4,2.4,0.1,-0.4,-0.4,531,676,78.6,8041,2224,296,341,86.8,189,226,83.6,29,55,52.7,1,2.2,2.8,-1.2,18,47,32,7,75,32,21,15,13,4,14,39,35.9,25,18,0,18,10,42,9,2
