,,,,,,,Standart,,,,,,,,,,,,Expected,,,,,Total,,,,,Short,,,Medium,,,Long,,,Expected,,,,,,,,,Tackles,,,,,Challanges,,,,Blocks,,,,,,
Player,Nation,Pos,Squad,Age,Born,90s Played,Goals,Shots,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Avg Shot Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Simon Adingra,ci CIV,"FW,MF",Brighton,22,2002,12.2,2,33,8,24.2,2.71,0.66,0.06,0.25,17,0,0,0,2.5,2.5,0.07,-0.5,-0.5,290,382,75.9,4148,820,187,217,86.2,81,109,74.3,16,29,55.2,2,2.5,2.8,-0.5,16,5,17,6,18,23,14,10,8,5,10,26,38.5,16,12,0,12,8,31,6,2
Carlos Alcaraz,ar ARG,"FW,MF",Everton,21,2002,8.5,2,26,11,42.3,3.06,1.3,0.08,0.18,20.3,1,0,0,1.7,1.7,0.07,0.3,0.3,224,278,80.6,3963,1007,96,112,85.7,95,107,88.8,24,37,64.9,3,1.6,0.7,1.4,13,20,18,3,42,11,5,5,3,3,3,11,27.3,8,9,2,7,5,16,10,0
Adam Armstrong,eng ENG,"FW,MF",Southampton,27,1997,13.9,2,25,7,28,1.8,0.5,0.08,0.29,16.6,0,0,1,3.3,2.3,0.09,-1.3,-0.3,231,288,80.2,3320,446,138,158,87.3,81,95,85.3,6,13,46.2,2,1.2,0.6,0.8,9,10,8,2,21,12,3,2,7,3,3,14,21.4,11,6,1,5,3,15,8,0
Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,32,1991,0.2,0,1,0,0,4.29,0,0,,5.5,0,0,0,0.5,0.5,0.46,-0.5,-0.5,8,10,80,167,4,3,3,100,4,6,66.7,1,1,100,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
Jordan Ayew,gh GHA,"FW,MF",Leicester City,32,1991,18.2,5,31,8,25.8,1.7,0.44,0.13,0.5,18.8,4,1,1,3.2,2.4,0.08,1.8,1.6,401,540,74.3,5942,1216,219,252,86.9,138,183,75.4,24,59,40.7,0,1.1,1.5,-1.1,16,25,14,7,46,27,15,8,14,5,7,23,30.4,16,21,2,19,12,39,19,0
Leon Bailey,jm JAM,"FW,MF",Aston Villa,26,1997,12.7,1,28,6,21.4,2.21,0.47,0.04,0.17,17.3,2,0,0,1.7,1.7,0.06,-0.7,-0.7,277,390,71,4313,1055,152,186,81.7,100,123,81.3,18,38,47.4,2,1.5,3,0.5,16,16,20,2,35,7,5,2,3,2,3,11,27.3,8,6,0,6,3,10,12,0
Jarrod Bowen,eng ENG,"FW,MF",West Ham,27,1996,33,13,86,36,41.9,2.6,1.09,0.14,0.33,17.4,1,1,1,8.6,7.8,0.09,4.4,4.2,584,815,71.7,9476,2687,326,388,84,187,250,74.8,54,94,57.4,8,6.8,6.5,1.2,51,41,46,8,91,41,26,13,12,16,19,40,47.5,21,22,4,18,16,57,25,0
David Brooks,wls WAL,"FW,MF",Bournemouth,27,1997,10.7,2,25,12,48,2.34,1.13,0.08,0.17,16.3,0,0,0,2.5,2.5,0.1,-0.5,-0.5,310,411,75.4,4795,1429,176,205,85.9,101,130,77.7,24,47,51.1,0,1.9,2,-1.9,20,22,18,6,35,14,6,2,8,4,2,16,12.5,14,18,2,16,5,19,9,1
Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,19,2004,16.9,5,36,12,33.3,2.13,0.71,0.14,0.42,17.6,0,0,0,3.9,3.9,0.11,1.1,1.1,437,572,76.4,6930,1757,236,276,85.5,150,182,82.4,35,74,47.3,2,3.1,2.3,-1.1,24,41,13,2,54,53,32,17,22,14,21,67,31.3,46,34,6,28,12,65,14,0
Fabio Carvalho,pt POR,"FW,MF",Brentford,21,2002,5.1,2,12,5,41.7,2.37,0.99,0.17,0.4,14.7,0,0,0,2.5,2.5,0.21,-0.5,-0.5,126,178,70.8,1755,442,78,94,83,32,45,71.1,7,18,38.9,1,0.7,0.6,0.3,4,11,5,1,17,13,9,4,4,5,6,13,46.2,7,6,1,5,3,16,2,0
Youssef Chermiti,pt POR,"FW,MF",Everton,20,2004,0.5,0,3,1,33.3,6,2,0,0,13.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,6,11,54.5,78,14,4,7,57.1,0,1,0,1,1,100,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Jack Clarke,eng ENG,"FW,MF",Ipswich Town,23,2000,13.1,0,17,2,11.8,1.3,0.15,0,0,18.9,0,0,0,1.2,1.2,0.07,-1.2,-1.2,302,393,76.8,4942,1242,151,173,87.3,131,153,85.6,16,31,51.6,4,2.3,1.2,1.7,28,27,9,0,44,32,20,11,10,11,17,34,50,17,9,0,9,7,39,29,2
Patson Daka,zm ZAM,"FW,MF",Leicester City,25,1998,8.2,1,15,4,26.7,1.83,0.49,0.07,0.25,14.8,0,0,0,1.3,1.3,0.08,-0.3,-0.3,106,147,72.1,1475,257,64,80,80,33,45,73.3,3,3,100,0,0.1,0.1,-0.1,1,6,1,0,8,19,10,6,9,4,7,18,38.9,11,7,1,6,1,20,12,0
Tyler Dibling,eng ENG,"FW,MF",Southampton,18,2006,20.8,2,28,9,32.1,1.34,0.43,0.07,0.22,19.3,0,0,0,2.5,2.5,0.09,-0.5,-0.5,504,620,81.3,7544,1553,286,316,90.5,181,212,85.4,22,48,45.8,0,1.5,1.5,-1.5,20,27,20,1,64,34,20,13,18,3,16,26,61.5,10,19,5,14,8,42,16,1
Jeremy Doku,be BEL,"FW,MF",Manchester City,22,2002,16.8,3,29,9,31,1.72,0.53,0.1,0.33,17.7,0,0,0,1.3,1.3,0.05,1.7,1.7,603,762,79.1,8464,1506,400,463,86.4,183,226,81,14,21,66.7,6,4.8,3.8,1.2,32,12,48,6,69,31,22,9,12,10,8,15,53.3,7,11,1,10,4,35,2,0
Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,22,2002,27.8,6,44,24,54.5,1.58,0.86,0.14,0.25,17.6,6,0,0,4.5,4.5,0.1,1.5,1.5,540,827,65.3,8021,2660,318,387,82.2,150,232,64.7,46,131,35.1,11,5.7,5.1,5.3,50,32,26,8,63,19,14,8,8,3,5,17,29.4,12,11,1,10,6,25,25,0
Yunus Emre Konak,tr TUR,"FW,MF",Brentford,18,2006,0.5,0,1,0,0,2.14,0,0,,21.4,0,0,0,0.2,0.2,0.15,-0.2,-0.2,26,36,72.2,458,84,13,16,81.3,9,12,75,4,5,80,0,0,0,0,0,2,0,0,2,4,4,0,4,0,1,2,50,1,2,0,2,0,4,0,0
João Félix,pt POR,"FW,MF",Chelsea,24,1999,4.1,1,20,5,25,4.88,1.22,0.05,0.2,15.9,0,0,0,2.2,2.2,0.11,-1.2,-1.2,171,199,85.9,2588,663,95,105,90.5,62,68,91.2,10,15,66.7,1,1,0.5,0,6,22,8,0,26,8,3,2,5,1,5,9,55.6,4,2,0,2,3,11,2,0
Anthony Gordon,eng ENG,"FW,MF",Newcastle Utd,23,2001,27,6,57,16,28.1,2.11,0.59,0.09,0.31,17,1,1,2,8,6.5,0.11,-2,-1.5,720,982,73.3,11128,3642,397,464,85.6,244,312,78.2,56,125,44.8,5,5,5.1,0,51,65,55,17,98,32,18,9,18,5,12,37,32.4,25,25,2,23,7,39,9,3
Jack Grealish,eng ENG,"FW,MF",Manchester City,28,1995,8,1,15,5,33.3,1.87,0.62,0.07,0.2,16.3,0,0,0,1.1,1.1,0.08,-0.1,-0.1,382,436,87.6,5685,986,247,265,93.2,115,131,87.8,18,26,69.2,1,1.8,1.7,-0.8,24,23,16,0,52,9,5,4,2,3,2,5,40,3,12,2,10,2,11,6,1
Albert Grønbaek,dk DEN,"FW,MF",Southampton,23,2001,1.6,0,2,0,0,1.26,0,0,,22.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,13,18,72.2,135,43,9,11,81.8,2,4,50,0,0,,0,0,0,0,1,2,0,0,1,4,1,1,1,2,3,10,30,7,1,1,0,0,4,1,0
Kai Havertz,de GER,"FW,MF",Arsenal,25,1999,20.8,9,53,21,39.6,2.54,1.01,0.17,0.43,11.6,0,0,0,9.5,9.5,0.18,-0.5,-0.5,407,519,78.4,4905,1033,286,340,84.1,95,115,82.6,5,11,45.5,3,2.4,1.7,0.6,17,27,9,1,61,16,9,3,6,7,4,15,26.7,11,23,4,19,6,22,33,1
Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,23,2000,24.4,5,37,17,45.9,1.52,0.7,0.14,0.29,18.3,0,0,0,2.5,2.5,0.07,2.5,2.5,691,843,82,10242,2075,401,437,91.8,218,266,82,44,87,50.6,2,2.7,2.6,-0.7,44,38,33,11,71,22,14,8,8,6,12,18,66.7,6,11,0,11,13,35,12,1
Danny Ings,eng ENG,"FW,MF",West Ham,32,1992,3.2,1,14,5,35.7,4.44,1.58,0.07,0.2,15.5,0,0,0,2.3,2.3,0.16,-1.3,-1.3,63,92,68.5,830,126,41,49,83.7,19,29,65.5,1,5,20,2,1.3,0.1,0.7,6,4,1,0,5,4,2,2,2,0,1,3,33.3,2,5,0,5,1,5,4,0
Alex Iwobi,ng NGA,"FW,MF",Fulham,28,1996,33.1,9,68,29,42.6,2.05,0.88,0.13,0.31,18.3,0,0,0,4.7,4.7,0.07,4.3,4.3,1150,1532,75.1,19530,5723,582,671,86.7,448,574,78,98,184,53.3,6,7,7,-1,59,115,86,19,213,44,25,14,21,9,22,34,64.7,12,26,1,25,14,58,29,1
João Pedro,br BRA,"FW,MF",Brighton,22,2001,21.6,10,42,15,35.7,1.94,0.69,0.12,0.33,17.2,0,5,5,8.9,5,0.12,1.1,0,482,661,72.9,6847,1766,300,381,78.7,133,177,75.1,29,44,65.9,6,5,3.1,1,30,42,36,5,78,16,12,6,6,4,4,11,36.4,7,12,0,12,9,25,12,0
Mohammed Kudus,gh GHA,"FW,MF",West Ham,23,2000,28.8,5,75,21,28,2.61,0.73,0.07,0.24,16,0,0,0,6.9,6.9,0.09,-1.9,-1.9,715,855,83.6,11695,1800,381,421,90.5,256,288,88.9,58,85,68.2,3,3.1,2.7,-0.1,31,46,29,15,79,38,23,9,18,11,10,27,37,17,24,1,23,4,42,8,2
Will Lankshear,eng ENG,"FW,MF",Tottenham,19,2005,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0,1,0,0,0,0,1,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Solly March,eng ENG,"FW,MF",Brighton,30,1994,1.9,0,2,0,0,1.07,0,0,,22.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,60,95,63.2,990,222,35,40,87.5,16,28,57.1,7,18,38.9,0,0.3,0.3,-0.3,3,2,4,4,2,6,3,2,2,2,5,8,62.5,3,3,0,3,2,8,2,1
Omar Marmoush,eg EGY,"FW,MF",Manchester City,25,1999,13.1,7,49,17,34.7,3.75,1.3,0.14,0.41,18.6,7,0,0,5.5,5.5,0.11,1.5,1.5,252,318,79.2,3443,849,164,193,85,69,88,78.4,9,16,56.3,0,2.8,2.1,-2.8,15,10,29,4,37,13,8,2,9,2,8,16,50,8,15,1,14,6,19,3,0
Gabriel Martinelli,br BRA,"FW,MF",Arsenal,23,2001,25.4,8,55,24,43.6,2.16,0.94,0.15,0.33,12.9,0,0,0,7.4,7.4,0.14,0.6,0.6,499,699,71.4,7113,1534,324,385,84.2,135,193,69.9,26,52,50,4,5,4.7,-1,40,11,37,15,52,23,15,9,6,8,7,23,30.4,16,15,0,15,5,28,19,0
Yankuba Minteh,gm GAM,"FW,MF",Brighton,20,2004,20.4,6,34,16,47.1,1.66,0.78,0.18,0.38,13.8,0,0,0,4.1,4.1,0.12,1.9,1.9,348,557,62.5,5531,1843,200,257,77.8,107,172,62.2,31,67,46.3,4,5,5,-1,29,14,36,9,48,48,35,25,13,10,17,45,37.8,28,22,0,22,11,59,31,0
Kaoru Mitoma,jp JPN,"FW,MF",Brighton,27,1997,28.9,10,57,27,47.4,1.97,0.93,0.18,0.37,13.9,0,0,0,9.2,9.2,0.16,0.8,0.8,749,988,75.8,9777,2226,505,579,87.2,189,265,71.3,23,52,44.2,4,4.6,4,-0.6,37,36,36,8,89,45,27,15,14,16,19,49,38.8,30,48,3,45,14,59,10,0
Jeremy Monga,eng ENG,"FW,MF",Leicester City,15,2009,1.2,0,3,1,33.3,2.41,0.8,0,0,19.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,18,29,62.1,215,53,13,15,86.7,5,6,83.3,0,3,0,0,0,0,0,1,2,1,0,3,2,1,0,1,1,1,1,100,0,3,2,1,0,2,1,0
Eddie Nketiah,eng ENG,"FW,MF",Crystal Palace,25,1999,11.5,3,43,16,37.2,3.74,1.39,0.07,0.19,13.8,0,0,0,5.8,5.8,0.13,-2.8,-2.8,179,241,74.3,2722,563,95,120,79.2,60,75,80,14,20,70,1,1.7,0.9,-0.7,13,11,5,0,19,15,8,7,4,4,7,13,53.8,6,10,1,9,3,18,12,0
Gustavo Nunes,br BRA,"FW,MF",Brentford,18,2005,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,1,1,100,15,0,1,1,100,0,0,,0,0,,0,0,0,0,0,0,0,0,0,3,2,2,0,1,2,2,100,0,0,0,0,0,3,2,0
Ethan Nwaneri,eng ENG,"FW,MF",Arsenal,17,2007,9.9,4,24,9,37.5,2.41,0.91,0.17,0.44,18.5,1,0,0,1.2,1.2,0.05,2.8,2.8,342,425,80.5,4906,1216,216,234,92.3,93,121,76.9,19,37,51.4,2,1.2,1.8,0.8,16,17,16,6,33,11,7,4,4,3,7,21,33.3,14,8,2,6,2,13,4,1
Wilson Odobert,fr FRA,"FW,MF",Tottenham,19,2004,9.4,1,13,4,30.8,1.38,0.42,0.08,0.25,16.4,0,0,0,1.6,1.6,0.12,-0.6,-0.6,212,274,77.4,2878,567,139,150,92.7,54,73,74,8,12,66.7,0,1,0.8,-1,6,11,12,3,27,14,5,5,4,5,8,14,57.1,6,6,0,6,4,18,5,1
Jaden Philogene Bidace,eng ENG,"FW,MF",Aston Villa,22,2002,3.7,0,7,0,0,1.9,0,0,,16,0,0,0,0.5,0.5,0.07,-0.5,-0.5,63,86,73.3,850,161,40,49,81.6,18,21,85.7,2,3,66.7,0,0.3,0.2,-0.3,1,1,3,0,4,11,5,4,7,0,4,6,66.7,2,5,0,5,3,14,2,1
Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,23,2001,18,1,19,4,21.1,1.05,0.22,0.05,0.25,16.8,0,0,0,1.6,1.6,0.08,-0.6,-0.6,497,586,84.8,6645,1578,334,366,91.3,133,159,83.6,15,20,75,3,2.3,2.2,0.7,21,31,21,1,68,30,15,14,10,6,10,20,50,10,23,4,19,8,38,8,1
Marcus Rashford,eng ENG,"FW,MF",Manchester Utd,26,1997,10.9,4,16,9,56.3,1.47,0.83,0.25,0.44,16.4,0,0,0,1.7,1.7,0.11,2.3,2.3,253,343,73.8,3508,868,168,201,83.6,56,85,65.9,14,28,50,1,2.1,1.4,-1.1,15,13,16,8,21,7,4,2,2,3,3,9,33.3,6,8,0,8,4,11,7,0
Morgan Rogers,eng ENG,"FW,MF",Aston Villa,22,2002,34.6,8,55,20,36.4,1.59,0.58,0.15,0.4,15.9,0,0,0,6.6,6.6,0.12,1.4,1.4,664,907,73.2,9771,3327,374,460,81.3,203,267,76,49,65,75.4,10,7.8,5.2,2.2,51,73,56,3,123,43,22,15,15,13,24,47,51.1,23,26,7,19,6,49,20,2
Bukayo Saka,eng ENG,"FW,MF",Arsenal,22,2001,19.2,6,66,22,33.3,3.44,1.15,0.08,0.23,15.6,1,1,1,6.8,6,0.09,-0.8,-1,552,731,75.5,8408,2487,334,371,90,154,214,72,45,92,48.9,10,7.6,7.8,2.4,58,15,38,12,70,29,15,9,11,9,13,24,54.2,11,22,0,22,3,32,8,0
Sávio,br BRA,"FW,MF",Manchester City,20,2004,19.6,1,55,21,38.2,2.8,1.07,0.02,0.05,17.6,1,0,0,5,5,0.09,-4,-4,692,856,80.8,10296,1727,423,470,90,227,283,80.2,31,56,55.4,8,6.9,6.1,1.1,46,19,47,8,67,23,17,5,10,8,10,19,52.6,9,14,2,12,6,29,9,1
Dane Scarlett,eng ENG,"FW,MF",Tottenham,20,2004,0.4,0,1,1,100,2.65,2.65,0,0,13.9,0,0,0,0,0,0.04,0,0,3,5,60,37,20,2,2,100,1,1,100,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0
Jota Silva,pt POR,"FW,MF",Nott'ham Forest,24,1999,9.5,3,23,7,30.4,2.42,0.74,0.13,0.43,14.5,0,0,0,2.1,2.1,0.09,0.9,0.9,118,196,60.2,1692,471,66,86,76.7,37,60,61.7,6,19,31.6,1,2.9,1.8,-1.9,14,4,9,3,18,27,14,12,13,2,6,27,22.2,21,9,1,8,12,39,17,0
Luis Sinisterra,co COL,"FW,MF",Bournemouth,25,1999,2.6,1,13,6,46.2,4.96,2.29,0.08,0.17,14.8,0,0,0,1.2,1.2,0.09,-0.2,-0.2,73,93,78.5,1067,200,44,48,91.7,22,32,68.8,5,5,100,1,1.4,1.3,-0.4,9,6,2,2,6,7,2,3,2,2,0,4,0,4,3,0,3,1,8,8,0
Ramón Sosa,py PAR,"FW,MF",Nott'ham Forest,24,1999,3.3,1,11,5,45.5,3.36,1.53,0.09,0.2,18.6,0,0,0,1,1,0.09,0,0,66,97,68,1016,283,33,47,70.2,24,35,68.6,5,7,71.4,0,0.5,0.4,-0.5,8,2,5,3,6,5,3,3,0,2,1,5,20,4,9,0,9,4,9,5,0
Raheem Sterling,eng ENG,"FW,MF",Arsenal,29,1994,5.5,0,11,0,0,1.98,0,0,,15.1,2,0,0,1.4,1.4,0.13,-1.4,-1.4,158,201,78.6,2022,403,103,117,88,43,57,75.4,3,4,75,2,0.5,0.5,1.5,8,4,9,2,18,9,4,1,3,5,5,10,50,5,3,0,3,1,10,4,0
Kamaldeen Sulemana,gh GHA,"FW,MF",Southampton,22,2002,15.6,1,29,8,27.6,1.86,0.51,0.03,0.13,18.6,0,0,0,1.5,1.5,0.05,-0.5,-0.5,285,357,79.8,4101,627,177,201,88.1,86,103,83.5,13,28,46.4,1,1,0.8,0,10,6,13,7,27,22,17,9,5,8,10,15,66.7,5,16,4,12,6,28,9,0
Crysencio Summerville,nl NED,"FW,MF",West Ham,22,2001,8.7,1,14,4,28.6,1.6,0.46,0.07,0.25,13.4,0,0,0,1.6,1.6,0.12,-0.6,-0.6,194,254,76.4,2881,640,125,148,84.5,55,62,88.7,11,22,50,1,1.7,1.7,-0.7,17,13,12,5,18,13,7,2,8,3,3,9,33.3,6,13,4,9,0,13,7,0
Sammie Szmodics,ie IRL,"FW,MF",Ipswich Town,28,1995,11,4,21,12,57.1,1.91,1.09,0.19,0.33,14,0,0,0,3.4,3.4,0.16,0.6,0.6,149,201,74.1,2458,724,72,82,87.8,54,65,83.1,15,29,51.7,0,0.2,0.5,-0.2,5,11,4,1,19,16,10,4,10,2,7,26,26.9,19,10,2,8,6,22,14,0
Marcus Tavernier,eng ENG,"FW,MF",Bournemouth,25,1999,21.5,3,57,17,29.8,2.65,0.79,0.05,0.18,21.1,4,0,0,5.5,5.5,0.1,-2.5,-2.5,689,934,73.8,11654,3481,334,387,86.3,280,352,79.5,60,127,47.2,5,4,3.6,1,43,80,40,14,128,43,24,15,19,9,10,27,37,17,16,3,13,5,48,11,0
Thiago,br BRA,"FW,MF",Brentford,23,2001,1.9,0,2,0,0,1.03,0,0,,14.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,40,56,71.4,568,73,20,28,71.4,13,16,81.3,3,5,60,0,0.1,0,-0.1,2,2,2,0,4,5,3,2,1,2,0,1,0,1,3,0,3,2,7,3,1
Adama Traoré,es ESP,"FW,MF",Fulham,28,1996,19.7,2,39,12,30.8,1.98,0.61,0.05,0.17,14.2,0,0,0,4,4,0.1,-2,-2,424,587,72.2,6645,1683,236,286,82.5,143,194,73.7,30,54,55.6,7,4.9,4.5,2.1,42,36,38,22,68,20,13,9,6,5,5,13,38.5,8,7,0,7,1,21,6,4
Enes Ünal,tr TUR,"FW,MF",Bournemouth,27,1997,3.8,2,20,7,35,5.22,1.83,0.1,0.29,14.6,3,0,0,2.7,2.7,0.14,-0.7,-0.7,63,99,63.6,685,192,40,52,76.9,17,28,60.7,0,1,0,1,0.4,0.3,0.6,4,4,4,0,12,1,0,0,0,1,0,3,0,3,1,0,1,0,1,6,0
Timo Werner,de GER,"FW,MF",Tottenham,28,1996,5.7,0,8,3,37.5,1.4,0.52,0,0,18.2,0,0,0,1,1,0.12,-1,-1,158,236,66.9,2383,597,80,97,82.5,61,86,70.9,7,18,38.9,3,2.5,1.5,0.5,10,3,15,2,30,6,4,3,3,0,3,13,23.1,10,10,1,9,1,7,7,0
