,,,,,,,Standart,,,,,,,,,,,,Expected,,,,,Total,,,,,Short,,,Medium,,,Long,,,Expected,,,,,,,,,Tackles,,,,,Challanges,,,,Blocks,,,,,,
Willian,br BRA,"FW,MF",Fulham,35,1988,2.9,0,7,0,0,2.45,0,0,,22.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3,178,208,85.6,3198,855,86,91,94.5,75,88,85.2,17,23,73.9,0,0.5,0.7,-0.5,7,19,10,2,40,4,2,0,3,1,2,6,33.3,4,0,0,0,1,5,1,0
Harry Wilson,wls WAL,"FW,MF",Fulham,27,1997,12.9,6,43,17,39.5,3.33,1.32,0.14,0.35,18,1,0,0,4.2,4.2,0.1,1.8,1.8,326,445,73.3,5413,1378,171,200,85.5,121,156,77.6,29,71,40.8,1,1.1,1.2,-0.1,20,26,15,1,51,20,14,13,3,4,12,18,66.7,6,15,1,14,7,27,10,1
Joshua Zirkzee,nl NED,"FW,MF",Manchester Utd,23,2001,15.6,3,28,11,39.3,1.8,0.71,0.11,0.27,13.1,0,0,0,4.8,4.8,0.17,-1.8,-1.8,292,410,71.2,3600,901,196,251,78.1,61,82,74.4,9,18,50,1,1.5,1.1,-0.5,12,26,6,0,44,14,8,3,8,3,5,10,50,5,15,4,11,6,20,8,1
Jean-Ricner Bellegarde,ht HAI,"MF,FW",Wolves,26,1998,18.6,2,22,5,22.7,1.18,0.27,0.09,0.4,21.2,2,0,0,1.5,1.5,0.07,0.5,0.5,475,599,79.3,7404,1436,271,304,89.1,152,188,80.9,36,62,58.1,7,3.8,2.8,3.2,27,30,18,8,43,39,24,17,19,3,14,20,70,6,19,3,16,10,49,18,1
Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,26,1998,7.8,2,13,8,61.5,1.67,1.03,0.15,0.25,15.8,0,0,0,1.7,1.7,0.13,0.3,0.3,178,228,78.1,2473,457,110,123,89.4,58,72,80.6,3,12,25,0,0.7,1.1,-0.7,7,12,6,0,14,9,4,3,6,0,3,12,25,9,8,1,7,4,13,5,0
Emi Buendía,ar ARG,"MF,FW",Aston Villa,27,1996,1.1,0,5,0,0,4.59,0,0,,19.1,1,0,0,0.7,0.7,0.13,-0.7,-0.7,49,60,81.7,624,166,33,36,91.7,12,14,85.7,1,5,20,0,0,0,0,1,4,1,0,7,6,6,3,2,1,0,5,0,5,5,1,4,0,6,2,0
Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,27,1997,9.5,1,16,3,18.8,1.68,0.32,0.06,0.33,17.7,0,0,0,1.5,1.5,0.09,-0.5,-0.5,235,319,73.7,3800,927,112,140,80,104,127,81.9,11,27,40.7,1,0.7,0.6,0.3,8,21,7,2,29,15,5,6,6,3,6,14,42.9,8,8,1,7,4,19,3,0
Matheus Cunha,br BRA,"MF,FW",Wolves,25,1999,28.9,15,110,44,40,3.81,1.52,0.14,0.34,20.5,12,0,0,8.6,8.6,0.08,6.4,6.4,811,1133,71.6,12850,4384,460,539,85.3,228,300,76,87,197,44.2,6,7.7,5.3,-1.7,56,92,58,10,144,38,22,17,16,5,13,39,33.3,26,21,1,20,17,55,23,0
Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24,2000,32.3,2,35,7,20,1.08,0.22,0.06,0.29,17.6,3,0,0,2.8,2.8,0.08,-0.8,-0.8,1107,1529,72.4,19063,7512,551,642,85.8,390,531,73.4,134,262,51.1,10,8.4,7,1.6,63,167,73,17,234,83,44,27,29,27,31,81,38.3,50,40,3,37,27,110,31,2
Danilo,br BRA,"MF,FW",Nott'ham Forest,23,2001,3.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,94,121,77.7,1541,549,44,52,84.6,39,46,84.8,7,12,58.3,0,0,0,0,0,13,0,0,11,8,4,7,1,0,3,6,50,3,2,1,1,4,12,3,0
Kevin De Bruyne,be BEL,"MF,FW",Manchester City,33,1991,18.9,4,57,15,26.3,3.01,0.79,0.07,0.27,21.4,8,0,0,5.1,5.1,0.09,-1.1,-1.1,908,1196,75.9,15487,4454,459,537,85.5,346,449,77.1,90,159,56.6,7,8,6.7,-1,57,88,59,13,157,17,9,7,5,5,5,23,21.7,18,8,0,8,7,24,10,1
Kiernan Dewsbury-Hall,eng ENG,"MF,FW",Chelsea,25,1998,2.9,0,1,0,0,0.34,0,0,,7.8,0,0,0,0.2,0.2,0.22,-0.2,-0.2,127,152,83.6,1898,319,75,82,91.5,47,56,83.9,5,10,50,1,1.1,0.2,-0.1,3,12,3,0,14,8,5,1,1,6,4,6,66.7,2,2,0,2,2,10,9,1
Amad Diallo,ci CIV,"MF,FW",Manchester Utd,22,2002,21.1,8,47,17,36.2,2.23,0.8,0.17,0.47,17.5,0,0,0,4.7,4.7,0.1,3.3,3.3,795,949,83.8,11030,2193,493,542,91,227,264,86,40,72,55.6,6,4.9,4.2,1.1,49,27,35,7,60,38,31,9,20,9,19,32,59.4,13,15,2,13,11,49,19,1
Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26,1998,21.8,0,21,9,42.9,0.96,0.41,0,0,18.9,0,0,0,1.5,1.5,0.07,-1.5,-1.5,821,947,86.7,11995,3387,463,508,91.1,279,312,89.4,34,55,61.8,1,1.3,1.6,-0.3,13,81,11,1,83,86,45,40,35,11,36,76,47.4,40,38,12,26,29,115,54,1
Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,26,1998,1.3,0,5,1,20,3.91,0.78,0,0,20.9,0,0,0,0.4,0.4,0.08,-0.4,-0.4,17,28,60.7,230,46,11,16,68.8,4,7,57.1,1,1,100,0,0,0,0,1,2,0,0,4,1,0,0,1,0,0,2,0,2,1,0,1,0,1,1,0
Julio Enciso,py PAR,"MF,FW",Ipswich Town,20,2004,9.7,2,32,11,34.4,3.31,1.14,0.06,0.18,23,1,0,0,1.7,1.7,0.05,0.3,0.3,171,248,69,2779,819,79,102,77.5,72,97,74.2,10,22,45.5,3,1.4,1.1,1.6,13,18,8,1,28,12,9,3,6,3,4,11,36.4,7,8,1,7,1,13,6,0
Julio Enciso,py PAR,"MF,FW",Brighton,20,2004,3.3,0,20,11,55,6.12,3.37,0,0,21.3,1,0,0,1,1,0.05,-1,-1,99,150,66,1464,392,61,75,81.3,29,40,72.5,5,22,22.7,0,0.2,0.3,-0.2,5,13,4,1,14,0,0,0,0,0,0,2,0,2,2,0,2,0,0,1,0
