,,,,,,,,,,,,,,,,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,Expected,,,,,,,,,Tackles,,,,,Challanges,,,,Blocks,,,,,,
Alireza Jahanbakhsh,ir IRN,"FW,MF",Brighton,24,1993,11.3,0,21,6,28.6,1.85,0.53,0,0,23.4,0,0,0,0.8,0.8,0.04,-0.8,-0.8,201,308,65.3,3128,913,122,148,82.4,57,82,69.5,16,39,41,0,0.2,0.3,-0.2,5,13,6,2,18,32,18,17,11,4,11,30,36.7,19,16,0,16,11,43,4,0
Diogo Jota,pt POR,"FW,MF",Wolves,21,1996,26.2,9,58,24,41.4,2.22,0.92,0.16,0.38,14,0,0,0,8.8,8.8,0.15,0.2,0.2,574,789,72.8,8078,1773,327,395,82.8,170,243,70,30,47,63.8,5,5.3,3.8,-0.3,27,45,18,3,71,28,16,11,11,6,10,38,26.3,28,20,1,19,13,41,11,0
Elias Kachunga,cd COD,"FW,MF",Huddersfield,26,1992,13.1,0,14,3,21.4,1.07,0.23,0,0,15.1,0,0,0,0.9,0.9,0.06,-0.9,-0.9,220,317,69.4,2864,574,135,172,78.5,55,78,70.5,12,22,54.5,0,0.2,0.5,-0.2,5,14,5,5,22,22,9,8,12,2,9,25,36,16,16,1,15,4,26,10,0
Neeskens Kebano,cd COD,"FW,MF",Fulham,26,1992,1.2,0,1,0,0,0.83,0,0,,8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,25,31,80.6,340,37,20,22,90.9,4,7,57.1,1,1,100,0,0,0,0,0,2,0,0,4,3,1,2,1,0,1,1,100,0,3,0,3,0,3,3,0
Joshua King,no NOR,"FW,MF",Bournemouth,26,1992,32.9,12,66,18,27.3,2.01,0.55,0.11,0.39,16.3,0,5,6,13.5,8.7,0.13,-1.5,-1.7,588,858,68.5,7953,1845,363,469,77.4,168,249,67.5,22,45,48.9,3,3.8,2.9,-0.8,34,41,36,6,85,30,19,7,19,4,8,29,27.6,21,28,4,24,7,37,14,0
Rajiv van La Parra,nl NED,"FW,MF",Huddersfield,27,1991,4.5,0,5,0,0,1.11,0,0,,22.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,94,116,81,1402,203,55,61,90.2,28,34,82.4,8,11,72.7,0,0.1,0.2,-0.1,4,6,1,0,7,8,5,1,7,0,1,6,16.7,5,0,0,0,4,12,3,1
Jesse Lingard,eng ENG,"FW,MF",Manchester Utd,25,1992,18.5,4,31,13,41.9,1.68,0.7,0.1,0.23,17.6,0,1,1,4.7,3.9,0.13,-0.7,-0.9,664,795,83.5,8567,1532,379,423,89.6,199,233,85.4,20,36,55.6,2,2.7,2.5,-0.7,17,53,14,2,55,29,18,8,11,10,7,28,25,21,18,2,16,10,39,9,1
Jürgen Locadia,cw CUW,"FW,MF",Brighton,24,1993,13.7,2,27,9,33.3,1.97,0.66,0.07,0.22,17.8,1,0,0,2.7,2.7,0.1,-0.7,-0.7,249,348,71.6,3807,749,148,194,76.3,66,94,70.2,23,33,69.7,0,1,0.6,-1,13,12,10,2,15,15,10,5,8,2,3,7,42.9,4,8,0,8,9,24,13,0
Shane Long,ie IRL,"FW,MF",Southampton,31,1987,14.1,5,30,10,33.3,2.12,0.71,0.17,0.5,14.5,0,0,0,4.6,4.6,0.16,0.4,0.4,198,321,61.7,2491,510,133,192,69.3,51,86,59.3,5,18,27.8,1,1.6,1.4,-0.6,12,14,5,1,18,15,8,4,5,6,3,16,18.8,13,10,1,9,7,22,18,0
Ademola Lookman,ng NGA,"FW,MF",Everton,20,1997,6.9,0,12,3,25,1.75,0.44,0,0,18.6,0,0,0,1.4,1.4,0.12,-1.4,-1.4,224,274,81.8,2776,697,153,172,89,53,64,82.8,6,13,46.2,2,1.4,1,0.6,10,12,7,4,24,15,7,7,5,3,4,6,66.7,2,10,0,10,7,22,2,0
Gary Madine,eng ENG,"FW,MF",Cardiff City,27,1990,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,10,12,83.3,137,46,4,5,80,5,6,83.3,0,0,,0,0,0,0,0,2,1,0,3,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
Riyad Mahrez,dz ALG,"FW,MF",Manchester City,27,1991,14.9,7,53,25,47.2,3.55,1.68,0.13,0.28,17.4,1,0,1,5.5,4.7,0.09,1.5,2.3,700,884,79.2,11000,2183,371,414,89.6,230,288,79.9,58,101,57.4,4,4.6,4.3,-0.6,24,28,44,9,73,14,7,3,7,4,6,18,33.3,12,18,1,17,9,23,3,1
Solly March,eng ENG,"FW,MF",Brighton,24,1994,27.4,1,43,9,20.9,1.57,0.33,0.02,0.11,21.4,3,0,0,2.5,2.5,0.06,-1.5,-1.5,598,938,63.8,10248,2627,323,395,81.8,184,279,65.9,72,154,46.8,5,4.3,4.3,0.7,41,35,38,19,60,56,24,27,16,13,19,45,42.2,26,34,4,30,27,83,44,0
Juan Mata,es ESP,"FW,MF",Manchester Utd,30,1988,14.3,3,19,6,31.6,1.33,0.42,0.16,0.5,19.1,3,0,0,1.6,1.6,0.08,1.4,1.4,620,775,80,9712,2227,322,354,91,174,219,79.5,72,128,56.3,2,2.9,2.8,-0.9,30,64,21,3,75,9,4,7,1,1,6,21,28.6,15,8,1,7,6,15,6,0
Isaac Mbenza,be BEL,"FW,MF",Huddersfield,22,1996,11,1,16,5,31.3,1.46,0.46,0.06,0.2,22.4,0,0,0,1,1,0.06,0,0,183,272,67.3,2816,769,101,129,78.3,56,79,70.9,17,36,47.2,1,0.9,0.7,0.1,7,11,5,5,18,10,9,5,5,0,2,4,50,2,4,0,4,5,15,4,0
Henrikh Mkhitaryan,am ARM,"FW,MF",Arsenal,29,1989,18.2,6,49,14,28.6,2.69,0.77,0.12,0.43,19.1,1,0,0,5,5,0.1,1,1,655,876,74.8,9240,2668,396,471,84.1,187,239,78.2,32,70,45.7,4,6.2,4.3,-2.2,29,68,30,3,107,28,22,8,17,3,6,22,27.3,16,34,2,32,16,44,13,0
Lucas Moura,br BRA,"FW,MF",Tottenham,25,1992,23.6,10,45,19,42.2,1.91,0.81,0.22,0.53,17.4,0,0,0,6.3,6.3,0.14,3.7,3.7,557,752,74.1,7438,1768,328,388,84.5,167,239,69.9,20,42,47.6,0,1.5,1.5,-1.5,27,41,16,1,63,35,18,8,20,7,9,27,33.3,18,15,1,14,24,59,24,0
Yoshinori Mutō,jp JPN,"FW,MF",Newcastle Utd,26,1992,5.8,1,6,3,50,1.03,0.52,0.17,0.33,10.8,0,0,0,0.9,0.9,0.15,0.1,0.1,81,118,68.6,963,224,47,59,79.7,20,28,71.4,2,3,66.7,0,0.8,0.7,-0.8,5,5,1,0,6,8,4,3,5,0,2,7,28.6,5,9,0,9,5,13,3,1
Stefano Okaka,it ITA,"FW,MF",Watford,28,1989,0.3,0,2,0,0,7.5,0,0,,12.7,0,0,0,0.5,0.5,0.27,-0.5,-0.5,10,14,71.4,124,20,6,6,100,3,6,50,0,1,0,0,0.1,0.2,-0.1,2,1,1,0,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Callum Paterson,sct SCO,"FW,MF",Cardiff City,23,1994,22.2,4,41,6,14.6,1.85,0.27,0.1,0.67,13.9,0,0,0,5.5,5.5,0.13,-1.5,-1.5,272,580,46.9,3936,1738,157,282,55.7,83,172,48.3,16,37,43.2,1,2.8,2.1,-1.8,23,50,16,3,68,21,14,7,7,7,5,26,19.2,21,23,2,21,8,29,29,0
Lucas Pérez,es ESP,"FW,MF",West Ham,29,1988,5.3,3,9,3,33.3,1.71,0.57,0.33,1,13.8,0,0,0,1.3,1.3,0.14,1.7,1.7,102,147,69.4,1236,146,70,80,87.5,22,37,59.5,2,6,33.3,0,0.8,0.7,-0.8,8,3,3,0,7,6,4,3,2,1,1,3,33.3,2,2,1,1,2,8,2,0
Richarlison,br BRA,"FW,MF",Everton,21,1997,29.6,13,83,28,33.7,2.8,0.95,0.16,0.46,14.6,1,0,0,9.4,9.3,0.12,3.6,3.7,549,849,64.7,7504,1643,316,409,77.3,133,215,61.9,36,62,58.1,1,2,1.7,-1,21,40,24,2,74,49,34,19,20,10,8,24,33.3,16,30,2,28,16,65,39,0
Alexis Sánchez,cl CHI,"FW,MF",Manchester Utd,29,1988,9.8,1,17,9,52.9,1.74,0.92,0.06,0.11,16.9,1,0,0,1.5,1.5,0.09,-0.5,-0.5,290,409,70.9,4391,1349,166,199,83.4,75,107,70.1,29,53,54.7,3,3,2.7,0,21,29,23,4,50,17,10,5,9,3,5,13,38.5,8,7,0,7,9,26,2,0
André Schürrle,de GER,"FW,MF",Fulham,27,1990,18.2,6,55,17,30.9,3.02,0.93,0.11,0.35,22.4,4,0,0,3.6,3.6,0.07,2.4,2.4,424,576,73.6,6291,1502,259,301,86,123,166,74.1,32,53,60.4,0,1.9,1.5,-1.9,19,28,20,5,57,30,19,14,10,6,12,42,28.6,30,16,1,15,8,38,17,1
Xherdan Shaqiri,ch SUI,"FW,MF",Liverpool,26,1991,11.8,6,26,10,38.5,2.2,0.85,0.23,0.6,19.8,5,0,0,3.9,3.9,0.15,2.1,2.1,542,701,77.3,8630,2197,297,340,87.4,157,200,78.5,62,109,56.9,3,1.6,2.6,1.4,19,45,33,5,85,14,4,3,9,2,9,19,47.4,10,6,1,5,6,20,6,0
Ramadan Sobhi,eg EGY,"FW,MF",Huddersfield,21,1997,0.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,39,50,78,423,131,28,31,90.3,6,11,54.5,0,2,0,0,0.2,0.2,-0.2,3,0,3,1,6,1,1,0,1,0,0,0,,0,2,0,2,1,2,0,0
Dominic Solanke,eng ENG,"FW,MF",Bournemouth,20,1997,3.9,0,11,3,27.3,2.85,0.78,0,0,13.9,0,0,0,1,1,0.09,-1,-1,71,100,71,777,165,51,64,79.7,9,14,64.3,2,4,50,1,0.4,0.2,0.6,8,2,2,0,6,8,3,1,4,3,1,8,12.5,7,4,1,3,2,10,9,0
Daniel Sturridge,eng ENG,"FW,MF",Liverpool,28,1989,5.7,2,18,6,33.3,3.18,1.06,0.11,0.33,20.9,0,0,0,1.2,1.2,0.07,0.8,0.8,153,196,78.1,2263,633,87,104,83.7,42,51,82.4,13,16,81.3,1,0.8,0.6,0.2,8,14,10,0,31,3,3,1,1,1,2,3,66.7,1,4,0,4,1,4,0,0
Isaac Success,ng NGA,"FW,MF",Watford,22,1996,11.7,1,29,10,34.5,2.48,0.86,0.03,0.1,17,0,0,0,3.5,3.5,0.12,-2.5,-2.5,253,366,69.1,3457,704,143,183,78.1,81,112,72.3,10,20,50,1,2.8,1.2,-1.8,20,18,18,1,39,15,12,4,8,3,2,5,40,3,6,0,6,2,17,11,0
Andros Townsend,eng ENG,"FW,MF",Crystal Palace,27,1991,33.4,6,63,19,30.2,1.88,0.57,0.1,0.32,22.1,0,0,0,4.6,4.6,0.07,1.4,1.4,861,1209,71.2,13269,3530,464,527,88,300,391,76.7,63,163,38.7,4,3.6,4.6,0.4,61,69,41,25,106,62,35,38,16,8,35,89,39.3,54,48,5,43,38,100,28,0
Adama Traoré,es ESP,"FW,MF",Wolves,22,1996,10,1,19,7,36.8,1.9,0.7,0.05,0.14,19.3,0,0,0,1.3,1.3,0.07,-0.3,-0.3,228,326,69.9,3292,976,129,158,81.6,70,96,72.9,13,22,59.1,1,2.2,2.3,-1.2,17,12,17,11,31,16,13,11,3,2,4,9,44.4,5,11,0,11,6,22,7,0
Luciano Vietto,ar ARG,"FW,MF",Fulham,24,1993,11,1,24,7,29.2,2.19,0.64,0.04,0.14,16.1,0,0,0,2.9,2.9,0.12,-1.9,-1.9,316,411,76.9,4350,1046,199,232,85.8,87,110,79.1,11,28,39.3,4,2.1,1.8,1.9,22,21,13,5,35,15,11,5,5,5,4,19,21.1,15,9,0,9,6,21,5,0
Theo Walcott,eng ENG,"FW,MF",Everton,29,1989,23.5,5,43,21,48.8,1.83,0.89,0.12,0.24,15.1,0,0,0,5.7,5.7,0.13,-0.7,-0.7,433,633,68.4,5521,1548,262,335,78.2,105,159,66,19,46,41.3,2,2.7,2.3,-0.7,21,36,13,9,52,27,17,11,9,7,10,22,45.5,12,17,1,16,22,49,8,0
Danny Welbeck,eng ENG,"FW,MF",Arsenal,27,1990,1.7,1,4,2,50,2.35,1.18,0.25,0.5,10.5,0,0,0,0.8,0.8,0.2,0.2,0.2,40,54,74.1,554,237,19,25,76,14,20,70,1,1,100,1,0.3,0.5,0.7,5,8,3,0,10,3,2,0,2,1,0,0,,0,2,0,2,1,4,2,0
Connor Wickham,eng ENG,"FW,MF",Crystal Palace,25,1993,0.7,0,5,1,20,6.72,1.34,0,0,12.3,0,0,0,0.4,0.4,0.07,-0.4,-0.4,5,12,41.7,52,3,4,7,57.1,1,3,33.3,0,0,,1,0.3,0,0.7,4,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Felipe Anderson,br BRA,"MF,FW",West Ham,25,1993,33.8,9,58,24,41.4,1.72,0.71,0.16,0.38,18.7,5,0,0,5.5,5.5,0.09,3.5,3.5,1325,1824,72.6,20473,6459,703,832,84.5,378,506,74.7,130,241,53.9,4,6.1,7.4,-2.1,64,111,85,12,191,89,49,33,44,12,31,101,30.7,70,71,0,71,41,130,18,1
Michail Antonio,jm JAM,"MF,FW",West Ham,28,1990,23.4,6,65,25,38.5,2.78,1.07,0.09,0.24,16.2,0,0,0,7.1,7.1,0.11,-1.1,-1.1,496,773,64.2,7214,2025,302,381,79.3,127,222,57.2,40,82,48.8,4,4.4,2.5,-0.4,23,36,21,5,69,23,14,12,6,5,6,12,50,6,38,3,35,18,41,26,1
Harvey Barnes,eng ENG,"MF,FW",Leicester City,20,1997,11.2,1,40,10,25,3.59,0.9,0.03,0.1,17,0,0,0,3.9,3.9,0.1,-2.9,-2.9,244,336,72.6,2931,660,164,191,85.9,54,79,68.4,5,13,38.5,2,1.7,1,0.3,17,16,8,2,27,10,6,5,4,1,4,6,66.7,2,7,1,6,3,13,7,0
David Brooks,wls WAL,"MF,FW",Bournemouth,21,1997,25.1,7,41,20,48.8,1.63,0.8,0.17,0.35,16,0,0,0,6,6,0.15,1,1,640,899,71.2,9018,2783,407,499,81.6,166,240,69.2,38,68,55.9,5,5,3.9,0,30,55,37,2,95,37,26,12,19,6,19,44,43.2,25,36,7,29,24,61,28,0
Tom Cairney,sct SCO,"MF,FW",Fulham,27,1991,24.4,1,24,5,20.8,0.98,0.21,0.04,0.2,23.8,0,0,0,1.1,1.1,0.05,-0.1,-0.1,1244,1408,88.4,19804,3901,645,693,93.1,449,496,90.5,94,137,68.6,1,2.6,3.1,-1.6,40,120,30,4,169,37,21,9,22,6,12,16,75,4,21,5,16,10,47,13,1
Grady Diangana,cd COD,"MF,FW",West Ham,20,1998,6.8,0,10,3,30,1.48,0.44,0,0,16.8,0,0,0,0.5,0.5,0.05,-0.5,-0.5,196,265,74,2575,646,122,150,81.3,45,56,80.4,10,20,50,1,1.2,0.7,-0.2,12,13,6,0,21,20,9,8,8,4,5,14,35.7,9,11,0,11,1,21,4,0
Ryan Fraser,sct SCO,"MF,FW",Bournemouth,24,1994,35.2,7,51,25,49,1.45,0.71,0.14,0.28,19.9,4,0,0,4.7,4.7,0.09,2.3,2.3,1013,1490,68,15976,5476,567,694,81.7,331,473,70,88,221,39.8,14,13.4,10.2,0.6,92,70,68,26,142,19,11,9,8,2,10,32,31.3,22,23,6,17,22,41,33,0
Morgan Gibbs-White,eng ENG,"MF,FW",Wolves,18,2000,7.4,0,8,1,12.5,1.09,0.14,0,0,18.4,0,0,0,1.1,1.1,0.14,-1.1,-1.1,272,336,81,4750,970,119,140,85,105,122,86.1,35,46,76.1,1,1.3,1,-0.3,11,28,8,1,28,6,3,2,4,0,1,4,25,3,6,0,6,1,7,0,0
Angel Gomes,eng ENG,"MF,FW",Manchester Utd,17,2000,0.3,0,2,1,50,6.67,3.33,0,0,19.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,20,22,90.9,328,72,8,8,100,7,8,87.5,3,3,100,0,0,0,0,0,5,0,0,2,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
Pascal Groß,de GER,"MF,FW",Brighton,27,1991,20.7,3,22,7,31.8,1.06,0.34,0.09,0.29,18,1,1,2,4.4,2.8,0.13,-1.4,-0.8,661,965,68.5,12127,3940,323,379,85.2,206,292,70.5,105,225,46.7,3,5.5,4.2,-2.5,54,87,28,15,110,27,12,12,12,3,11,36,30.6,25,20,8,12,13,40,23,0
Jeff Hendrick,ie IRL,"MF,FW",Burnley,26,1992,22.9,3,19,6,31.6,0.83,0.26,0.16,0.5,16.8,1,0,0,1.8,1.8,0.1,1.2,1.2,503,690,72.9,7475,1984,279,337,82.8,172,218,78.9,31,67,46.3,0,0.8,1.4,-0.8,12,33,16,3,63,24,12,13,7,4,9,32,28.1,23,20,5,15,12,36,31,0
Junior Hoilett,ca CAN,"MF,FW",Cardiff City,28,1990,23.8,3,40,9,22.5,1.68,0.38,0.08,0.33,19.3,1,0,0,3.4,3.4,0.09,-0.4,-0.4,338,537,62.9,4941,1706,202,242,83.5,80,132,60.6,31,93,33.3,1,1.5,1.7,-0.5,24,14,11,2,39,40,27,26,11,3,15,53,28.3,38,34,0,34,32,72,30,0
José Izquierdo,co COL,"MF,FW",Brighton,26,1992,8.8,0,15,3,20,1.7,0.34,0,0,21.2,0,0,0,0.6,0.6,0.04,-0.6,-0.6,156,216,72.2,2091,641,97,119,81.5,48,61,78.7,5,16,31.3,1,0.4,0.5,0.6,5,9,4,0,19,15,9,9,4,2,10,20,50,10,7,1,6,5,20,7,0
Naby Keïta,gn GUI,"MF,FW",Liverpool,23,1995,15.4,2,27,9,33.3,1.75,0.58,0.07,0.22,18.1,0,0,0,2,2,0.08,0,0,889,1011,87.9,12345,2967,522,574,90.9,275,308,89.3,42,54,77.8,1,1,1.9,0,9,86,28,0,103,37,15,13,19,5,14,42,33.3,28,29,4,25,12,49,16,1
Anthony Knockaert,fr FRA,"MF,FW",Brighton,26,1991,20.4,2,27,9,33.3,1.32,0.44,0.07,0.22,18.4,2,0,0,2.1,2.1,0.08,-0.1,-0.1,519,736,70.5,8704,2670,307,359,85.5,119,175,68,76,144,52.8,6,3.6,3.7,2.4,35,26,19,7,58,33,21,12,15,6,13,30,43.3,17,13,0,13,29,62,11,0
Adam Lallana,eng ENG,"MF,FW",Liverpool,30,1988,5.2,0,5,1,20,0.96,0.19,0,0,17.2,0,0,0,0.3,0.3,0.05,-0.3,-0.3,251,312,80.4,2855,786,171,192,89.1,44,57,77.2,7,14,50,0,0.5,0.5,-0.5,9,14,7,0,30,16,9,6,7,3,5,12,41.7,7,10,1,9,5,21,4,0
Érik Lamela,ar ARG,"MF,FW",Tottenham,26,1992,10.8,4,29,11,37.9,2.68,1.02,0.14,0.36,16.9,1,0,0,3.3,3.3,0.11,0.7,0.7,362,454,79.7,4823,1022,230,257,89.5,84,105,80,19,31,61.3,2,1.8,1.9,0.2,22,28,13,2,34,17,13,6,7,4,5,14,35.7,9,14,0,14,7,24,1,0
Ruben Loftus-Cheek,eng ENG,"MF,FW",Chelsea,22,1996,11.1,6,28,8,28.6,2.53,0.72,0.21,0.75,16.2,0,0,0,2.8,2.8,0.1,3.2,3.2,539,616,87.5,7014,1438,328,360,91.1,153,172,89,14,17,82.4,2,0.8,0.7,1.2,16,40,6,0,61,18,12,7,7,4,3,12,25,9,10,4,6,11,29,5,0
James Maddison,eng ENG,"MF,FW",Leicester City,21,1996,31.5,7,81,26,32.1,2.58,0.83,0.07,0.23,22.4,15,1,2,7.4,5.9,0.07,-0.4,0.1,1244,1623,76.6,21360,6667,613,695,88.2,404,497,81.3,170,314,54.1,7,8.2,8.7,-1.2,99,144,49,6,198,48,32,20,25,3,14,58,24.1,44,20,4,16,12,60,10,1
Nathaniel Mendez-Laing,gt GUA,"MF,FW",Cardiff City,26,1992,10.9,4,19,8,42.1,1.74,0.73,0.16,0.38,15.6,0,1,1,2.3,1.5,0.08,1.7,1.5,169,287,58.9,2364,1016,92,129,71.3,44,70,62.9,14,27,51.9,1,1.5,1.6,-0.5,19,14,10,8,19,34,25,18,12,4,12,26,46.2,14,17,1,16,13,47,20,0
Aaron Mooy,au AUS,"MF,FW",Huddersfield,27,1990,25.9,3,42,13,31,1.62,0.5,0.05,0.15,23.3,8,1,1,2.8,2.1,0.05,0.2,-0.1,1073,1435,74.8,16856,5417,606,693,87.4,287,370,77.6,123,238,51.7,1,2.6,2.7,-1.6,43,143,24,8,154,62,42,19,27,16,21,52,40.4,31,43,7,36,14,76,22,0
Josh Murphy,eng ENG,"MF,FW",Cardiff City,23,1995,20.2,3,46,15,32.6,2.28,0.74,0.07,0.2,19.2,3,0,0,4.1,4.1,0.09,-1.1,-1.1,203,391,51.9,3220,1224,108,142,76.1,60,112,53.6,22,74,29.7,2,3.9,2.8,-1.9,16,16,15,7,23,26,17,15,7,4,9,29,31,20,30,0,30,11,37,17,0
