,,,,,,,,,,,,,,,,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,Expected,,,,,,,,,Tackles,,,,,Challanges,,,,Blocks,,,,,,
Player,Nation,Pos,Squad,Age,Born,90s Played,Goals,Shots,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Avg Shot Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Marc Albrighton,eng ENG,"FW,MF",Leicester City,28,1989,18.1,2,19,7,36.8,1.05,0.39,0.11,0.29,21.4,0,0,0,1.2,1.2,0.06,0.8,0.8,448,776,57.7,7849,2947,236,301,78.4,129,217,59.4,61,160,38.1,2,2.9,2.3,-0.9,28,53,29,14,64,35,22,18,14,3,13,31,41.9,18,26,3,23,23,58,30,0
Floyd Ayité,tg TOG,"FW,MF",Fulham,29,1988,5.3,1,7,1,14.3,1.32,0.19,0.14,1,21.1,0,0,0,0.4,0.4,0.05,0.6,0.6,156,200,78,2301,669,96,109,88.1,46,62,74.2,10,15,66.7,0,0.5,0.4,-0.5,9,14,6,1,23,4,4,2,1,1,2,6,33.3,4,8,1,7,7,11,5,0
Ryan Babel,nl NED,"FW,MF",Fulham,31,1986,13.9,5,27,9,33.3,1.94,0.65,0.19,0.56,16,0,0,0,5.7,5.7,0.21,-0.7,-0.7,403,513,78.6,5974,1541,223,253,88.1,133,156,85.3,25,49,51,3,2.2,1.6,0.8,23,29,10,3,40,8,4,1,5,2,3,9,33.3,6,12,0,12,6,14,13,1
Bernard,br BRA,"FW,MF",Everton,25,1992,23.5,1,23,5,21.7,0.98,0.21,0.04,0.2,17,0,0,0,2.6,2.6,0.11,-1.6,-1.6,625,864,72.3,9062,2659,353,417,84.7,192,280,68.6,37,75,49.3,3,2.3,2.9,0.7,40,36,37,10,89,49,30,19,22,8,15,55,27.3,40,37,2,35,27,76,14,1
Ivan Cavaleiro,pt POR,"FW,MF",Wolves,24,1993,7.7,3,13,4,30.8,1.69,0.52,0.23,0.75,16.1,0,0,0,2.2,2.2,0.17,0.8,0.8,246,357,68.9,3400,811,142,173,82.1,53,89,59.6,22,40,55,1,1.5,1.4,-0.5,19,16,14,9,25,5,4,3,1,1,1,14,7.1,13,12,0,12,4,9,5,0
Hélder Costa,ao ANG,"FW,MF",Wolves,24,1994,14.9,1,25,7,28,1.68,0.47,0.04,0.14,18.9,0,0,0,2.4,2.4,0.1,-1.4,-1.4,364,493,73.8,4817,914,217,252,86.1,107,143,74.8,13,33,39.4,2,2.2,1.1,-0.2,17,16,16,1,37,18,14,7,7,4,7,23,30.4,16,15,0,15,9,27,6,0
Bobby De Cordova-Reid,jm JAM,"FW,MF",Cardiff City,25,1993,15.8,5,26,8,30.8,1.64,0.51,0.15,0.5,15.8,1,1,1,3.8,3,0.12,1.2,1,224,320,70,2888,662,137,167,82,54,78,69.2,10,24,41.7,2,1.2,1,0.8,16,15,7,0,23,16,9,6,7,3,3,8,37.5,5,13,0,13,3,19,12,0
Gerard Deulofeu,es ESP,"FW,MF",Watford,24,1994,23,10,60,22,36.7,2.61,0.96,0.17,0.45,16.9,6,0,0,8,8,0.13,2,2,568,793,71.6,7572,1800,347,419,82.8,160,220,72.7,18,48,37.5,5,4.1,4.3,0.9,30,39,37,3,67,11,6,5,3,3,4,26,15.4,22,16,0,16,14,25,3,0
Adama Diakhaby,fr FRA,"FW,MF",Huddersfield,22,1996,6.1,0,7,3,42.9,1.14,0.49,0,0,19.1,0,0,0,0.6,0.6,0.09,-0.6,-0.6,114,162,70.4,1546,227,72,93,77.4,36,46,78.3,2,8,25,0,0.5,0.4,-0.5,5,3,3,1,5,6,3,4,1,1,3,11,27.3,8,7,0,7,1,7,2,0
Roberto Firmino,br BRA,"FW,MF",Liverpool,26,1991,29,12,74,32,43.2,2.55,1.1,0.15,0.34,15.3,0,1,1,13.6,12.8,0.17,-1.6,-1.8,1053,1314,80.1,13453,3698,625,742,84.2,292,352,83,29,46,63,6,5.5,5.5,0.5,43,92,51,1,148,30,20,5,16,9,7,34,20.6,27,35,1,34,6,36,16,0
Manolo Gabbiadini,it ITA,"FW,MF",Southampton,26,1991,5.3,1,20,8,40,3.78,1.51,0.05,0.13,23.7,1,0,0,1.2,1.2,0.06,-0.2,-0.2,83,127,65.4,1024,172,56,69,81.2,21,37,56.8,3,7,42.9,0,0.4,0.4,-0.4,5,8,2,0,5,6,2,1,4,1,1,2,50,1,5,0,5,3,9,6,0
Rachid Ghezzal,dz ALG,"FW,MF",Leicester City,26,1992,8.3,1,19,5,26.3,2.3,0.61,0.05,0.2,20.1,1,0,0,1.4,1.4,0.08,-0.4,-0.4,353,471,74.9,5333,1363,197,234,84.2,88,124,71,36,63,57.1,0,1.7,1.8,-1.7,16,16,17,6,40,14,5,3,7,4,3,18,16.7,15,10,1,9,7,21,4,1
Demarai Gray,jm JAM,"FW,MF",Leicester City,22,1996,22.1,4,47,19,40.4,2.13,0.86,0.09,0.21,19.7,1,0,0,4.5,4.5,0.1,-0.5,-0.5,518,717,72.2,7080,1457,316,371,85.2,132,184,71.7,28,65,43.1,1,1.3,1.8,-0.3,17,37,18,1,53,25,12,7,14,4,6,16,37.5,10,19,0,19,9,34,15,0
Son Heung-min,kr KOR,"FW,MF",Tottenham,26,1992,22.7,12,74,29,39.2,3.27,1.28,0.16,0.41,19.3,1,0,0,7.5,7.5,0.1,4.5,4.5,655,785,83.4,8455,1570,446,494,90.3,158,186,84.9,19,28,67.9,6,3.6,3.2,2.4,33,30,30,3,81,23,12,7,12,4,10,34,29.4,24,26,2,24,8,31,4,1
Kelechi Iheanacho,ng NGA,"FW,MF",Leicester City,21,1996,10.5,1,18,6,33.3,1.72,0.57,0.06,0.17,18,0,0,0,2.1,2.1,0.12,-1.1,-1.1,216,287,75.3,2687,600,133,163,81.6,45,65,69.2,10,16,62.5,3,1.6,1.1,1.4,13,11,6,1,23,6,5,4,1,1,1,5,20,4,5,0,5,2,8,3,0
Alex Iwobi,ng NGA,"FW,MF",Arsenal,22,1996,21.9,3,35,14,40,1.6,0.64,0.09,0.21,15.8,0,0,0,3.5,3.5,0.1,-0.5,-0.5,767,1028,74.6,11207,3123,442,515,85.8,259,332,78,37,81,45.7,6,7,5.6,-1,40,53,65,8,141,28,14,10,16,2,6,25,24,19,21,1,20,12,40,13,1
