,,,,,,,Standart,,,,,,,,,,,,Expected,,,,,Total,,,,,Short,,,Medium,,,Long,,,Expected,,,,,,,,,Tackles,,,,,Challanges,,,,Blocks,,,,,,
Cesare Casadei,it ITA,"FW,MF",Chelsea,20,2003,0.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,53,65,81.5,792,155,29,34,85.3,17,22,77.3,4,4,100,0,0.1,0.1,-0.1,2,2,0,0,3,5,3,2,1,2,2,5,40,3,1,0,1,0,5,4,0
Matheus Cunha,br BRA,"FW,MF",Wolves,24,1999,27.1,12,72,36,50,2.66,1.33,0.15,0.31,18,0,1,1,9.5,8.7,0.12,2.5,2.3,658,831,79.2,8887,2308,411,476,86.3,182,229,79.5,32,57,56.1,7,3.2,3,3.8,28,56,31,1,87,30,16,8,17,5,13,35,37.1,22,28,7,21,13,43,21,1
Moussa Diaby,fr FRA,"FW,MF",Aston Villa,24,1999,24.2,6,54,22,40.7,2.24,0.91,0.11,0.27,15.9,0,0,0,7,7,0.13,-1,-1,485,619,78.4,6960,1348,280,329,85.1,170,215,79.1,17,32,53.1,8,6.6,4.5,1.4,47,29,40,9,72,12,5,5,4,3,4,22,18.2,18,8,1,7,9,21,6,0
Amad Diallo,ci CIV,"FW,MF",Manchester Utd,21,2002,4.3,1,10,4,40,2.31,0.92,0.1,0.25,19.3,0,0,0,0.5,0.5,0.05,0.5,0.5,149,170,87.6,1931,279,105,115,91.3,32,37,86.5,4,5,80,1,1.1,0.5,-0.1,10,6,3,0,10,10,3,1,6,3,3,7,42.9,4,3,1,2,1,11,6,0
Jeremy Doku,be BEL,"FW,MF",Manchester City,21,2002,17.7,3,55,19,34.5,3.1,1.07,0.05,0.16,16.4,0,0,0,2.5,2.5,0.05,0.5,0.5,693,852,81.3,9699,1538,452,507,89.2,198,254,78,26,33,78.8,8,4.6,5.9,3.4,45,14,40,7,57,39,22,13,12,14,9,20,45,11,14,0,14,9,48,5,0
Abdoulaye Doucouré,ml MLI,"FW,MF",Everton,30,1993,29.2,7,47,21,44.7,1.61,0.72,0.15,0.33,12.2,0,0,0,8.8,8.8,0.2,-1.8,-1.8,683,893,76.5,9807,2329,381,453,84.1,239,288,83,28,59,47.5,1,2.9,1.5,-1.9,34,43,18,1,97,43,27,20,14,9,18,46,39.1,28,23,3,20,15,58,19,0
Jáder Durán,co COL,"FW,MF",Aston Villa,19,2003,5.3,5,20,7,35,3.79,1.33,0.25,0.71,16.8,0,0,0,2,2,0.1,3,3,83,121,68.6,1095,220,51,69,73.9,24,29,82.8,3,5,60,0,0.3,0.2,-0.3,4,6,1,0,9,6,5,3,1,2,1,6,16.7,5,6,0,6,1,7,10,0
Odsonne Édouard,fr FRA,"FW,MF",Crystal Palace,25,1998,17.3,7,51,19,37.3,2.95,1.1,0.14,0.37,13.7,3,0,0,6.2,6.2,0.12,0.8,0.8,249,350,71.1,3106,704,164,207,79.2,61,80,76.3,7,11,63.6,0,1.2,1.1,-1.2,18,12,15,1,36,24,12,8,8,8,4,19,21.1,15,17,1,16,6,30,19,0
Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,21,2002,27,5,54,22,40.7,2,0.81,0.09,0.23,16.2,0,0,0,6.6,6.6,0.12,-1.6,-1.6,498,712,69.9,6655,1569,313,391,80.1,143,211,67.8,15,28,53.6,9,6.7,4,2.3,32,28,24,5,49,33,19,20,6,7,17,37,45.9,20,22,2,20,8,41,20,1
Phil Foden,eng ENG,"FW,MF",Manchester City,23,2000,31.7,19,105,48,45.7,3.31,1.51,0.18,0.4,18.5,4,0,0,10.3,10.3,0.1,8.7,8.7,1511,1767,85.5,20347,3769,990,1053,94,388,449,86.4,68,135,50.4,8,8.4,6.9,-0.4,73,71,57,5,168,31,20,11,10,10,13,31,41.9,18,30,0,30,13,44,18,1
Lyle Foster,za RSA,"FW,MF",Burnley,22,2000,21.1,5,34,16,47.1,1.61,0.76,0.15,0.31,14.6,0,0,0,4.5,4.5,0.13,0.5,0.5,312,461,67.7,4471,835,197,268,73.5,91,124,73.4,14,20,70,3,1.9,1.3,1.1,19,21,12,0,37,19,10,5,6,8,6,17,35.3,11,13,3,10,3,22,34,0
Cody Gakpo,nl NED,"FW,MF",Liverpool,24,1999,18.3,8,66,24,36.4,3.6,1.31,0.12,0.33,15.4,0,0,0,9,9,0.14,-1,-1,436,564,77.3,6130,1738,266,315,84.4,136,183,74.3,18,24,75,5,2.9,2.7,2.1,25,43,32,5,83,27,17,8,14,5,8,25,32,17,21,4,17,14,41,7,0
Bryan Gil,es ESP,"FW,MF",Tottenham,22,2001,2.3,0,4,1,25,1.72,0.43,0,0,13.9,0,0,0,0.8,0.8,0.19,-0.8,-0.8,127,157,80.9,1809,344,69,81,85.2,54,62,87.1,1,2,50,0,0.2,0.3,-0.2,4,6,8,1,16,1,0,0,0,1,1,4,25,3,3,0,3,3,4,4,0
Sergio Gómez,es ESP,"FW,MF",Manchester City,22,2000,0.6,0,2,0,0,3.4,0,0,,15.4,0,0,0,0.2,0.2,0.12,-0.2,-0.2,46,54,85.2,636,97,29,31,93.5,15,17,88.2,1,2,50,1,0.2,0.2,0.8,1,1,2,1,2,1,0,0,1,0,1,2,50,1,0,0,0,1,2,0,0
Jack Grealish,eng ENG,"FW,MF",Manchester City,27,1995,11.2,3,22,5,22.7,1.96,0.45,0.14,0.6,16.1,0,0,0,2.1,2.1,0.09,0.9,0.9,499,580,86,7032,1069,302,329,91.8,156,174,89.7,23,32,71.9,1,2.5,2.8,-1.5,26,15,25,0,50,13,8,6,7,0,6,12,50,6,13,2,11,6,19,5,0
Hwang Hee-chan,kr KOR,"FW,MF",Wolves,27,1996,23.5,12,44,17,38.6,1.87,0.72,0.25,0.65,12.2,0,1,1,7.7,6.9,0.16,4.3,4.1,424,551,77,5661,1028,256,312,82.1,131,162,80.9,13,21,61.9,3,3,2.9,0,17,19,7,2,37,20,10,11,8,1,9,24,37.5,15,19,1,18,10,30,9,0
Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,22,2000,20.6,8,38,20,52.6,1.84,0.97,0.21,0.4,18.3,1,0,0,2.7,2.7,0.07,5.3,5.3,576,738,78,9055,1826,327,361,90.6,187,251,74.5,46,83,55.4,1,2.8,2.5,-1.8,36,20,32,8,58,18,8,4,5,9,7,28,25,21,16,1,15,7,25,12,1
Alex Iwobi,ng NGA,"FW,MF",Fulham,27,1996,24.4,5,51,18,35.3,2.09,0.74,0.1,0.28,18.5,0,0,0,5.3,5.3,0.1,-0.3,-0.3,821,1051,78.1,13556,4268,400,451,88.7,325,403,80.6,66,118,55.9,2,4.7,4,-2.7,49,84,46,8,147,29,18,12,15,2,12,25,48,13,16,0,16,14,43,9,0
João Pedro,br BRA,"FW,MF",Brighton,21,2001,22.7,9,70,20,28.6,3.08,0.88,0.07,0.25,14.4,0,4,5,11.9,7.9,0.11,-2.9,-2.9,659,818,80.6,8706,1876,425,483,88,178,217,82,24,43,55.8,3,3.8,4.7,-0.8,37,43,44,4,92,31,14,10,13,8,14,24,58.3,10,15,2,13,11,42,28,0
Brennan Johnson,wls WAL,"FW,MF",Nott'ham Forest,22,2001,2.6,0,3,0,0,1.14,0,0,,19.7,0,0,0,0.3,0.3,0.11,-0.3,-0.3,47,61,77,671,143,25,29,86.2,17,22,77.3,2,2,100,0,0.2,0,-0.2,1,2,0,0,1,4,1,1,1,2,2,4,50,2,4,1,3,0,4,0,0
Mohammed Kudus,gh GHA,"FW,MF",West Ham,22,2000,27.6,8,67,17,25.4,2.43,0.62,0.12,0.47,18.6,0,0,0,5.1,5.1,0.08,2.9,2.9,677,875,77.4,11263,1764,357,405,88.1,231,281,82.2,70,108,64.8,6,3.5,3.7,2.5,28,32,29,16,80,65,47,27,27,11,20,40,50,20,25,0,25,11,76,9,1
Dejan Kulusevski,se SWE,"FW,MF",Tottenham,23,2000,30.7,8,57,23,40.4,1.86,0.75,0.14,0.35,15.7,0,0,0,4.7,4.7,0.08,3.3,3.3,953,1234,77.2,13509,3584,610,700,87.1,279,363,76.9,39,72,54.2,3,7.7,6.7,-4.7,66,55,73,19,144,62,33,19,20,23,25,67,37.3,42,24,1,23,18,80,2,1
Ian Maatsen,nl NED,"FW,MF",Chelsea,21,2002,2.3,0,5,0,0,2.15,0,0,,17.1,0,0,0,0.8,0.8,0.16,-0.8,-0.8,97,138,70.3,1316,400,60,73,82.2,26,46,56.5,4,8,50,0,0.1,0.2,-0.1,2,6,2,1,8,3,2,1,1,1,0,4,0,4,4,0,4,3,6,10,0
Kieffer Moore,wls WAL,"FW,MF",Bournemouth,30,1992,1.2,1,6,2,33.3,5,1.67,0.17,0.5,12.5,0,0,0,1.5,1.5,0.25,-0.5,-0.5,28,42,66.7,272,91,22,29,75.9,4,8,50,0,0,,0,0.2,0.3,-0.2,2,2,2,0,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Carlton Morris,eng ENG,"FW,MF",Luton Town,27,1995,31.8,11,66,26,39.4,2.08,0.82,0.09,0.23,13.5,0,5,5,11.4,7.5,0.11,-0.4,-1.5,484,751,64.4,6404,1199,310,415,74.7,132,209,63.2,18,34,52.9,4,2.8,1.6,1.2,22,27,11,0,56,15,8,4,6,5,9,15,60,6,24,5,19,1,16,53,0
Pedro Neto,pt POR,"FW,MF",Wolves,23,2000,16.8,2,36,12,33.3,2.14,0.71,0.06,0.17,16.8,3,0,0,3.5,3.5,0.1,-1.5,-1.5,538,722,74.5,8269,1984,308,354,87,154,210,73.3,49,98,50,9,4.4,3.7,4.6,38,23,29,12,54,7,3,3,2,2,5,15,33.3,10,5,1,4,5,12,2,0
Christopher Nkunku,fr FRA,"FW,MF",Chelsea,25,1997,4.9,3,16,7,43.8,3.25,1.42,0.19,0.43,11.4,0,0,0,2.3,2.3,0.14,0.7,0.7,159,183,86.9,2048,567,101,109,92.7,39,43,90.7,4,10,40,0,0.2,0.5,-0.2,3,14,7,0,19,5,4,0,4,1,1,2,50,1,4,1,3,2,7,4,0
Michael Obafemi,ie IRL,"FW,MF",Burnley,23,2000,0.2,0,2,0,0,9,0,0,,19.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,4,5,80,55,2,3,3,100,1,1,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Michael Olise,fr FRA,"FW,MF",Crystal Palace,21,2001,14.2,10,56,20,35.7,3.95,1.41,0.16,0.45,18.5,4,1,1,5.5,4.7,0.08,4.5,4.3,540,721,74.9,8557,2634,300,339,88.5,154,195,79,55,116,47.4,6,5.8,5,0.2,36,43,34,3,78,19,10,7,10,2,8,24,33.3,16,21,0,21,11,30,9,0
Cole Palmer,eng ENG,"FW,MF",Chelsea,21,2002,29,22,100,37,37,3.45,1.28,0.13,0.35,22.1,11,9,9,18.2,11.1,0.11,3.8,1.9,1121,1415,79.2,18622,5642,574,636,90.3,407,479,85,101,186,54.3,11,11.1,8.7,-0.1,72,136,69,5,197,23,12,9,6,8,8,19,42.1,11,20,2,18,20,43,13,2
Lucas Paquetá,br BRA,"FW,MF",West Ham,25,1997,29.1,4,40,8,20,1.37,0.27,0.05,0.25,17.8,1,2,2,5.4,3.8,0.1,-1.4,-1.8,1082,1465,73.9,16561,5842,598,714,83.8,334,435,76.8,95,173,54.9,6,5.4,5.1,0.6,43,143,50,8,187,71,48,38,26,7,25,52,48.1,27,28,1,27,21,92,28,2
Facundo Pellistri,uy URU,"FW,MF",Manchester Utd,21,2001,1.9,0,4,2,50,2.09,1.05,0,0,11.5,0,0,0,0.7,0.7,0.18,-0.7,-0.7,60,79,75.9,675,146,47,53,88.7,11,17,64.7,0,0,,1,0.1,0.4,0.9,1,4,2,0,6,5,3,4,1,0,1,3,33.3,2,7,1,6,1,6,5,0
Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,22,2001,9.5,1,19,4,21.1,2,0.42,0.05,0.25,15.9,0,0,0,2.2,2.2,0.11,-1.2,-1.2,257,322,79.8,3751,863,143,173,82.7,97,115,84.3,9,12,75,1,1,1.4,0,10,22,5,0,28,16,8,7,6,3,5,15,33.3,10,15,2,13,3,19,8,0
Nathan Redmond,eng ENG,"FW,MF",Burnley,29,1994,1.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,48,73,65.8,723,137,30,36,83.3,11,19,57.9,4,9,44.4,0,0.3,0.4,-0.3,3,3,4,1,8,2,1,0,0,2,1,4,25,3,1,0,1,0,2,3,0
Gio Reyna,us USA,"FW,MF",Nott'ham Forest,20,2002,2.6,0,5,2,40,1.91,0.77,0,0,21.3,0,0,0,0.3,0.3,0.06,-0.3,-0.3,118,140,84.3,1768,374,69,74,93.2,40,45,88.9,7,13,53.8,1,0.5,0.4,0.5,7,5,2,0,12,7,3,4,0,3,3,6,50,3,3,0,3,2,9,0,0
Matt Ritchie,sct SCO,"FW,MF",Newcastle Utd,33,1989,1.4,1,6,4,66.7,4.22,2.81,0.17,0.25,12,0,0,0,1,1,0.16,0,0,70,93,75.3,959,234,45,53,84.9,22,26,84.6,2,9,22.2,0,0,0.1,0,0,5,3,0,8,5,3,2,2,1,2,4,50,2,3,2,1,1,6,5,0
Jadon Sancho,eng ENG,"FW,MF",Manchester Utd,23,2000,0.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,34,43,79.1,446,116,22,25,88,10,14,71.4,1,1,100,0,0.1,0.1,-0.1,1,2,2,0,4,1,0,1,0,0,1,3,33.3,2,1,0,1,1,2,0,0
Kevin Schade,de GER,"FW,MF",Brentford,21,2001,3.7,2,8,4,50,2.16,1.08,0.25,0.5,15.8,0,0,0,1.2,1.2,0.15,0.8,0.8,58,95,61.1,819,220,36,49,73.5,19,32,59.4,2,4,50,1,0.7,0.7,0.3,4,8,3,2,9,3,1,1,2,0,0,5,0,5,2,0,2,1,4,4,0
Jeffrey Schlupp,gh GHA,"FW,MF",Crystal Palace,30,1992,15,2,19,11,57.9,1.26,0.73,0.11,0.18,19.4,0,0,0,1.8,1.8,0.1,0.2,0.2,247,334,74,3498,903,146,182,80.2,88,106,83,7,25,28,2,2.3,1.4,-0.3,19,17,9,2,33,38,24,14,16,8,9,18,50,9,13,2,11,8,46,24,0
Luis Sinisterra,co COL,"FW,MF",Bournemouth,24,1999,7.8,2,27,8,29.6,3.48,1.03,0.07,0.25,13.9,0,0,0,2.5,2.5,0.09,-0.5,-0.5,226,292,77.4,3223,747,145,169,85.8,57,66,86.4,13,20,65,2,2.4,1.1,-0.4,20,9,16,1,38,23,12,9,10,4,9,16,56.3,7,18,0,18,8,31,4,0
Raheem Sterling,eng ENG,"FW,MF",Chelsea,28,1994,22,8,51,21,41.2,2.32,0.96,0.16,0.38,14.5,5,0,0,6.5,6.5,0.13,1.5,1.5,538,728,73.9,7091,1775,363,428,84.8,135,191,70.7,18,33,54.5,4,4.5,4.3,-0.5,30,31,35,7,78,21,10,7,8,6,12,26,46.2,14,13,0,13,13,34,9,1
Adama Traoré,es ESP,"FW,MF",Fulham,27,1996,4.2,2,11,7,63.6,2.63,1.67,0.18,0.29,16,0,0,0,1.5,1.5,0.14,0.5,0.5,97,139,69.8,1487,457,52,62,83.9,38,52,73.1,5,12,41.7,3,0.7,0.9,2.3,7,3,9,4,16,4,3,1,2,1,3,6,50,3,2,0,2,1,5,2,0
Bénie Traoré,ci CIV,"FW,MF",Sheffield Utd,20,2002,4.3,0,1,1,100,0.23,0.23,0,0,15.3,0,0,0,0.3,0.3,0.27,-0.3,-0.3,55,71,77.5,775,185,34,38,89.5,19,23,82.6,1,1,100,0,0.5,0.5,-0.5,4,2,7,1,9,4,2,1,2,1,0,4,0,4,4,1,3,1,5,1,0
Mike Trésor,be BEL,"FW,MF",Burnley,24,1999,4.7,0,5,0,0,1.07,0,0,,19.7,1,0,0,0.5,0.5,0.09,-0.5,-0.5,120,180,66.7,1614,462,73,86,84.9,32,52,61.5,4,19,21.1,0,0.4,0.5,-0.4,7,6,2,0,10,10,6,9,1,0,8,18,44.4,10,5,0,5,1,11,1,0
Leandro Trossard,be BEL,"FW,MF",Arsenal,28,1994,18.3,12,60,22,36.7,3.27,1.2,0.2,0.55,16.1,0,0,0,7.9,7.9,0.13,4.1,4.1,494,673,73.4,7666,1927,271,315,86,181,241,75.1,31,60,51.7,1,2.8,3.2,-1.8,24,28,29,4,76,27,16,8,9,10,9,25,36,16,27,1,26,8,35,6,0
Enes Ünal,tr TUR,"FW,MF",Bournemouth,26,1997,3.6,2,23,8,34.8,6.31,2.2,0.09,0.25,12.5,2,0,0,2.9,2.9,0.13,-0.9,-0.9,55,75,73.3,698,213,35,45,77.8,12,16,75,4,5,80,2,1,0.1,1,5,10,2,0,7,6,4,2,3,1,2,5,40,3,4,2,2,1,7,6,0
Danny Welbeck,eng ENG,"FW,MF",Brighton,32,1990,18.8,5,41,16,39,2.18,0.85,0.12,0.31,14.5,1,0,0,5.3,5.3,0.13,-0.3,-0.3,423,515,82.1,4847,730,304,349,87.1,91,106,85.8,1,2,50,1,1.7,1.4,-0.7,22,23,13,0,44,35,17,9,17,9,10,17,58.8,7,12,0,12,9,44,17,1
Cauley Woodrow,eng ENG,"FW,MF",Luton Town,28,1994,4.7,1,16,4,25,3.37,0.84,0.06,0.25,18.7,1,0,0,1.4,1.4,0.09,-0.4,-0.4,110,152,72.4,1530,250,66,82,80.5,31,40,77.5,4,12,33.3,1,1.2,0.9,-0.2,9,5,4,4,6,16,10,8,4,4,9,16,56.3,7,7,1,6,1,17,14,0
Nicolò Zaniolo,it ITA,"FW,MF",Aston Villa,24,1999,9.3,2,27,10,37,2.9,1.07,0.07,0.2,14,0,0,0,2.6,2.6,0.09,-0.6,-0.6,150,228,65.8,2141,550,94,119,79,44,62,71,6,15,40,0,1,0.7,-1,10,17,5,0,30,19,9,10,7,2,9,17,52.9,8,13,0,13,1,20,11,0
Anass Zaroury,ma MAR,"FW,MF",Burnley,22,2000,1.7,0,3,1,33.3,1.78,0.59,0,0,20.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2,43,70,61.4,714,120,23,31,74.2,13,21,61.9,6,11,54.5,0,0,0.1,0,2,2,2,1,2,1,0,1,0,0,0,4,0,4,2,0,2,0,1,1,1
Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,21,2002,3.9,0,9,2,22.2,2.32,0.52,0,0,20.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5,150,187,80.2,2455,628,76,89,85.4,59,69,85.5,10,14,71.4,0,0,0.1,0,1,12,0,0,25,13,9,5,6,2,8,17,47.1,9,3,0,3,2,15,4,0
Julián Álvarez,ar ARG,"MF,FW",Manchester City,23,2000,29.4,11,96,37,38.5,3.26,1.26,0.09,0.24,17.8,13,2,2,13,11.5,0.12,-2,-2.5,1011,1258,80.4,13977,2992,615,679,90.6,272,328,82.9,58,145,40,8,6.4,6.3,1.6,67,43,41,4,103,24,13,5,8,11,8,32,25,24,30,0,30,2,26,14,1
Elliot Anderson,eng ENG,"MF,FW",Newcastle Utd,20,2002,11.4,0,19,4,21.1,1.67,0.35,0,0,14.5,0,0,0,1.5,1.5,0.08,-1.5,-1.5,370,460,80.4,5041,1322,241,274,88,108,130,83.1,8,27,29.6,2,1.9,1.2,0.1,15,36,12,0,57,24,18,12,9,3,15,29,51.7,14,23,4,19,8,32,23,0
Leon Bailey,jm JAM,"MF,FW",Aston Villa,25,1997,23,10,53,18,34,2.31,0.78,0.19,0.56,16.1,1,0,0,6.3,6.3,0.12,3.7,3.7,573,790,72.5,8993,2559,327,391,83.6,184,242,76,48,82,58.5,9,9.2,7.3,-0.2,52,38,51,7,82,13,7,7,4,2,5,20,25,15,18,1,17,9,22,6,0
Jean-Ricner Bellegarde,ht HAI,"MF,FW",Wolves,25,1998,10.6,2,15,5,33.3,1.41,0.47,0.13,0.4,16.5,0,0,0,1.6,1.6,0.1,0.4,0.4,241,314,76.8,3452,786,144,161,89.4,76,98,77.6,14,29,48.3,1,1,0.8,0,12,17,7,0,39,17,10,9,6,2,7,15,46.7,8,18,2,16,8,25,14,0
Jóhann Berg Guðmundsson,is ISL,"MF,FW",Burnley,32,1990,13.2,1,15,6,40,1.13,0.45,0.07,0.17,15.6,1,0,0,1.9,1.9,0.12,-0.9,-0.9,396,544,72.8,7505,2234,164,184,89.1,159,203,78.3,61,124,49.2,3,2.7,2.5,0.3,35,36,18,6,59,13,4,6,5,2,7,16,43.8,9,14,0,14,16,29,16,0
Jacob Brown,sct SCO,"MF,FW",Luton Town,25,1998,11.3,2,26,6,23.1,2.3,0.53,0.08,0.33,14.1,0,0,0,2.8,2.8,0.11,-0.8,-0.8,136,247,55.1,1865,626,91,127,71.7,35,56,62.5,6,24,25,0,0.7,0.4,-0.7,8,6,3,1,19,19,12,7,7,5,7,18,38.9,11,20,1,19,8,27,22,0
Jacob Bruun Larsen,dk DEN,"MF,FW",Burnley,24,1998,13.9,6,43,14,32.6,3.1,1.01,0.12,0.36,19.2,11,1,1,5,4.2,0.1,1,0.8,378,526,71.9,6208,1406,208,257,80.9,120,162,74.1,39,64,60.9,0,1.5,1.8,-1.5,25,12,13,2,38,9,4,4,3,2,7,21,33.3,14,16,2,14,7,16,23,0
Tawanda Chirewa,zw ZIM,"MF,FW",Wolves,19,2003,1.6,0,3,1,33.3,1.86,0.62,0,0,21,0,0,0,0.2,0.2,0.05,-0.2,-0.2,46,58,79.3,664,151,29,31,93.5,14,18,77.8,2,3,66.7,0,0,0.1,0,1,3,3,2,7,7,3,3,3,1,2,3,66.7,1,0,0,0,1,8,0,0
Tahith Chong,cw CUW,"MF,FW",Luton Town,23,1999,22,4,31,7,22.6,1.41,0.32,0.13,0.57,16.6,0,0,0,2.7,2.7,0.09,1.3,1.3,428,550,77.8,6679,1643,227,257,88.3,149,189,78.8,32,54,59.3,0,0.5,1.4,-0.5,10,35,20,8,72,36,22,19,13,4,15,33,45.5,18,30,6,24,8,44,11,1
Carney Chukwuemeka,eng ENG,"MF,FW",Chelsea,19,2003,2.5,1,3,2,66.7,1.19,0.79,0.33,0.5,19.9,0,0,0,0.2,0.2,0.05,0.8,0.8,115,134,85.8,1476,266,82,88,93.2,26,31,83.9,4,5,80,1,0.3,0.3,0.7,4,4,6,0,12,6,4,3,3,0,1,3,33.3,2,1,1,0,0,6,1,0
Maxwel Cornet,ci CIV,"MF,FW",West Ham,26,1996,1.2,1,4,1,25,3.21,0.8,0.25,1,12.5,0,0,0,0.4,0.4,0.1,0.6,0.6,36,49,73.5,407,70,27,34,79.4,6,8,75,0,1,0,0,0.2,0,-0.2,4,0,0,0,2,3,2,3,0,0,1,5,20,4,2,0,2,2,5,1,0
Philippe Coutinho,br BRA,"MF,FW",Aston Villa,31,1992,0.3,0,3,1,33.3,10.8,3.6,0,0,24.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,20,24,83.3,265,63,11,14,78.6,8,9,88.9,0,0,,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Arnaut Danjuma,nl NED,"MF,FW",Everton,26,1997,6.6,1,25,9,36,3.78,1.36,0.04,0.11,16,1,0,0,2.6,2.6,0.1,-1.6,-1.6,102,152,67.1,1420,357,57,69,82.6,37,54,68.5,2,7,28.6,0,1.1,0.4,-1.1,6,6,2,0,9,6,4,2,3,1,1,4,25,3,4,0,4,3,9,0,0
