,,,,,,,Standart,,,,,,,,,,,,Expected,,,,,Total,,,,,Short,,,Medium,,,Long,,,Expected,,,,,,,,,Tackles,,,,,Challanges,,,,Blocks,,,,,,
Player,Nation,Pos,Squad,Age,Born,90s Played,Goals,Shots,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Avg Shot Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Cameron Archer,eng ENG,"FW,MF",Sheffield Utd,22,2001,20.4,4,42,9,21.4,2.06,0.44,0.1,0.44,16.7,0,0,0,5.5,5.5,0.14,-1.5,-1.5,266,332,80.1,3245,471,171,207,82.6,64,69,92.8,5,9,55.6,1,2.8,1.4,-1.8,23,11,7,2,15,18,13,6,6,6,8,18,44.4,10,22,3,19,1,19,11,0
Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,31,1991,28.3,4,48,19,39.6,1.7,0.67,0.08,0.21,18.2,0,0,0,3.9,3.9,0.08,0.1,0.1,681,920,74,9753,1856,417,478,87.2,213,285,74.7,24,74,32.4,7,4.2,2.7,2.8,25,43,26,10,63,65,36,23,28,14,21,42,50,21,43,2,41,16,81,15,0
Harvey Barnes,eng ENG,"FW,MF",Newcastle Utd,25,1997,8.9,5,27,12,44.4,3.03,1.35,0.19,0.42,16,0,0,0,3.6,3.6,0.13,1.4,1.4,208,272,76.5,2981,750,128,147,87.1,68,84,81,7,16,43.8,3,3.2,1.9,-0.2,13,11,17,3,34,6,1,3,2,1,1,2,50,1,1,0,1,5,11,3,0
Saïd Benrahma,dz ALG,"FW,MF",West Ham,27,1995,6.9,0,18,5,27.8,2.61,0.73,0,0,19.8,0,0,1,1.8,1,0.06,-1.8,-1,193,257,75.1,2587,504,116,138,84.1,56,76,73.7,8,15,53.3,1,1.4,0.8,-0.4,11,11,11,2,28,8,4,5,3,0,4,15,26.7,11,8,0,8,5,13,7,0
Oscar Bobb,no NOR,"FW,MF",Manchester City,20,2003,3.4,1,4,1,25,1.19,0.3,0.25,1,11.1,0,0,0,1.4,1.4,0.35,-0.4,-0.4,155,177,87.6,2056,478,101,107,94.4,44,51,86.3,4,4,100,1,1.2,1.3,-0.2,9,3,19,1,25,7,3,1,2,4,2,4,50,2,4,0,4,5,12,1,0
Ben Brereton,cl CHI,"FW,MF",Sheffield Utd,24,1999,12.3,6,34,16,47.1,2.77,1.3,0.15,0.31,14.5,0,1,1,6.1,5.3,0.16,-0.1,-0.3,201,266,75.6,2817,720,129,151,85.4,58,76,76.3,11,16,68.8,1,1.5,1.1,-0.5,8,22,12,2,37,9,4,4,4,1,4,10,40,6,9,3,6,3,12,12,0
Rhian Brewster,eng ENG,"FW,MF",Sheffield Utd,23,2000,3.8,0,7,3,42.9,1.82,0.78,0,0,23.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4,52,76,68.4,702,178,35,41,85.4,10,22,45.5,4,7,57.1,0,0.1,0.1,-0.1,2,6,1,0,3,5,1,1,2,2,0,2,0,2,2,0,2,1,6,2,0
David Brooks,wls WAL,"FW,MF",Bournemouth,26,1997,3.1,1,13,5,38.5,4.15,1.6,0.08,0.2,17.4,0,0,0,2.2,2.2,0.17,-1.2,-1.2,95,132,72,1545,666,47,55,85.5,34,42,81,10,23,43.5,1,1,0.5,0,8,14,12,3,21,5,4,2,1,2,2,4,50,2,3,0,3,2,7,2,0
Facundo Buonanotte,ar ARG,"FW,MF",Brighton,18,2004,15.2,3,21,8,38.1,1.39,0.53,0.14,0.38,16.8,0,0,0,2.4,2.4,0.11,0.6,0.6,404,478,84.5,5038,1028,270,306,88.2,95,109,87.2,9,15,60,1,1.8,1.2,-0.8,18,26,14,1,42,42,22,13,22,7,14,44,31.8,30,22,3,19,8,50,5,0
