,,,,,,,Standart,,,,,,,,,,,,Expected,,,,,Total,,,,,Short,,,Medium,,,Long,,,Expected,,,,,,,,,Tackles,,,,,Challanges,,,,Blocks,,,,,,
Player,Nation,Pos,Squad,Age,Born,90s Played,Goals,Shots,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Avg Shot Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Jürgen Locadia,cw CUW,"FW,MF",Brighton,25,1993,1,0,2,1,50,2.09,1.05,0,0,9.9,0,0,0,0.3,0.3,0.13,-0.3,-0.3,10,21,47.6,126,1,7,10,70,3,6,50,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Riyad Mahrez,dz ALG,"FW,MF",Manchester City,28,1991,21.6,11,73,30,41.1,3.38,1.39,0.14,0.33,17,6,1,1,7.8,7,0.1,3.2,3,1015,1200,84.6,16034,3623,546,589,92.7,314,377,83.3,102,139,73.4,9,10,7.3,-1,60,43,73,4,120,28,14,11,9,8,11,38,28.9,27,31,1,30,18,46,8,2
Solly March,eng ENG,"FW,MF",Brighton,25,1994,12.7,0,21,8,38.1,1.65,0.63,0,0,18.5,1,0,0,1.4,1.4,0.07,-1.4,-1.4,451,622,72.5,7809,2100,223,258,86.4,174,233,74.7,45,98,45.9,1,0.9,1.7,0.1,13,21,23,8,55,25,12,16,6,3,9,19,47.4,10,16,4,12,20,45,14,2
Josh Martin,eng ENG,"FW,MF",Norwich City,17,2001,0.4,0,1,1,100,2.43,2.43,0,0,13,0,0,0,0.1,0.1,0.08,-0.1,-0.1,12,15,80,163,28,11,11,100,0,1,0,1,1,100,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,0,1,0,1,1,2,0,0
Takumi Minamino,jp JPN,"FW,MF",Liverpool,24,1995,2.8,0,8,2,25,2.89,0.72,0,0,19.5,0,0,0,0.8,0.8,0.1,-0.8,-0.8,96,108,88.9,1240,174,59,64,92.2,28,30,93.3,4,6,66.7,0,0,0.1,0,1,4,3,1,4,3,3,0,2,1,2,10,20,8,3,0,3,0,3,3,0
Lucas Moura,br BRA,"FW,MF",Tottenham,26,1992,24.9,4,56,14,25,2.25,0.56,0.07,0.29,17.5,0,0,0,5.6,5.6,0.1,-1.6,-1.6,575,802,71.7,7257,2049,379,457,82.9,141,214,65.9,17,37,45.9,4,3.2,2.5,0.8,34,41,32,1,69,57,33,25,22,10,16,58,27.6,42,29,2,27,15,72,27,0
Pedro Neto,pt POR,"FW,MF",Wolves,19,2000,10.4,3,17,6,35.3,1.63,0.58,0.18,0.5,16.9,0,0,0,2.2,2.2,0.13,0.8,0.8,303,400,75.8,4375,773,168,198,84.8,86,111,77.5,20,36,55.6,3,2.6,1.7,0.4,14,9,7,4,23,9,4,3,6,0,4,15,26.7,11,2,0,2,6,15,4,0
Pedro,es ESP,"FW,MF",Chelsea,32,1987,7.3,1,22,10,45.5,3,1.36,0.05,0.1,15.8,0,0,0,2,2,0.09,-1,-1,266,337,78.9,3670,833,163,185,88.1,68,89,76.4,16,30,53.3,1,0.9,1.1,0.1,17,16,17,1,41,15,7,5,9,1,3,15,20,12,9,0,9,9,24,1,0
Roberto Pereyra,ar ARG,"FW,MF",Watford,28,1991,18.3,3,20,8,40,1.09,0.44,0.1,0.25,19.1,4,1,1,3.1,2.3,0.12,-0.1,-0.3,540,662,81.6,7482,1632,330,378,87.3,160,186,86,24,51,47.1,0,1.5,2.1,-1.5,20,33,12,4,48,20,8,11,7,2,9,28,32.1,19,21,0,21,14,34,12,1
Daniel Podence,pt POR,"FW,MF",Wolves,23,1995,3.2,1,10,3,30,3.11,0.93,0.1,0.33,14,0,0,0,1.2,1.2,0.12,-0.2,-0.2,70,101,69.3,954,172,34,42,81,23,35,65.7,3,8,37.5,0,0.7,0.2,-0.7,5,6,4,1,9,3,3,2,0,1,0,2,0,2,4,1,3,2,5,1,0
Ignacio Pussetto,ar ARG,"FW,MF",Watford,23,1995,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,20,36,55.6,299,116,13,17,76.5,4,8,50,2,8,25,0,0,0.1,0,0,1,1,0,3,7,4,4,2,1,3,8,37.5,5,2,1,1,3,10,4,0
Richarlison,br BRA,"FW,MF",Everton,22,1997,34.1,13,90,32,35.6,2.64,0.94,0.14,0.41,14.8,0,0,0,9.1,9.1,0.1,3.9,3.9,533,853,62.5,7523,1907,285,388,73.5,172,250,68.8,24,56,42.9,3,6.7,3.7,-3.7,34,31,30,3,93,70,47,28,28,14,27,56,48.2,29,34,4,30,12,82,42,0
Patrick Roberts,eng ENG,"FW,MF",Norwich City,22,1997,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,6,9,66.7,100,29,4,5,80,1,1,100,1,3,33.3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Callum Robinson,ie IRL,"FW,MF",Sheffield Utd,24,1995,7.5,1,12,4,33.3,1.6,0.53,0.08,0.25,14.9,0,0,0,1.6,1.6,0.13,-0.6,-0.6,120,154,77.9,1730,243,71,78,91,37,46,80.4,7,16,43.8,1,0.4,0.6,0.6,4,7,3,1,10,6,3,2,2,2,2,7,28.6,5,3,0,3,7,13,3,0
Lukas Rupp,de GER,"FW,MF",Norwich City,28,1991,7.7,0,4,2,50,0.52,0.26,0,0,17.7,0,0,0,0.9,0.9,0.21,-0.9,-0.9,205,272,75.4,2596,643,132,154,85.7,49,68,72.1,8,17,47.1,0,0.9,0.5,-0.9,8,11,3,0,18,15,9,7,5,3,5,17,29.4,12,11,0,11,15,30,4,0
Ismaila Sarr,sn SEN,"FW,MF",Watford,21,1998,22.5,5,44,13,29.5,1.95,0.58,0.11,0.38,15.8,0,0,0,6.1,6.1,0.14,-1.1,-1.1,420,594,70.7,5557,1437,264,314,84.1,100,168,59.5,21,41,51.2,4,4.5,3.2,-0.5,25,17,32,14,41,11,10,5,2,4,5,23,21.7,18,9,1,8,18,29,10,0
Jeffrey Schlupp,gh GHA,"FW,MF",Crystal Palace,26,1992,11.5,3,18,9,50,1.56,0.78,0.17,0.33,18.7,0,0,0,1.7,1.7,0.1,1.3,1.3,251,344,73,3793,1131,140,163,85.9,90,120,75,11,34,32.4,1,0.8,0.4,0.2,7,37,3,0,42,18,9,10,7,1,6,16,37.5,10,11,3,8,13,31,15,0
Xherdan Shaqiri,ch SUI,"FW,MF",Liverpool,27,1991,2.1,1,4,1,25,1.95,0.49,0.25,1,20.4,0,0,0,0.5,0.5,0.13,0.5,0.5,89,110,80.9,1423,465,52,57,91.2,23,27,85.2,10,15,66.7,0,0.2,0.3,-0.2,3,10,6,1,18,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
Bernardo Silva,pt POR,"FW,MF",Manchester City,24,1994,22.6,6,52,15,28.8,2.31,0.67,0.12,0.4,14.2,0,0,0,6,6,0.12,0,0,1284,1474,87.1,18560,3600,757,815,92.9,397,454,87.4,72,94,76.6,7,5,6.1,2,51,60,39,10,122,36,18,8,21,7,13,44,29.5,31,25,1,24,24,60,13,0
Isaac Success,ng NGA,"FW,MF",Watford,23,1996,0.8,0,1,1,100,1.29,1.29,0,0,10.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1,14,20,70,149,26,7,11,63.6,4,6,66.7,0,0,,0,0.1,0,-0.1,1,0,2,0,2,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
