,,,,,,,Standart,,,,,,,,,,,,Expected,,,,,Total,,,,,Short,,,Medium,,,Long,,,Expected,,,,,,,,,Tackles,,,,,Challanges,,,,Blocks,,,,,,
Player,Nation,Pos,Squad,Age,Born,90s Played,Goals,Shots,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Avg Shot Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Pascal Groß,de GER,"MF,FW",Brighton,28,1991,20,2,29,9,31,1.45,0.45,0.07,0.22,22.6,4,0,0,1.6,1.6,0.06,0.4,0.4,765,1059,72.2,13347,3860,383,435,88,260,325,80,97,211,46,4,5.3,4.7,-1.3,59,53,34,10,135,36,13,8,21,7,14,39,35.9,25,25,3,22,9,45,7,0
Alex Iwobi,ng NGA,"MF,FW",Everton,23,1996,17.7,1,23,10,43.5,1.3,0.56,0.04,0.1,17.3,0,0,0,2.5,2.5,0.11,-1.5,-1.5,457,610,74.9,7868,2410,217,258,84.1,175,224,78.1,46,75,61.3,0,1.9,2.6,-1.9,24,50,28,9,106,25,17,8,15,2,12,33,36.4,21,18,2,16,14,39,10,1
Adam Lallana,eng ENG,"MF,FW",Liverpool,31,1988,4.2,1,5,1,20,1.18,0.24,0.2,1,16.3,0,0,0,0.8,0.8,0.15,0.2,0.2,229,272,84.2,2865,728,152,166,91.6,57,66,86.4,6,13,46.2,1,0.6,0.3,0.4,4,24,3,0,23,19,9,7,9,3,6,21,28.6,15,7,0,7,5,24,3,0
Érik Lamela,ar ARG,"MF,FW",Tottenham,27,1992,13.5,2,29,8,27.6,2.15,0.59,0.07,0.25,19.5,4,0,0,2.9,2.9,0.11,-0.9,-0.9,461,593,77.7,6263,1265,292,326,89.6,105,133,78.9,32,67,47.8,1,1.1,1.4,-0.1,18,28,19,1,45,24,20,9,13,2,2,21,9.5,19,12,3,9,8,32,10,0
Manuel Lanzini,ar ARG,"MF,FW",West Ham,26,1993,15.3,0,23,7,30.4,1.5,0.46,0,0,19,3,0,0,2.2,2.2,0.09,-2.2,-2.2,674,806,83.6,10014,2796,385,431,89.3,201,231,87,50,82,61,2,2.2,1.7,-0.2,31,79,12,2,77,14,9,6,6,2,7,39,17.9,32,9,1,8,10,24,3,0
Jesse Lingard,eng ENG,"MF,FW",Manchester Utd,26,1992,10.4,1,22,6,27.3,2.12,0.58,0.05,0.17,18.7,0,0,0,1.9,1.9,0.09,-0.9,-0.9,350,408,85.8,4646,903,203,224,90.6,109,125,87.2,12,17,70.6,0,1,0.6,-1,20,38,7,0,45,15,8,6,4,5,5,18,27.8,13,5,0,5,3,18,0,0
Giovani Lo Celso,ar ARG,"MF,FW",Tottenham,23,1996,16.6,0,18,3,16.7,1.09,0.18,0,0,22,1,0,0,1.3,1.3,0.07,-1.3,-1.3,839,1034,81.1,13215,3649,428,479,89.4,287,341,84.2,72,123,58.5,2,1.6,1.5,0.4,29,81,22,0,112,51,29,12,33,6,12,59,20.3,47,20,4,16,9,60,19,0
Ruben Loftus-Cheek,eng ENG,"MF,FW",Chelsea,23,1996,2.3,0,4,0,0,1.73,0,0,,9.6,0,0,0,0.5,0.5,0.12,-0.5,-0.5,119,133,89.5,1746,333,74,82,90.2,34,37,91.9,7,8,87.5,1,0.4,0.5,0.6,1,9,3,0,15,0,0,0,0,0,0,2,0,2,1,1,0,2,2,2,0
Alexis Mac Allister,ar ARG,"MF,FW",Brighton,20,1998,3.9,0,7,1,14.3,1.79,0.26,0,0,22.5,1,0,0,0.5,0.5,0.07,-0.5,-0.5,77,121,63.6,1144,294,41,51,80.4,25,35,71.4,5,23,21.7,0,0.3,0.2,-0.3,5,6,1,1,6,9,5,4,3,2,5,9,55.6,4,12,0,12,1,10,2,0
Juan Mata,es ESP,"MF,FW",Manchester Utd,31,1988,8.4,0,10,2,20,1.19,0.24,0,0,18.5,2,0,0,1.1,1.1,0.11,-1.1,-1.1,459,543,84.5,6656,1554,275,288,95.5,120,150,80,36,52,69.2,2,2.1,2.5,-0.1,18,40,23,3,64,7,3,1,5,1,2,7,28.6,5,5,1,4,0,7,2,0
Max Meyer,de GER,"MF,FW",Crystal Palace,23,1995,7.3,0,9,2,22.2,1.24,0.27,0,0,17.8,0,0,0,0.5,0.5,0.06,-0.5,-0.5,158,211,74.9,1952,489,103,119,86.6,38,43,88.4,3,14,21.4,0,0.2,0.2,-0.2,4,13,5,1,16,19,11,10,9,0,8,18,44.4,10,6,1,5,7,26,4,0
Aaron Mooy,au AUS,"MF,FW",Brighton,28,1990,23.2,2,33,8,24.2,1.42,0.35,0.06,0.25,20.9,0,0,0,2.3,2.3,0.07,-0.3,-0.3,818,1092,74.9,12922,3701,459,513,89.5,245,311,78.8,81,169,47.9,2,4.5,3.2,-2.5,39,87,26,5,158,37,24,9,18,10,6,40,15,34,36,7,29,23,60,32,1
Mason Mount,eng ENG,"MF,FW",Chelsea,20,1999,31.9,7,78,29,37.2,2.45,0.91,0.09,0.24,20.6,12,0,0,6.4,6.4,0.08,0.6,0.6,1108,1394,79.5,14894,3978,689,767,89.8,254,326,77.9,65,131,49.6,5,5.4,4.5,-0.4,51,101,34,5,138,37,17,8,19,10,9,42,21.4,33,25,3,22,16,53,18,0
Yoshinori Mutō,jp JPN,"MF,FW",Newcastle Utd,27,1992,2.4,0,1,0,0,0.42,0,0,,10,0,0,0,0.1,0.1,0.08,-0.1,-0.1,27,33,81.8,290,91,12,13,92.3,6,7,85.7,1,2,50,0,0,0,0,1,2,1,0,5,3,2,1,2,0,1,2,50,1,0,0,0,0,3,0,0
Alex Oxlade-Chamberlain,eng ENG,"MF,FW",Liverpool,25,1993,16.5,4,40,10,25,2.42,0.61,0.1,0.4,22.5,0,0,0,2.8,2.8,0.07,1.2,1.2,596,758,78.6,10257,2209,289,332,87,220,271,81.2,66,99,66.7,1,1.1,1.5,-0.1,17,77,26,7,97,18,9,4,6,8,5,21,23.8,16,26,1,25,22,40,10,0
Andreas Pereira,br BRA,"MF,FW",Manchester Utd,23,1996,16.5,1,37,14,37.8,2.24,0.85,0.03,0.07,22.9,3,0,0,2.3,2.3,0.06,-1.3,-1.3,569,780,72.9,8948,2634,298,347,85.9,202,259,78,47,108,43.5,3,4,2.9,-1,32,61,15,4,89,24,13,8,9,7,10,39,25.6,29,13,0,13,7,31,7,0
Ayoze Pérez,es ESP,"MF,FW",Leicester City,26,1993,22.3,8,46,21,45.7,2.07,0.94,0.15,0.33,14.5,0,1,1,6.5,5.7,0.13,1.5,1.3,597,770,77.5,7574,1749,394,453,87,140,180,77.8,20,33,60.6,4,4,3.2,0,28,44,28,5,62,45,28,14,26,5,8,54,14.8,46,33,1,32,14,59,9,1
Brandon Pierrick,eng ENG,"MF,FW",Crystal Palace,17,2001,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,5,9,55.6,52,9,2,2,100,1,2,50,0,0,,0,0.1,0,-0.1,2,0,1,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Domingos Quina,pt POR,"MF,FW",Watford,19,1999,0.2,0,1,1,100,4.09,4.09,0,0,27.3,0,0,0,0,0,0.03,0,0,10,10,100,120,30,7,7,100,2,2,100,0,0,,0,0,0,0,0,0,1,0,1,2,0,1,1,0,1,2,50,1,3,0,3,0,2,0,0
Nathan Redmond,eng ENG,"MF,FW",Southampton,25,1994,30.7,4,59,21,35.6,1.92,0.68,0.07,0.19,18.9,2,0,0,5.1,5.1,0.09,-1.1,-1.1,763,1072,71.2,11856,2570,414,499,83,257,346,74.3,56,128,43.8,4,3.3,2.7,0.7,36,56,38,7,104,49,29,17,23,9,21,57,36.8,36,39,2,37,16,65,16,0
Allan Saint-Maximin,fr FRA,"MF,FW",Newcastle Utd,22,1997,20.7,3,46,21,45.7,2.22,1.01,0.07,0.14,22.5,0,0,0,3.3,3.3,0.07,-0.3,-0.3,353,485,72.8,5433,1190,209,246,85,87,123,70.7,34,56,60.7,4,3.3,3.1,0.7,33,22,14,3,49,13,8,7,4,2,4,18,22.2,14,5,2,3,9,22,6,0
Robert Snodgrass,sct SCO,"MF,FW",West Ham,31,1987,16.8,5,21,10,47.6,1.25,0.6,0.24,0.5,16.8,0,0,0,2.5,2.5,0.12,2.5,2.5,433,646,67,7212,2456,239,288,83,136,192,70.8,52,120,43.3,5,3.2,3.7,1.8,33,30,9,2,57,29,16,17,10,2,13,44,29.5,31,12,1,11,4,33,11,0
Dennis Srbeny,de GER,"MF,FW",Norwich City,25,1994,0.5,1,2,1,50,3.83,1.91,0.5,1,7.8,0,0,0,0.5,0.5,0.26,0.5,0.5,13,18,72.2,134,12,12,16,75,1,1,100,0,0,,0,0,0,0,0,1,0,0,1,5,5,3,2,0,1,3,33.3,2,1,0,1,0,5,1,0
Junior Stanislas,eng ENG,"MF,FW",Bournemouth,29,1989,7.9,3,17,6,35.3,2.15,0.76,0.12,0.33,20.4,3,1,1,2.1,1.4,0.08,0.9,0.6,214,306,69.9,3087,1102,122,144,84.7,60,91,65.9,16,39,41,0,0.8,1.1,-0.8,12,15,7,2,26,10,7,2,3,5,3,8,37.5,5,6,0,6,4,14,6,0
Theo Walcott,eng ENG,"MF,FW",Everton,30,1989,14.3,2,31,10,32.3,2.17,0.7,0.06,0.2,16.1,0,0,0,3.1,3.1,0.1,-1.1,-1.1,263,407,64.6,3637,1056,159,206,77.2,77,116,66.4,12,33,36.4,3,3.7,3,-0.7,19,20,17,6,34,13,8,6,5,2,3,15,20,12,13,0,13,8,21,1,0
Joe Willock,eng ENG,"MF,FW",Arsenal,19,1999,9.5,1,15,4,26.7,1.58,0.42,0.07,0.25,16.7,0,0,0,1.6,1.6,0.11,-0.6,-0.6,287,359,79.9,4611,1347,143,169,84.6,118,130,90.8,17,33,51.5,1,1.1,0.6,-0.1,12,34,8,2,41,25,16,9,12,4,8,21,38.1,13,16,2,14,4,29,11,2
Harry Wilson,wls WAL,"MF,FW",Bournemouth,22,1997,18.3,7,56,20,35.7,3.06,1.09,0.13,0.35,20.8,12,0,0,4,4,0.07,3,3,452,624,72.4,7801,1765,245,287,85.4,136,182,74.7,59,99,59.6,0,2.4,2.6,-2.4,14,42,22,1,66,23,13,8,10,5,11,34,32.4,23,26,2,24,11,34,15,1
Andriy Yarmolenko,ua UKR,"MF,FW",West Ham,29,1989,11,5,26,13,50,2.36,1.18,0.19,0.38,17.8,2,0,0,2.4,2.4,0.09,2.6,2.6,331,425,77.9,5093,1146,193,218,88.5,95,125,76,30,53,56.6,1,3.5,2,-2.5,19,17,11,2,41,13,8,5,6,2,5,20,25,15,3,1,2,6,19,4,0
Tahith Chong,cw CUW,"FW,DF",Manchester Utd,19,1999,0.4,0,1,0,0,2.43,0,0,,14.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,9,14,64.3,125,23,6,9,66.7,3,4,75,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Adama Traoré,es ESP,"FW,DF",Wolves,23,1996,28.9,4,43,12,27.9,1.49,0.41,0.09,0.33,19.8,0,0,0,3.8,3.8,0.09,0.2,0.2,614,952,64.5,9406,2530,335,425,78.8,202,311,65,41,97,42.3,9,6.6,6.5,2.4,48,55,41,28,88,33,21,6,14,13,8,23,34.8,15,19,3,16,13,46,14,2
Stuart Armstrong,sct SCO,MF,Southampton,27,1992,19.1,5,46,20,43.5,2.41,1.05,0.11,0.25,21.2,0,0,0,2.8,2.8,0.06,2.2,2.2,464,616,75.3,6611,2171,265,323,82,154,191,80.6,22,35,62.9,3,2,1.4,1,18,36,22,4,71,32,19,19,11,2,9,38,23.7,29,22,4,18,11,43,23,1
Ross Barkley,eng ENG,MF,Chelsea,25,1993,12.3,1,40,12,30,3.26,0.98,0.03,0.08,22.4,5,0,0,2.7,2.7,0.07,-1.7,-1.7,555,635,87.4,9250,1867,280,310,90.3,182,194,93.8,68,79,86.1,4,2.3,2.6,1.7,24,53,18,2,64,16,9,6,6,4,5,18,27.8,13,7,2,5,7,23,7,0
Nabil Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,8.3,0,4,0,0,0.48,0,0,,29.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,348,409,85.1,6053,1163,145,161,90.1,149,170,87.6,38,48,79.2,0,0.2,0.2,-0.2,8,29,2,0,19,23,13,14,9,0,7,25,28,18,9,2,7,19,42,9,1
Jóhann Berg Guðmundsson,is ISL,MF,Burnley,28,1990,6.9,1,10,2,20,1.45,0.29,0.1,0.5,15.5,2,0,0,0.6,0.6,0.06,0.4,0.4,134,196,68.4,2433,653,72,87,82.8,34,48,70.8,22,51,43.1,1,1,1.3,0,13,5,12,10,6,4,2,2,2,0,1,8,12.5,7,8,1,7,7,11,9,0
Sander Berge,no NOR,MF,Sheffield Utd,21,1998,10.5,1,5,2,40,0.48,0.19,0.2,0.5,13.5,0,0,0,0.6,0.6,0.12,0.4,0.4,298,392,76,4903,1051,124,158,78.5,135,158,85.4,24,38,63.2,1,0.6,0.9,0.4,2,33,8,2,52,22,15,3,14,5,5,10,50,5,15,1,14,10,32,16,0
Muhamed Bešić,ba BIH,MF,Sheffield Utd,26,1992,2.8,0,4,2,50,1.44,0.72,0,0,20.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,84,107,78.5,1285,280,50,58,86.2,23,28,82.1,7,12,58.3,0,0.1,0,-0.1,1,6,1,0,11,8,6,4,4,0,2,5,40,3,4,0,4,1,9,6,0
Philip Billing,dk DEN,MF,Bournemouth,23,1996,28.1,1,33,8,24.2,1.17,0.28,0.03,0.13,20.7,1,0,0,2,2,0.06,-1,-1,879,1216,72.3,14318,3856,452,594,76.1,317,397,79.8,79,139,56.8,1,1.7,1.9,-0.7,15,70,18,1,100,72,46,30,37,5,17,65,26.2,48,59,16,43,66,138,97,1
Yves Bissouma,ml MLI,MF,Brighton,22,1996,14,1,16,7,43.8,1.14,0.5,0.06,0.14,28.1,0,0,0,0.4,0.4,0.03,0.6,0.6,529,629,84.1,8913,2059,254,283,89.8,203,230,88.3,51,76,67.1,0,0.2,0.4,-0.2,4,47,7,0,63,49,38,24,22,3,17,40,42.5,23,18,2,16,21,70,23,0
Robbie Brady,ie IRL,MF,Burnley,27,1992,5,1,12,1,8.3,2.38,0.2,0.08,1,15.8,2,0,0,1.1,1.1,0.09,-0.1,-0.1,100,169,59.2,1378,527,60,77,77.9,31,54,57.4,3,15,20,2,0.4,0.5,1.6,8,8,6,0,20,11,9,5,4,2,3,10,30,7,10,2,8,5,16,8,0
Josh Brownhill,eng ENG,MF,Burnley,23,1995,8.9,0,6,0,0,0.67,0,0,,18.9,1,0,0,0.5,0.5,0.09,-0.5,-0.5,275,338,81.4,3703,874,161,178,90.4,81,99,81.8,12,28,42.9,0,0.1,0.2,-0.1,3,16,1,0,20,14,8,5,7,2,5,13,38.5,8,9,4,5,14,28,18,0
Étienne Capoue,fr FRA,MF,Watford,31,1988,29.2,0,19,1,5.3,0.65,0.03,0,0,26.9,2,0,0,0.8,0.8,0.04,-0.8,-0.8,1180,1465,80.5,21643,6104,536,612,87.6,453,520,87.1,154,249,61.8,3,3.3,2.7,-0.3,20,117,10,1,132,75,40,38,30,7,37,85,43.5,48,30,11,19,68,143,61,0
Dani Ceballos,es ESP,MF,Arsenal,22,1996,18.8,0,13,3,23.1,0.69,0.16,0,0,22.8,0,0,0,0.6,0.6,0.04,-0.6,-0.6,1114,1329,83.8,19951,5446,482,523,92.2,479,531,90.2,121,202,59.9,2,1.8,2,0.2,28,120,29,2,174,45,23,26,14,5,18,61,29.5,43,14,3,11,32,77,16,1
Nathaniel Chalobah,eng ENG,MF,Watford,24,1994,10.3,0,9,0,0,0.87,0,0,,23.3,2,0,0,0.5,0.5,0.05,-0.5,-0.5,261,370,70.5,3909,1172,142,181,78.5,87,106,82.1,18,44,40.9,1,1.3,0.8,-0.3,9,23,4,0,35,30,11,13,13,4,12,27,44.4,15,10,4,6,18,48,20,0
Hamza Choudhury,bd BAN,MF,Leicester City,21,1997,9.9,1,7,2,28.6,0.71,0.2,0.14,0.5,16.2,0,0,0,0.4,0.4,0.05,0.6,0.6,428,501,85.4,7050,1474,204,230,88.7,174,193,90.2,35,48,72.9,1,0.1,0.2,0.9,4,29,3,0,32,17,8,7,8,2,3,25,12,22,15,6,9,24,41,13,0
Tom Cleverley,eng ENG,MF,Watford,29,1989,10.8,1,17,5,29.4,1.58,0.46,0.06,0.2,17.8,0,0,0,2.1,2.1,0.12,-1.1,-1.1,369,467,79,5183,1761,227,241,94.2,93,126,73.8,24,59,40.7,0,0.7,1,-0.7,15,32,14,3,49,28,15,8,14,6,9,36,25,27,13,1,12,10,38,15,0
Jack Cork,eng ENG,MF,Burnley,30,1989,29,0,18,5,27.8,0.62,0.17,0,0,15.1,0,0,0,2,2,0.11,-2,-2,725,941,77,10877,2633,410,486,84.4,216,279,77.4,61,95,64.2,0,1.1,1.1,-1.1,12,55,8,1,67,35,24,10,20,5,12,62,19.4,50,34,12,22,28,63,49,0
Arnaut Danjuma,nl NED,MF,Bournemouth,22,1997,7,0,13,4,30.8,1.86,0.57,0,0,19,1,0,0,1.2,1.2,0.09,-1.2,-1.2,183,233,78.5,2768,574,99,118,83.9,66,79,83.5,12,19,63.2,0,0.2,0.3,-0.2,5,11,4,1,21,4,2,3,1,0,1,4,25,3,2,0,2,8,12,4,1
Tom Davies,eng ENG,MF,Everton,21,1998,22.5,1,17,5,29.4,0.75,0.22,0.06,0.2,17.1,0,0,0,1.6,1.6,0.09,-0.6,-0.6,687,893,76.9,11896,4015,309,388,79.6,292,341,85.6,68,110,61.8,0,0.5,0.9,-0.5,6,85,16,2,113,38,17,12,22,4,17,55,30.9,38,12,4,8,35,73,28,0
Kevin De Bruyne,be BEL,MF,Manchester City,28,1991,31,13,97,29,29.9,3.13,0.94,0.11,0.38,21.8,11,2,2,7.3,5.8,0.06,5.7,5.2,1665,2261,73.6,29420,8949,799,932,85.7,592,781,75.8,210,372,56.5,20,20,14.6,0,136,159,111,16,280,45,24,8,20,17,18,66,27.3,48,26,4,22,18,63,24,2
Fabian Delph,eng ENG,MF,Everton,29,1989,13.2,0,3,0,0,0.23,0,0,,30.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1,682,793,86,12274,3378,300,322,93.2,274,301,91,83,126,65.9,0,0.4,0.7,-0.4,7,61,14,5,94,26,12,10,13,3,9,22,40.9,13,12,3,9,15,41,19,1
Abdoulaye Doucouré,ml MLI,MF,Watford,26,1993,35.1,4,61,12,19.7,1.74,0.34,0.07,0.33,18.3,0,0,0,5.2,5.2,0.08,-1.2,-1.2,1320,1712,77.1,19007,4672,714,862,82.8,456,548,83.2,61,101,60.4,2,3.9,2.8,-1.9,38,120,27,2,161,64,30,29,29,6,16,57,28.1,41,46,8,38,31,95,32,0
Tommy Doyle,eng ENG,MF,Manchester City,17,2001,0.2,0,1,1,100,5.63,5.63,0,0,20.9,0,0,0,0,0,0.04,0,0,20,20,100,305,29,11,11,100,6,6,100,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Danny Drinkwater,eng ENG,MF,Aston Villa,29,1990,2.9,0,2,0,0,0.69,0,0,,18.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1,138,169,81.7,2447,567,67,79,84.8,54,59,91.5,16,22,72.7,0,0,0.1,0,1,18,1,0,20,5,3,3,2,0,2,18,11.1,16,5,0,5,5,10,5,1
Danny Drinkwater,eng ENG,MF,Burnley,29,1990,0.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,14,24,58.3,201,25,5,7,71.4,8,9,88.9,0,3,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,1,0,1,0,0,0,1,3,0,0
Ondrej Duda,sk SVK,MF,Norwich City,24,1994,8,0,10,3,30,1.24,0.37,0,0,22.1,2,0,0,0.5,0.5,0.05,-0.5,-0.5,295,382,77.2,4158,1077,177,204,86.8,62,80,77.5,27,54,50,0,1.5,1.3,-1.5,16,15,9,2,25,18,11,9,6,3,7,16,43.8,9,10,2,8,6,24,8,0
Fabinho,br BRA,MF,Liverpool,25,1993,23.1,2,12,4,33.3,0.52,0.17,0.17,0.5,28.7,2,0,0,0.4,0.4,0.04,1.6,1.6,1381,1593,86.7,23882,5652,588,641,91.7,647,731,88.5,107,153,69.9,3,1.6,1.4,1.4,19,129,19,3,129,62,35,20,35,7,26,67,38.8,41,25,2,23,34,96,19,1
Akin Famewo,eng ENG,MF,Norwich City,20,1998,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Bruno Fernandes,pt POR,MF,Manchester Utd,24,1994,13.2,8,40,14,35,3.04,1.06,0.1,0.29,24.6,7,4,4,6.2,3,0.08,1.8,1,607,861,70.5,10342,2939,319,369,86.4,199,276,72.1,71,152,46.7,7,2.5,2.3,4.5,30,66,25,2,110,22,12,9,9,4,5,38,13.2,33,6,0,6,11,33,16,0
John Fleck,sct SCO,MF,Sheffield Utd,27,1991,28,5,31,11,35.5,1.11,0.39,0.16,0.45,20.1,0,0,0,3.1,3.1,0.1,1.9,1.9,842,1164,72.3,13437,4460,427,494,86.4,268,342,78.4,89,198,44.9,2,3.4,3.4,-1.4,39,105,35,7,139,36,25,13,14,9,22,64,34.4,42,25,3,22,24,60,26,0
Fred,br BRA,MF,Manchester Utd,26,1993,24,0,40,10,25,1.66,0.42,0,0,24.5,3,0,0,1.7,1.7,0.04,-1.7,-1.7,1482,1742,85.1,26846,7368,640,703,91,599,665,90.1,196,273,71.8,0,2.1,2.1,-2.1,35,142,14,3,158,60,32,33,22,5,25,100,25,75,44,8,36,38,98,32,0
Luke Freeman,eng ENG,MF,Sheffield Utd,27,1992,4.1,0,3,0,0,0.74,0,0,,29.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,112,148,75.7,1479,478,72,80,90,26,34,76.5,7,16,43.8,0,0.2,0.6,-0.2,3,11,6,3,20,6,4,2,2,2,2,8,25,6,1,0,1,10,16,6,0
James Garner,eng ENG,MF,Manchester Utd,18,2001,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,14,14,100,206,24,9,9,100,4,4,100,1,1,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Jean-Philippe Gbamin,ci CIV,MF,Everton,23,1995,1.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,50,70,71.4,736,153,25,29,86.2,20,22,90.9,1,8,12.5,0,0,0,0,0,8,0,0,7,4,3,1,1,2,1,2,50,1,1,0,1,1,5,4,0
Billy Gilmour,sct SCO,MF,Chelsea,18,2001,2.2,0,1,0,0,0.46,0,0,,26.2,0,0,0,0,0,0.02,0,0,155,173,89.6,2643,649,72,79,91.1,64,67,95.5,14,18,77.8,0,0.1,0.1,-0.1,4,6,1,0,11,5,2,3,2,0,2,4,50,2,2,0,2,3,8,3,1
André Gomes,pt POR,MF,Everton,26,1993,16.2,0,5,0,0,0.31,0,0,,23.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,726,867,83.7,14718,4049,271,306,88.6,319,351,90.9,120,172,69.8,1,1.1,1.1,-0.1,11,86,12,2,105,22,15,7,11,4,8,62,12.9,54,20,3,17,7,29,7,0
Angel Gomes,eng ENG,MF,Manchester Utd,18,2000,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,11,13,84.6,214,85,4,5,80,4,5,80,2,2,100,0,0.1,0.2,-0.1,2,3,3,0,4,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Dan Gosling,eng ENG,MF,Bournemouth,29,1990,14,3,13,6,46.2,0.93,0.43,0.23,0.5,11.6,0,0,0,2.9,2.9,0.22,0.1,0.1,407,527,77.2,5848,1762,244,285,85.6,114,140,81.4,27,43,62.8,1,1.1,0.9,-0.1,10,40,5,2,55,26,10,14,9,3,6,27,22.2,21,31,11,20,20,46,26,0
Mattéo Guendouzi,fr FRA,MF,Arsenal,20,1999,19.4,0,11,5,45.5,0.57,0.26,0,0,22.2,0,0,0,0.8,0.8,0.07,-0.8,-0.8,1027,1170,87.8,18529,5467,430,467,92.1,448,483,92.8,120,144,83.3,1,1.1,1.6,-0.1,12,141,20,1,160,31,16,14,13,4,14,43,32.6,29,21,7,14,29,60,38,2
İlkay Gündoğan,de GER,MF,Manchester City,28,1990,22.4,2,31,6,19.4,1.38,0.27,0.03,0.17,21.5,2,1,2,4,2.4,0.08,-2,-1.4,1808,1990,90.9,28970,6374,956,1018,93.9,615,654,94,163,202,80.7,1,2.1,3.3,-1.1,33,180,31,2,202,27,16,9,11,7,9,41,22,32,17,5,12,31,58,13,0
Isaac Hayden,jm JAM,MF,Newcastle Utd,24,1995,24.7,1,18,3,16.7,0.73,0.12,0.06,0.33,20.9,0,0,0,1.2,1.2,0.07,-0.2,-0.2,645,853,75.6,9410,2242,368,441,83.4,213,258,82.6,31,65,47.7,2,2.3,1.1,-0.3,15,37,12,7,52,55,27,33,17,5,20,50,40,30,24,7,17,38,93,38,0
Jordan Henderson,eng ENG,MF,Liverpool,29,1990,24.9,4,20,8,40,0.8,0.32,0.2,0.5,19.2,1,0,0,1.1,1.1,0.05,2.9,2.9,1593,1933,82.4,28191,7061,692,759,91.2,653,769,84.9,187,289,64.7,5,3.1,3.6,1.9,24,173,31,7,197,63,41,18,33,12,22,55,40,33,22,4,18,30,93,21,2
Jeff Hendrick,ie IRL,MF,Burnley,27,1992,21.5,2,22,6,27.3,1.03,0.28,0.09,0.33,18.9,1,0,0,1.7,1.7,0.08,0.3,0.3,424,588,72.1,6168,1588,248,285,87,136,180,75.6,24,58,41.4,2,1.6,1.8,0.4,14,28,10,2,40,18,10,7,8,3,7,27,25.9,20,21,8,13,20,38,20,0
Nathan Holland,eng ENG,MF,West Ham,21,1998,0.4,0,1,1,100,2.73,2.73,0,0,28.7,0,0,0,0,0,0.02,0,0,10,14,71.4,112,41,8,9,88.9,1,3,33.3,0,0,,0,0,0,0,0,1,0,0,1,3,1,2,1,0,0,0,,0,1,0,1,0,3,0,0
Conor Hourihane,ie IRL,MF,Aston Villa,28,1991,17,3,29,10,34.5,1.7,0.59,0.1,0.3,21.4,6,0,0,1.7,1.7,0.06,1.3,1.3,547,739,74,9334,3163,240,282,85.1,238,287,82.9,47,115,40.9,5,6,4.3,-1,38,52,16,4,75,16,10,4,8,4,10,25,40,15,19,4,15,9,25,31,0
Will Hughes,eng ENG,MF,Watford,24,1995,25,1,27,3,11.1,1.08,0.12,0.04,0.33,19.3,0,0,0,2.3,2.3,0.08,-1.3,-1.3,679,916,74.1,9200,3365,414,479,86.4,182,246,74,34,88,38.6,1,2.1,2.6,-1.1,25,69,23,2,87,75,47,24,41,10,25,67,37.3,42,48,8,40,37,112,28,0
Pierre Højbjerg,dk DEN,MF,Southampton,23,1995,30.6,0,46,11,23.9,1.5,0.36,0,0,22,0,0,0,3.2,3.2,0.07,-3.2,-3.2,1446,1870,77.3,25247,7081,647,764,84.7,621,787,78.9,141,235,60,1,1.8,1.7,-0.8,30,159,27,7,219,80,49,34,38,8,39,91,42.9,52,44,5,39,46,126,54,2
