,,,,,,,Standart,,,,,,,,,,,,Expected,,,,,Total,,,,,Short,,,Medium,,,Long,,,Expected,,,,,,,,,Tackles,,,,,Challanges,,,,Blocks,,,,,,
Player,Nation,Pos,Squad,Age,Born,90s Played,Goals,Shots,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Avg Shot Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Cameron Archer,eng ENG,"FW,MF",Aston Villa,20,2001,0.3,0,1,0,0,3.33,0,0,,12.6,0,0,0,0,0,0.04,0,0,4,4,100,62,29,3,3,100,1,1,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Leon Bailey,jm JAM,"FW,MF",Aston Villa,23,1997,8.5,1,21,8,38.1,2.48,0.95,0.05,0.13,19.4,4,0,0,1.5,1.5,0.07,-0.5,-0.5,150,226,66.4,2354,518,76,95,80,47,66,71.2,15,36,41.7,2,0.8,1.1,1.2,7,6,9,1,24,17,11,6,8,3,6,13,46.2,7,10,1,9,1,18,2,0
Harvey Barnes,eng ENG,"FW,MF",Leicester City,23,1997,23.3,6,66,24,36.4,2.83,1.03,0.09,0.25,16.1,0,0,0,5.6,5.6,0.09,0.4,0.4,550,756,72.8,6899,1906,366,442,82.8,137,199,68.8,15,34,44.1,10,4.6,3.2,5.4,29,26,24,7,59,31,16,9,11,11,7,23,30.4,16,24,1,23,5,36,7,0
Saïd Benrahma,dz ALG,"FW,MF",West Ham,25,1995,24.1,8,63,20,31.7,2.62,0.83,0.13,0.4,19.6,3,0,0,4.8,4.8,0.08,3.2,3.2,632,841,75.1,8891,2023,367,432,85,191,250,76.4,32,68,47.1,6,3.7,3.3,2.3,32,37,29,10,73,28,17,16,9,3,15,38,39.5,23,17,1,16,9,37,8,0
Steven Bergwijn,nl NED,"FW,MF",Tottenham,23,1997,6.3,3,19,10,52.6,3.03,1.59,0.16,0.3,16.3,0,0,0,2.5,2.5,0.13,0.5,0.5,144,177,81.4,1756,392,98,113,86.7,30,38,78.9,4,7,57.1,1,0.9,1.2,0.1,8,9,6,0,17,3,2,2,1,0,1,10,10,9,3,0,3,1,4,8,0
Todd Cantwell,eng ENG,"FW,MF",Norwich City,23,1998,4.9,0,5,0,0,1.02,0,0,,28.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,130,157,82.8,1766,386,84,93,90.3,35,43,81.4,5,10,50,0,0.1,0.4,-0.1,2,13,2,0,10,15,13,8,6,1,6,17,35.3,11,2,0,2,3,18,2,0
Aaron Connolly,ie IRL,"FW,MF",Brighton,21,2000,1.7,0,2,0,0,1.15,0,0,,15.5,0,0,0,0.4,0.4,0.18,-0.4,-0.4,14,19,73.7,172,16,8,8,100,5,5,100,0,1,0,0,0.1,0.1,-0.1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0
Maxwel Cornet,ci CIV,"FW,MF",Burnley,24,1996,19.6,9,46,22,47.8,2.34,1.12,0.2,0.41,16.9,4,0,1,6.7,5.9,0.13,2.3,3.1,281,437,64.3,3679,860,168,222,75.7,68,99,68.7,15,48,31.3,1,1.7,1.7,-0.7,15,15,14,4,30,16,9,7,5,4,7,15,46.7,8,13,4,9,10,26,14,0
Cucho,co COL,"FW,MF",Watford,22,1999,12.7,5,34,10,29.4,2.67,0.78,0.15,0.5,19,5,0,0,2.5,2.5,0.07,2.5,2.5,239,394,60.7,3852,1368,126,172,73.3,68,106,64.2,31,66,47,2,1.9,1.1,0.1,20,21,15,6,39,13,5,5,5,3,5,27,18.5,22,13,1,12,5,18,9,0
