,,,,,,,,,,,,,,,,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,Expected,,,,,,,,,Tackles,,,,,Challanges,,,,Blocks,,,,,,
Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
David Luiz,br BRA,"DF,MF",Chelsea,30,1987,9.3,1,11,4,36.4,1.18,0.43,0.09,0.25,22.7,2,0,0,0.9,0.9,0.08,0.1,0.1,420,495,84.8,8848,2964,124,135,91.9,209,227,92.1,78,116,67.2,0,0,0.1,0,1,37,3,0,31,18,11,13,4,1,11,21,52.4,10,9,5,4,24,42,45,2
Ainsley Maitland-Niles,eng ENG,"DF,MF",Arsenal,19,1997,10.2,0,5,0,0,0.49,0,0,,20.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,530,640,82.8,8182,2475,290,321,90.3,178,215,82.8,42,59,71.2,0,0.9,1.4,-0.9,8,37,14,4,35,25,17,12,7,6,14,31,45.2,17,15,1,14,12,37,35,2
Sam McQueen,eng ENG,"DF,MF",Southampton,22,1995,1.6,0,1,0,0,0.61,0,0,,18.5,0,0,0,0,0,0.04,0,0,54,77,70.1,615,259,40,49,81.6,10,16,62.5,1,6,16.7,0,0.2,0,-0.2,3,4,1,0,4,4,4,4,0,0,2,4,50,2,2,1,1,3,7,3,0
Victor Moses,ng NGA,"DF,MF",Chelsea,26,1990,23.4,3,35,11,31.4,1.49,0.47,0.09,0.27,16.8,0,0,0,3,3,0.09,0,0,815,1122,72.6,13255,3497,429,498,86.1,286,393,72.8,72,136,52.9,3,2.4,2.5,0.6,20,26,24,10,66,37,29,21,13,3,14,24,58.3,10,29,4,25,15,52,39,2
Declan Rice,eng ENG,"DF,MF",West Ham,18,1999,15.9,0,5,0,0,0.31,0,0,,21.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,457,588,77.7,8829,3396,171,191,89.5,220,254,86.6,57,119,47.9,0,0.1,0.1,-0.1,2,34,5,0,36,36,24,25,10,1,15,25,60,10,19,13,6,27,63,77,1
Jeffrey Schlupp,gh GHA,"DF,MF",Crystal Palace,24,1992,19.4,0,15,2,13.3,0.77,0.1,0,0,18.1,0,0,0,1.2,1.2,0.08,-1.2,-1.2,601,827,72.7,8825,3330,370,432,85.6,192,270,71.1,32,84,38.1,1,1,0.7,0,12,61,10,3,74,57,36,35,20,2,23,43,53.5,20,34,8,26,24,81,67,0
Adam Smith,eng ENG,"DF,MF",Bournemouth,26,1991,23,1,13,3,23.1,0.56,0.13,0.08,0.33,21.3,0,0,0,0.5,0.5,0.04,0.5,0.5,898,1119,80.3,14432,4294,464,523,88.7,339,423,80.1,71,120,59.2,3,1.6,1.5,1.4,22,64,13,5,90,50,36,33,16,1,24,53,45.3,29,46,8,38,31,81,73,0
Kostas Stafylidis,gr GRE,"DF,MF",Stoke City,23,1993,3.7,0,4,0,0,1.07,0,0,,27.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,98,147,66.7,1562,577,43,51,84.3,44,68,64.7,6,15,40,0,0,0.1,0,2,5,1,0,8,12,6,6,4,2,6,9,66.7,3,7,2,5,5,17,19,0
Pablo Zabaleta,ar ARG,"DF,MF",West Ham,32,1985,36.5,0,6,1,16.7,0.16,0.03,0,0,14.2,0,0,0,0.4,0.4,0.06,-0.4,-0.4,1152,1612,71.5,19588,8642,538,646,83.3,481,641,75,111,241,46.1,1,0.9,1.3,0.1,17,109,24,12,145,96,67,54,28,14,48,98,49,50,72,13,59,61,157,152,0
Davide Zappacosta,it ITA,"DF,MF",Chelsea,25,1992,12.2,1,25,9,36,2.05,0.74,0.04,0.11,20.3,0,0,0,1.4,1.4,0.06,-0.4,-0.4,514,660,77.9,7506,1763,297,322,92.2,164,215,76.3,28,49,57.1,1,1.3,1.6,-0.3,13,11,14,13,2,26,11,14,9,3,11,25,44,14,11,2,9,6,32,26,0
,,,,,,,,,,,,,,,,,,,,,,,,1992,12.2,514,660,77.9,7506,1763,297,322,92.2,164,215,76.3,28,49,57.1,1,1.3,1.6,-0.3,13,11,14,,,,,,,,,,,,,,,,
