,,,,,,,,,,,,,,,,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,Expected,,,,,,,,,Tackles,,,,,Challanges,,,,Blocks,,,,,,
Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Jürgen Locadia,cw CUW,"FW,MF",Brighton,23,1993,2.5,1,6,1,16.7,2.41,0.4,0.17,1,18.1,0,0,0,1.1,1.1,0.18,-0.1,-0.1,38,55,69.1,697,140,18,23,78.3,9,15,60,8,9,88.9,1,0.1,0,0.9,1,4,0,0,4,1,0,0,1,0,0,1,0,1,0,0,0,1,2,1,1
Joe Lolley,eng ENG,"FW,MF",Huddersfield,24,1992,2.5,1,3,3,100,1.22,1.22,0.33,0.33,20,0,0,0,0.1,0.1,0.04,0.9,0.9,52,73,71.2,805,267,28,35,80,21,28,75,1,7,14.3,0,0.1,0.1,-0.1,1,9,1,1,11,2,0,1,1,0,0,2,0,2,0,0,0,3,5,2,1
Ademola Lookman,ng NGA,"FW,MF",Everton,19,1997,1.8,0,3,0,0,1.7,0,0,,20.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,38,47,80.9,514,127,19,23,82.6,13,14,92.9,2,3,66.7,0,0.5,0,-0.5,2,2,0,0,6,1,1,0,1,0,0,2,0,2,2,0,2,1,2,3,0
Eric Maxim Choupo-Moting,cm CMR,"FW,MF",Stoke City,28,1989,25.7,5,60,18,30,2.33,0.7,0.08,0.28,16.3,0,0,0,5.9,5.9,0.1,-0.9,-0.9,477,688,69.3,6566,1710,272,346,78.6,140,191,73.3,26,51,51,5,3.1,2.5,1.9,20,28,18,4,56,42,30,21,16,5,9,32,28.1,23,31,3,28,23,65,29,1
Oliver McBurnie,sct SCO,"FW,MF",Swansea City,21,1996,3.1,0,5,3,60,1.63,0.98,0,0,10.7,0,0,0,0.4,0.4,0.08,-0.4,-0.4,68,103,66,777,116,46,62,74.2,11,22,50,2,3,66.7,1,0.7,0.5,0.3,1,3,2,0,9,4,3,0,2,2,1,3,33.3,2,2,0,2,0,4,3,0
Kevin Mirallas,be BEL,"FW,MF",Everton,29,1987,1.5,0,4,2,50,2.61,1.3,0,0,23,0,0,0,0.2,0.2,0.05,-0.2,-0.2,44,59,74.6,734,119,17,20,85,22,28,78.6,3,5,60,0,0.1,0,-0.1,1,3,0,0,3,4,3,1,2,1,0,1,0,1,0,0,0,0,4,3,0
Henrikh Mkhitaryan,am ARM,"FW,MF",Arsenal,28,1989,8.8,2,21,11,52.4,2.38,1.25,0.1,0.18,18.5,1,0,0,1.5,1.5,0.07,0.5,0.5,358,485,73.8,5057,1238,222,266,83.5,109,134,81.3,14,44,31.8,4,2.8,2.3,1.2,16,31,14,2,55,18,13,9,7,2,5,21,23.8,16,16,2,14,8,26,7,0
Lucas Moura,br BRA,"FW,MF",Tottenham,24,1992,2.3,0,5,2,40,2.14,0.86,0,0,24.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,88,114,77.2,1247,262,56,67,83.6,30,39,76.9,1,2,50,1,0.3,0.5,0.7,6,3,2,0,12,4,2,3,0,1,1,3,33.3,2,2,0,2,2,6,2,0
Lys Mousset,fr FRA,"FW,MF",Bournemouth,21,1996,6.6,2,22,5,22.7,3.32,0.76,0.09,0.4,18.8,0,0,0,1.2,1.2,0.05,0.8,0.8,103,173,59.5,1464,445,64,103,62.1,28,44,63.6,6,10,60,0,0.8,0.5,-0.8,4,15,4,0,16,9,5,6,3,0,0,8,0,8,5,2,3,3,12,9,0
Luciano Narsingh,nl NED,"FW,MF",Swansea City,26,1990,6.9,1,9,5,55.6,1.3,0.72,0.11,0.2,15.9,0,0,0,0.8,0.8,0.09,0.2,0.2,163,219,74.4,2205,524,113,130,86.9,41,57,71.9,5,11,45.5,0,1.1,0.5,-1.1,11,12,9,4,15,7,5,1,5,1,2,7,28.6,5,7,0,7,3,10,3,0
Reiss Nelson,eng ENG,"FW,MF",Arsenal,17,1999,1.6,0,2,0,0,1.24,0,0,,18.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,73,81,90.1,963,219,45,46,97.8,24,26,92.3,2,3,66.7,0,0,0.1,0,1,2,4,0,8,4,3,1,1,2,0,0,,0,4,0,4,3,7,0,0
Shinji Okazaki,jp JPN,"FW,MF",Leicester City,31,1986,14.7,6,28,14,50,1.9,0.95,0.21,0.43,11.9,0,0,0,6.7,6.7,0.24,-0.7,-0.7,283,393,72,3477,814,172,226,76.1,64,87,73.6,10,18,55.6,2,2,1.1,0,15,24,5,0,24,25,16,3,18,4,4,28,14.3,24,15,1,14,8,33,6,0
Collin Quaner,de GER,"FW,MF",Huddersfield,26,1991,14.2,0,16,2,12.5,1.13,0.14,0,0,15.8,0,0,0,1.4,1.4,0.09,-1.4,-1.4,319,449,71,4115,1105,202,261,77.4,89,122,73,5,22,22.7,4,2.5,1.5,1.5,17,26,7,3,44,22,15,8,8,6,9,26,34.6,17,24,4,20,11,33,15,0
Sandro Ramírez,es ESP,"FW,MF",Everton,22,1995,3.1,0,9,1,11.1,2.91,0.32,0,0,18.8,0,0,0,0.5,0.5,0.05,-0.5,-0.5,66,90,73.3,781,102,42,52,80.8,14,17,82.4,2,4,50,0,0,0.1,0,1,1,1,0,8,2,1,0,1,1,0,3,0,3,1,0,1,1,3,0,0
Marcus Rashford,eng ENG,"FW,MF",Manchester Utd,19,1997,20.1,7,61,20,32.8,3.03,0.99,0.11,0.35,19.4,6,0,0,5.2,5.2,0.09,1.8,1.8,470,674,69.7,6278,1425,281,324,86.7,114,157,72.6,22,81,27.2,5,3.8,3.3,1.2,22,22,24,4,46,14,11,4,5,5,6,18,33.3,12,18,0,18,8,22,19,0
Nathan Redmond,eng ENG,"FW,MF",Southampton,23,1994,21.6,1,44,15,34.1,2.04,0.69,0.02,0.07,21.3,0,0,0,2.2,2.2,0.05,-1.2,-1.2,644,888,72.5,10743,2550,343,421,81.5,200,258,77.5,75,138,54.3,3,3.6,3.1,-0.6,42,43,33,4,94,32,17,16,14,2,12,31,38.7,19,20,0,20,15,47,17,2
Richarlison,br BRA,"FW,MF",Watford,20,1997,31.4,5,95,22,23.2,3.03,0.7,0.05,0.23,15.1,2,0,0,10.3,10.3,0.11,-5.3,-5.3,524,861,60.9,6835,1988,345,462,74.7,135,231,58.4,15,42,35.7,4,3.4,2.2,0.6,26,40,23,2,73,64,44,26,28,10,10,39,25.6,29,39,5,34,24,88,32,1
Hal Robson-Kanu,wls WAL,"FW,MF",West Brom,28,1989,9.2,2,19,8,42.1,2.07,0.87,0.11,0.25,13.5,0,0,0,2.4,2.4,0.13,-0.4,-0.4,127,208,61.1,1671,458,76,104,73.1,33,52,63.5,7,21,33.3,0,0.4,0.5,-0.4,8,15,5,2,24,5,4,1,2,2,0,13,0,13,9,3,6,4,9,9,0
Jay Rodriguez,eng ENG,"FW,MF",West Brom,28,1989,31.2,7,68,23,33.8,2.18,0.74,0.09,0.26,17.6,0,1,1,8.4,7.6,0.11,-1.4,-1.6,517,740,69.9,7189,1909,311,379,82.1,129,197,65.5,30,71,42.3,1,1.6,2.3,-0.6,21,51,14,2,52,31,21,12,11,8,9,50,18,41,32,2,30,19,50,41,0
Bakary Sako,ml MLI,"FW,MF",Crystal Palace,29,1988,5.3,3,17,6,35.3,3.2,1.13,0.18,0.5,15.5,0,0,0,1.9,1.9,0.12,1.1,1.1,94,159,59.1,1412,353,59,75,78.7,18,41,43.9,10,22,45.5,0,1.1,0.6,-1.1,6,6,4,3,8,7,6,5,0,2,2,9,22.2,7,2,0,2,1,8,2,0
Alexis Sánchez,cl CHI,"FW,MF",Manchester Utd,28,1988,11.6,2,18,6,33.3,1.55,0.52,0.11,0.33,16.8,0,0,1,2.7,1.8,0.1,-0.7,0.2,451,637,70.8,6515,2036,241,279,86.4,126,183,68.9,37,69,53.6,3,2.4,3.5,0.6,26,52,30,4,70,21,17,10,4,7,4,27,14.8,23,8,0,8,17,38,0,0
Bernardo Silva,pt POR,"FW,MF",Manchester City,22,1994,17,6,25,14,56,1.47,0.82,0.24,0.43,14,0,0,0,3.8,3.5,0.14,2.2,2.5,836,1000,83.6,12111,2087,487,531,91.7,276,328,84.1,33,64,51.6,4,2.8,2.6,1.2,31,31,28,5,80,27,18,11,9,7,6,30,20,24,17,1,16,10,37,12,1
Josh Sims,eng ENG,"FW,MF",Southampton,20,1997,1.8,0,11,5,45.5,6.07,2.76,0,0,17.6,0,0,0,0.6,0.6,0.06,-0.6,-0.6,50,65,76.9,624,183,34,40,85,11,15,73.3,2,4,50,0,0.1,0.3,-0.1,1,4,1,1,4,4,3,1,2,1,2,7,28.6,5,5,0,5,1,5,0,0
Andros Townsend,eng ENG,"FW,MF",Crystal Palace,26,1991,34.7,2,62,14,22.6,1.79,0.4,0.03,0.14,22.3,2,0,0,3,3,0.05,-1,-1,870,1226,71,13034,3886,501,573,87.4,259,384,67.4,68,160,42.5,7,7.2,5.4,-0.2,65,64,48,14,104,60,34,35,12,13,24,75,32,51,49,1,48,35,95,28,0
Theo Walcott,eng ENG,"FW,MF",Arsenal,28,1989,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,15,23,65.2,211,45,11,15,73.3,3,6,50,1,1,100,0,0,0,0,0,2,0,0,2,1,0,1,0,0,0,0,,0,0,0,0,1,2,0,0
James Ward-Prowse,eng ENG,"FW,MF",Southampton,22,1994,19.1,3,28,13,46.4,1.47,0.68,0.11,0.23,22.2,6,0,0,2.2,2.2,0.08,0.8,0.8,631,919,68.7,10188,2960,347,404,85.9,209,293,71.3,54,155,34.8,3,2.8,3.1,0.2,36,50,14,6,66,23,16,9,11,3,3,27,11.1,24,29,1,28,8,31,31,0
Danny Welbeck,eng ENG,"FW,MF",Arsenal,26,1990,13.3,5,32,13,40.6,2.41,0.98,0.16,0.38,14.5,0,0,0,5.5,5.5,0.17,-0.5,-0.5,315,396,79.5,3792,545,213,251,84.9,78,99,78.8,2,6,33.3,2,1.4,1.1,0.6,13,7,9,0,23,20,13,9,5,6,4,12,33.3,8,22,1,21,11,31,13,0
Nahki Wells,bm BER,"FW,MF",Burnley,27,1990,0.6,0,3,1,33.3,4.91,1.64,0,0,16.2,0,0,0,0.6,0.6,0.19,-0.6,-0.6,16,18,88.9,264,13,6,6,100,8,10,80,1,1,100,0,0,0,0,0,0,0,0,1,4,3,0,3,1,1,1,100,0,2,0,2,0,4,0,0
Wilfried Zaha,ci CIV,"FW,MF",Crystal Palace,24,1992,28.3,9,64,26,40.6,2.26,0.92,0.14,0.35,15,0,0,0,9.2,9.2,0.14,-0.2,-0.2,497,716,69.4,6815,2094,291,365,79.7,149,208,71.6,24,52,46.2,3,4.7,4.4,-1.7,52,41,49,7,96,30,23,9,13,8,4,23,17.4,19,24,0,24,7,37,4,0
Rolando Aarons,eng ENG,"MF,FW",Newcastle Utd,21,1995,1.5,0,2,0,0,1.29,0,0,,19.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,29,44,65.9,376,77,24,30,80,2,5,40,2,3,66.7,0,0,0,0,0,2,1,1,3,4,4,3,1,0,4,6,66.7,2,3,0,3,1,5,0,0
Marc Albrighton,eng ENG,"MF,FW",Leicester City,27,1989,28.2,2,20,6,30,0.71,0.21,0.1,0.33,20.5,1,0,0,1.6,1.6,0.08,0.4,0.4,771,1298,59.4,14418,5905,365,436,83.7,259,408,63.5,122,337,36.2,7,5.7,4.7,1.3,46,98,36,19,114,52,33,16,29,7,16,52,30.8,36,32,4,28,27,79,34,0
Dele Alli,eng ENG,"MF,FW",Tottenham,21,1996,32.9,9,69,17,24.6,2.1,0.52,0.13,0.53,15.9,0,0,0,9.1,9.1,0.13,-0.1,-0.1,985,1295,76.1,15174,4014,541,647,83.6,342,414,82.6,63,109,57.8,10,8.2,5.2,1.8,63,104,55,1,181,46,30,15,21,10,8,34,23.5,26,33,7,26,19,65,22,1
Scott Arfield,ca CAN,"MF,FW",Burnley,28,1988,14.8,2,18,7,38.9,1.22,0.47,0.11,0.29,18.4,0,0,0,1.3,1.3,0.07,0.7,0.7,247,367,67.3,3441,942,150,198,75.8,75,103,72.8,9,25,36,1,0.4,0.4,0.6,7,25,6,1,32,36,26,20,13,3,19,44,43.2,25,22,1,21,11,47,24,0
André Ayew,gh GHA,"MF,FW",West Ham,27,1989,9.9,3,12,4,33.3,1.21,0.4,0.25,0.75,13.6,0,0,1,3.3,2.5,0.21,-0.3,0.5,216,291,74.2,2721,532,142,160,88.8,57,77,74,5,15,33.3,2,0.3,0.3,1.7,4,17,5,1,18,19,14,6,10,3,6,19,31.6,13,5,0,5,4,23,3,0
André Ayew,gh GHA,"MF,FW",Swansea City,27,1989,10.6,0,13,7,53.8,1.23,0.66,0,0,13,0,0,0,1.9,1.9,0.14,-1.9,-1.9,247,314,78.7,3303,538,151,174,86.8,71,88,80.7,9,19,47.4,2,1.3,0.8,0.7,12,12,7,0,24,15,10,3,10,2,2,13,15.4,11,13,1,12,5,20,8,0
Harvey Barnes,eng ENG,"MF,FW",Leicester City,19,1997,0.1,0,1,0,0,9,0,0,,9.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1,6,7,85.7,84,16,4,4,100,2,3,66.7,0,0,,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Izzy Brown,eng ENG,"MF,FW",Brighton,20,1997,3.5,0,1,1,100,0.29,0.29,0,0,18.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,93,139,66.9,1306,279,53,65,81.5,30,45,66.7,5,9,55.6,0,0.8,0.5,-0.8,6,8,4,2,9,3,3,2,1,0,1,7,14.3,6,3,0,3,1,4,3,0
Philippe Coutinho,br BRA,"MF,FW",Liverpool,25,1992,12.3,7,54,17,31.5,4.38,1.38,0.13,0.41,24,10,0,0,3.5,3.5,0.07,3.5,3.5,566,758,74.7,10208,3685,246,287,85.7,231,288,80.2,73,134,54.5,6,4.7,4.7,1.3,40,99,44,7,145,17,14,4,10,3,3,21,14.3,18,10,0,10,10,27,5,1
Fousseni Diabaté,ml MLI,"MF,FW",Leicester City,21,1995,6.5,0,6,2,33.3,0.92,0.31,0,0,18.5,0,0,0,0.5,0.5,0.09,-0.5,-0.5,182,237,76.8,2441,602,105,127,82.7,58,75,77.3,7,11,63.6,1,0.3,0.6,0.7,7,9,7,3,18,9,6,5,3,1,1,4,25,3,6,0,6,8,17,8,0
Nathan Dyer,eng ENG,"MF,FW",Swansea City,29,1987,14.5,0,10,2,20,0.69,0.14,0,0,21.4,0,0,0,0.9,0.9,0.09,-0.9,-0.9,426,553,77,5556,976,273,313,87.2,113,155,72.9,9,24,37.5,0,0.8,1.1,-0.8,10,19,15,1,34,22,16,8,9,5,6,24,25,18,13,0,13,11,33,3,0
Christian Eriksen,dk DEN,"MF,FW",Tottenham,25,1992,35.8,10,97,39,40.2,2.71,1.09,0.1,0.26,23,16,0,0,7,7,0.07,3,3,1919,2509,76.5,35000,9566,820,947,86.6,838,1042,80.4,226,398,56.8,10,11.6,10.7,-1.6,95,264,66,8,333,51,29,16,30,5,17,59,28.8,42,38,1,37,31,82,21,0
Phil Foden,eng ENG,"MF,FW",Manchester City,17,2000,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,41,48,85.4,461,52,29,30,96.7,8,11,72.7,0,1,0,1,0.3,0.2,0.7,2,2,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0
Demarai Gray,jm JAM,"MF,FW",Leicester City,21,1996,18.9,3,36,9,25,1.91,0.48,0.08,0.33,20.7,1,0,0,2.5,2.5,0.07,0.5,0.5,465,656,70.9,7329,1498,237,275,86.2,149,204,73,43,97,44.3,1,3.4,2.7,-2.4,27,32,15,6,37,17,15,6,9,2,4,23,17.4,19,27,0,27,11,28,14,1
Jordon Ibe,eng ENG,"MF,FW",Bournemouth,21,1995,22.2,2,54,16,29.6,2.44,0.72,0.04,0.13,21.8,4,0,0,3,3,0.05,-1,-1,596,815,73.1,9636,2795,301,374,80.5,214,271,79,58,107,54.2,6,3.3,4.4,2.7,36,64,20,4,95,14,12,7,5,2,6,22,27.3,16,5,0,5,10,24,11,0
Zlatan Ibrahimović,se SWE,"MF,FW",Manchester Utd,35,1981,1.2,0,4,1,25,3.4,0.85,0,0,16.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,59,78,75.6,829,217,37,48,77.1,14,20,70,4,6,66.7,0,0.1,0.3,-0.1,2,5,3,0,9,2,1,1,0,1,0,1,0,1,0,0,0,0,2,1,0
Tom Ince,eng ENG,"MF,FW",Huddersfield,25,1992,27.2,2,70,20,28.6,2.57,0.73,0.03,0.1,18.7,4,0,0,6.4,6.4,0.09,-4.4,-4.4,572,763,75,8640,1728,317,361,87.8,198,235,84.3,34,96,35.4,0,1.4,1.2,-1.4,18,27,14,7,60,35,27,14,16,5,10,29,34.5,19,20,0,20,12,47,12,0
Stephen Ireland,ie IRL,"MF,FW",Stoke City,30,1986,1.5,0,3,0,0,2.06,0,0,,18.5,0,0,0,0.4,0.4,0.12,-0.4,-0.4,57,70,81.4,788,200,37,40,92.5,13,14,92.9,3,7,42.9,0,0,0,0,1,5,0,0,7,3,1,2,1,0,1,5,20,4,4,2,2,1,4,1,0
Alex Iwobi,ng NGA,"MF,FW",Arsenal,21,1996,20.3,3,45,22,48.9,2.21,1.08,0.07,0.14,18.4,0,0,0,3.9,3.9,0.09,-0.9,-0.9,997,1171,85.1,14645,3786,587,636,92.3,321,379,84.7,53,78,67.9,5,3.5,3.6,1.5,36,93,31,0,138,19,15,8,8,3,5,18,27.8,13,19,1,18,7,26,10,1
José Izquierdo,co COL,"MF,FW",Brighton,25,1992,22,5,52,16,30.8,2.36,0.73,0.1,0.31,19.5,0,0,0,3.8,3.8,0.07,1.2,1.2,415,550,75.5,5081,1389,259,317,81.7,104,142,73.2,9,24,37.5,3,2.2,1.7,0.8,21,21,15,5,36,23,15,12,9,2,7,19,36.8,12,6,0,6,16,39,34,0
Davy Klaassen,nl NED,"MF,FW",Everton,24,1993,2.8,0,2,2,100,0.72,0.72,0,0,25,0,0,0,0.1,0.1,0.04,-0.1,-0.1,80,103,77.7,1223,282,39,47,83,32,40,80,4,5,80,0,0.1,0.1,-0.1,2,5,2,0,11,3,1,1,2,0,2,6,33.3,4,2,1,1,1,4,2,0
Anthony Knockaert,fr FRA,"MF,FW",Brighton,25,1991,26.9,3,46,12,26.1,1.71,0.45,0.07,0.25,19,0,0,0,4.1,4.1,0.09,-1.1,-1.1,851,1103,77.2,12977,3196,475,544,87.3,270,337,80.1,61,126,48.4,1,3.2,3.1,-2.2,32,45,30,5,124,39,26,25,11,3,16,55,29.1,39,29,3,26,23,62,16,0
Adam Lallana,eng ENG,"MF,FW",Liverpool,29,1988,2.7,0,11,0,0,4.06,0,0,,18.9,0,0,0,1.5,1.5,0.13,-1.5,-1.5,192,229,83.8,2309,705,126,136,92.6,46,54,85.2,3,11,27.3,0,0.4,0.6,-0.4,7,18,11,2,33,3,1,3,0,0,2,10,20,8,3,0,3,1,4,1,0
Manuel Lanzini,ar ARG,"MF,FW",West Ham,24,1993,22.7,5,43,16,37.2,1.9,0.71,0.12,0.31,21,7,0,1,3.9,3.1,0.07,1.1,1.9,1085,1309,82.9,16247,4292,608,672,90.5,356,422,84.4,70,137,51.1,6,4.1,3,1.9,40,104,35,3,156,20,11,6,11,3,2,34,5.9,32,7,1,6,30,50,5,2
Jesse Lingard,eng ENG,"MF,FW",Manchester Utd,24,1992,20.2,8,56,23,41.1,2.77,1.14,0.14,0.35,17.8,0,0,0,7.1,7.1,0.13,0.9,0.9,841,996,84.4,10354,2219,493,546,90.3,198,234,84.6,33,61,54.1,5,2.8,2.6,2.2,26,68,19,1,75,30,21,10,13,7,5,27,18.5,22,18,3,15,9,39,13,0
Dodi Lukebakio,be BEL,"MF,FW",Watford,19,1997,0.2,0,1,0,0,5.63,0,0,,29.6,0,0,0,0,0,0.03,0,0,7,8,87.5,118,55,2,2,100,4,4,100,0,1,0,0,0.1,0,-0.1,2,2,1,1,1,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0
Riyad Mahrez,dz ALG,"MF,FW",Leicester City,26,1991,32.8,12,73,36,49.3,2.23,1.1,0.16,0.33,19.5,8,0,0,6.5,6.5,0.09,5.5,5.5,1088,1485,73.3,19045,6041,553,647,85.5,326,436,74.8,150,267,56.2,10,7.2,7,2.8,57,122,50,8,190,39,27,16,17,6,10,63,15.9,53,32,1,31,18,57,15,0
Solly March,eng ENG,"MF,FW",Brighton,23,1994,20.6,1,28,9,32.1,1.36,0.44,0.04,0.11,23.8,1,0,0,1.5,1.5,0.05,-0.5,-0.5,516,756,68.3,8609,2396,255,309,82.5,173,241,71.8,59,119,49.6,1,1.4,1.8,-0.4,18,33,19,9,60,54,41,34,14,6,22,54,40.7,32,27,3,24,13,67,49,0
James McClean,ie IRL,"MF,FW",West Brom,28,1989,15.6,1,30,6,20,1.92,0.38,0.03,0.17,20.3,1,0,0,1.8,1.8,0.06,-0.8,-0.8,288,462,62.3,4418,1011,163,201,81.1,87,131,66.4,25,76,32.9,0,0.8,1.4,-0.8,18,12,21,18,12,40,28,23,14,3,10,55,18.2,45,18,4,14,20,60,22,0
Henrikh Mkhitaryan,am ARM,"MF,FW",Manchester Utd,28,1989,10.2,1,15,5,33.3,1.46,0.49,0.07,0.2,21.6,0,0,0,0.8,0.8,0.05,0.2,0.2,453,589,76.9,6294,1637,242,276,87.7,140,175,80,26,62,41.9,5,3,2.1,2,28,39,18,2,61,15,11,4,7,4,5,25,20,20,8,0,8,7,22,3,0
Jacob Murphy,eng ENG,"MF,FW",Newcastle Utd,22,1995,12.8,1,22,7,31.8,1.72,0.55,0.05,0.14,22.3,0,0,0,1.8,1.8,0.08,-0.8,-0.8,194,325,59.7,2872,1007,117,158,74.1,53,87,60.9,14,45,31.1,1,1.3,1,-0.3,10,15,14,5,32,13,10,5,4,4,7,27,25.9,20,16,0,16,6,19,13,2
Georges-Kévin N'Koudou,cm CMR,"MF,FW",Burnley,22,1995,2.5,0,4,0,0,1.58,0,0,,22.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,67,96,69.8,1093,169,32,36,88.9,26,33,78.8,7,15,46.7,0,0,0.2,0,1,7,0,0,5,7,6,5,1,1,3,8,37.5,5,4,0,4,1,8,1,0
Alex Oxlade-Chamberlain,eng ENG,"MF,FW",Liverpool,23,1993,16.6,3,38,15,39.5,2.29,0.9,0.08,0.2,21.1,0,0,0,2.2,2.2,0.06,0.8,0.8,609,796,76.5,11074,3186,262,305,85.9,244,312,78.2,79,135,58.5,7,3.8,3.2,3.2,34,70,40,7,120,32,21,13,14,5,6,21,28.6,15,24,0,24,20,52,14,0
Mesut Özil,de GER,"MF,FW",Arsenal,28,1988,24,4,39,13,33.3,1.62,0.54,0.1,0.31,18.7,6,0,0,4.4,4.4,0.11,-0.4,-0.4,1604,1933,83,24221,7044,883,973,90.8,548,646,84.8,99,170,58.2,8,8.7,7.7,-0.7,84,183,79,2,277,20,13,6,10,4,5,22,22.7,17,11,1,10,12,32,9,0
Kasey Palmer,jm JAM,"MF,FW",Huddersfield,20,1996,1.9,0,2,1,50,1.06,0.53,0,0,22.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,43,58,74.1,650,193,27,32,84.4,13,18,72.2,2,5,40,0,0.1,0.3,-0.1,1,4,2,0,6,6,3,2,3,1,2,8,25,6,5,0,5,0,6,2,0
Pedro,es ESP,"MF,FW",Chelsea,30,1987,16.9,4,56,20,35.7,3.31,1.18,0.07,0.2,21.5,1,0,0,3,3,0.05,1,1,555,705,78.7,7896,1761,340,388,87.6,138,188,73.4,39,59,66.1,2,1.3,1.6,0.7,26,32,23,5,56,20,11,6,8,6,5,18,27.8,13,13,1,12,13,33,7,1
Roberto Pereyra,ar ARG,"MF,FW",Watford,26,1991,18,5,33,13,39.4,1.83,0.72,0.15,0.38,17,2,0,0,3.3,3.3,0.1,1.7,1.7,597,735,81.2,9330,2419,340,381,89.2,180,228,78.9,54,78,69.2,2,3,3,-1,23,52,26,8,79,10,8,4,5,1,2,13,15.4,11,16,0,16,9,19,6,0
Ayoze Pérez,es ESP,"MF,FW",Newcastle Utd,24,1993,27.7,8,60,23,38.3,2.17,0.83,0.13,0.35,16.7,1,0,0,6.2,6.2,0.1,1.8,1.8,515,745,69.1,6748,1456,316,396,79.8,140,205,68.3,16,44,36.4,5,4.7,2.5,0.3,36,47,17,2,75,39,21,11,15,13,12,54,22.2,42,36,1,35,24,63,28,0
Alex Pritchard,eng ENG,"MF,FW",Huddersfield,24,1993,11.1,1,20,4,20,1.8,0.36,0.05,0.25,21.7,3,0,0,1.2,1.2,0.06,-0.2,-0.2,259,393,65.9,4251,1189,142,173,82.1,77,116,66.4,27,65,41.5,1,1.9,1.2,-0.9,20,26,12,3,44,18,8,2,6,10,10,21,47.6,11,6,1,5,5,23,11,0
Marc Pugh,eng ENG,"MF,FW",Bournemouth,30,1987,10.9,0,19,4,21.1,1.74,0.37,0,0,17.3,0,0,0,1.3,1.3,0.07,-1.3,-1.3,388,512,75.8,5977,1689,211,248,85.1,136,182,74.7,26,58,44.8,0,0.5,1.1,-0.5,10,28,15,2,52,7,3,2,4,1,2,10,20,8,6,1,5,13,20,13,2
Matt Ritchie,sct SCO,"MF,FW",Newcastle Utd,27,1989,31.2,3,59,16,27.1,1.89,0.51,0.05,0.19,22.9,6,0,0,3.1,3.1,0.05,-0.1,-0.1,834,1279,65.2,13965,4500,418,488,85.7,267,399,66.9,108,280,38.6,5,6,4.7,-1,52,65,28,14,93,46,32,22,18,6,14,53,26.4,39,37,5,32,35,81,63,1
Wayne Rooney,eng ENG,"MF,FW",Everton,31,1985,25.2,10,39,11,28.2,1.55,0.44,0.18,0.64,25,3,3,6,8.6,3.8,0.1,1.4,3.2,934,1241,75.3,17847,4680,398,474,84,348,410,84.9,150,263,57,2,2.2,3.4,-0.2,33,117,26,6,122,28,19,11,13,4,10,42,23.8,32,25,6,19,16,44,43,2
Wayne Routledge,eng ENG,"MF,FW",Swansea City,32,1985,4.8,0,5,2,40,1.05,0.42,0,0,14.6,0,0,0,0.4,0.4,0.08,-0.4,-0.4,115,177,65,1676,481,58,71,81.7,46,64,71.9,5,19,26.3,0,0.4,0.7,-0.4,6,8,6,3,17,10,5,2,6,2,2,8,25,6,5,0,5,2,12,5,0
Alexis Sánchez,cl CHI,"MF,FW",Arsenal,28,1988,16.7,7,68,24,35.3,4.07,1.44,0.09,0.25,19.9,14,1,1,8.1,7.3,0.11,-1.1,-1.3,643,927,69.4,10650,3348,331,410,80.7,206,302,68.2,75,130,57.7,3,4.9,6.4,-1.9,50,56,74,3,149,20,9,9,4,7,7,32,21.9,25,5,2,3,6,26,1,0
Xherdan Shaqiri,ch SUI,"MF,FW",Stoke City,25,1991,33.8,8,68,30,44.1,2.01,0.89,0.12,0.27,22.3,8,0,1,5,4.2,0.06,3,3.8,923,1293,71.4,16836,5750,418,472,88.6,314,418,75.1,152,307,49.5,7,7.1,7.4,-0.1,75,94,59,12,161,25,17,9,11,5,10,39,25.6,29,9,1,8,16,41,6,2
